asset_id,ticker,company_name,search_key,status,reason,lei,legal_name,country,match_tier,candidate_count_after_fix,candidate_countries,phase,created_at_utc
U09230,1ACNm,Accenture PLC,ACCENTURE,ambiguous,multiple_active_candidates_survive_both_tiers,,,,,11,AT|BE|CH|DE|DK|FR|GI|IE|IT|PH|US,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:58:49+00:00
U09267,1VOW3m,Volkswagen AG,VOLKSWAGEN,resolved,tier1_single_issued_registration_among_exact_matches,529900NNUPAGGOMPXZ31,VOLKSWAGEN AKTIENGESELLSCHAFT,DE,tier1_single_issued,3,DE|FR,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:58:51+00:00
U09269,1YDd,Broadcom Inc,BROADCOM,resolved,tier1_single_issued_registration_among_exact_matches,549300WV6GIDOZJTV909,BROADCOM INC.,US,tier1_single_issued,3,SG|US,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:58:52+00:00
U09513,4ABd,AbbVie Inc,ABBVIE,narrowed_unconfirmed,tier2_legal_form_suffix_matches_source_name_not_independently_verified,FR5LCKFTG8054YNNRU85,ABBVIE INC.,US,tier2_legal_form_match,12,AT|BE|BM|CA|CH|DK|GB|IE|KR|NZ|US|UY,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:58:53+00:00
U09551,5URd,RTX Corp,RTX,ambiguous,multiple_active_candidates_survive_both_tiers,,,,,3,DK|LU|US,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:58:54+00:00
U09563,7HPd,HP Inc,HP,resolved,tier1_single_issued_registration_among_exact_matches,WHKXQACZ14C5XRO8LW03,HP INC.,US,tier1_single_issued,2,FR|US,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:58:55+00:00
U09613,ABEOp,Abeo SA,ABEO,ambiguous,multiple_active_candidates_survive_both_tiers,,,,,2,DE|FR,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:58:56+00:00
U09632,ACADs,AcadeMedia AB,ACADEMEDIA,resolved,tier1_single_issued_registration_among_exact_matches,549300H47PGHY4JNKO68,AcadeMedia AB,SE,tier1_single_issued,2,DE|SE,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:58:57+00:00
U09638,ACEm,ACEA SpA,ACEA,narrowed_unconfirmed,tier2_legal_form_suffix_matches_source_name_not_independently_verified,549300Q3448N041CTH56,ACEA S.P.A.,IT,tier2_legal_form_match,3,FR|IT,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:58:58+00:00
U09689,AEC1d,American Express Co,AMERICAN EXPRESS,ambiguous,multiple_active_candidates_survive_both_tiers,,,,,2,US,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:59:00+00:00
U09691,AEDESm,AEDES SPA,AEDES,ambiguous,multiple_active_candidates_survive_both_tiers,,,,,2,BE|FR,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:59:01+00:00
U09757,AGLXo,Agilyx ASA,AGILYX,narrowed_unconfirmed,tier2_legal_form_suffix_matches_source_name_not_independently_verified,5493000E25PBC2PXV881,AGILYX ASA,NO,tier2_legal_form_match,2,NO|US,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:59:02+00:00
U09821,AKEp,Arkema SA,ARKEMA,ambiguous,multiple_active_candidates_survive_both_tiers,,,,,2,FR|US,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:59:03+00:00
U09823,AKRBPo,Aker BP ASA,AKER BP,resolved,tier1_single_issued_registration_among_exact_matches,549300NFTY73920OYK69,AKER BP ASA,NO,tier1_single_issued,2,NO,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:59:04+00:00
U09842,ALFAs,Alfa Laval AB,ALFA LAVAL,narrowed_unconfirmed,tier2_legal_form_suffix_matches_source_name_not_independently_verified,549300UCKT2UK88AG251,Alfa Laval AB,SE,tier2_legal_form_match,6,CA|GB|IT|PA|SE|US,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:59:06+00:00
U09847,ALIVs,Autoliv Inc,AUTOLIV,narrowed_unconfirmed,tier2_legal_form_suffix_matches_source_name_not_independently_verified,A23RUXWKASG834LTMK28,"AUTOLIV, INC.",US,tier2_legal_form_match,2,SE|US,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:59:07+00:00
U09849,ALLEIs,Alleima AB,ALLEIMA,narrowed_unconfirmed,tier2_legal_form_suffix_matches_source_name_not_independently_verified,529900EBHTYGLA6PGP77,Alleima AB,SE,tier2_legal_form_match,2,DE|SE,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:59:08+00:00
U09893,AMGd,Amgen Inc,AMGEN,resolved,tier1_single_issued_registration_among_exact_matches,62QBXGPJ34PQ72Z12S66,AMGEN INC.,US,tier1_single_issued,2,BE|US,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:59:09+00:00
U09918,ANLd,Analog Devices Inc,ANALOG DEVICES,narrowed_unconfirmed,tier2_legal_form_suffix_matches_source_name_not_independently_verified,GYVOE5EZ4GDAVTU4CQ61,"ANALOG DEVICES, INC.",US,tier2_legal_form_match,2,AT|US,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:59:10+00:00
U09925,ANTINp,Antin Infrastructure Partners SA,ANTIN INFRASTRUCTURE PARTNERS,ambiguous,multiple_active_candidates_survive_both_tiers,,,,,2,FR,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:59:11+00:00
U09940,APCd,Apple Inc,APPLE,resolved,tier1_single_issued_registration_among_exact_matches,HWUPKR0MPOU8FGXBT394,Apple Inc.,US,tier1_single_issued,2,KY|US,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:59:12+00:00
U09950,APRo,Appear ASA,APPEAR,resolved,tier1_single_issued_registration_among_exact_matches,636700OJYMZPJZ0ZO361,APPEAR ASA,NO,tier1_single_issued,2,FR|NO,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:59:13+00:00
U09964,ARCHo,Archer Ltd,ARCHER,ambiguous,multiple_active_candidates_survive_both_tiers,,,,,2,BM|IN,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:59:14+00:00
U09967,ARGp,ARGAN SA,ARGAN,ambiguous,multiple_active_candidates_survive_both_tiers,,,,,5,CH|FR|LU|SE|US,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:59:15+00:00
U09985,ARYNz,Aryzta AG,ARYZTA,resolved,tier1_single_issued_registration_among_exact_matches,549300W2PUDQQVRD8W85,ARYZTA AG,CH,tier1_single_issued,3,CA|CH,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:59:16+00:00
U10003,ASMDEs,Asmodee Group AB,ASMODEE GROUP,narrowed_unconfirmed,tier2_legal_form_suffix_matches_source_name_not_independently_verified,636700G5993BBAFDYD02,Asmodee Group AB,SE,tier2_legal_form_match,2,FR|SE,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:59:17+00:00
U10016,ASSABs,Assa Abloy AB,ASSA ABLOY,narrowed_unconfirmed,tier2_legal_form_suffix_matches_source_name_not_independently_verified,549300YECS8HKCIMMB67,ASSA ABLOY AB,SE,tier2_legal_form_match,2,BE|SE,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:59:18+00:00
U10024,AT1d,Aroundtown SA,AROUNDTOWN,narrowed_unconfirmed,tier2_legal_form_suffix_matches_source_name_not_independently_verified,529900H4DWG3KWMBMQ39,Aroundtown SA,LU,tier2_legal_form_match,2,CY|LU,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:59:19+00:00
U10026,ATCOAs,Atlas Copco AB,ATLAS COPCO,resolved,tier1_single_issued_registration_among_exact_matches,213800T8PC8Q4FYJZR07,ATLAS COPCO AKTIEBOLAG,SE,tier1_single_issued,2,GB|SE,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:59:21+00:00
U10028,ATEAo,Atea ASA,ATEA,narrowed_unconfirmed,tier2_legal_form_suffix_matches_source_name_not_independently_verified,5967007LIEEXZXINVS13,ATEA ASA,NO,tier2_legal_form_match,5,AT|DK|FR|NO,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:59:21+00:00
U10039,ATOp,Atos Group,ATOS GROUP,resolved,tier1_single_issued_registration_among_exact_matches,5493001EZOOA66PTBR68,Atos Group,FR,tier1_single_issued,2,AT|FR,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:59:23+00:00
U10040,ATRAVh,Atria Oyj,ATRIA,narrowed_unconfirmed,tier2_legal_form_suffix_matches_source_name_not_independently_verified,743700XLYONPSKO15Z91,Atria Oyj,FI,tier2_legal_form_match,5,DE|FI|FR,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:59:24+00:00
U10050,AUBp,Aubay,AUBAY,ambiguous,multiple_active_candidates_survive_both_tiers,,,,,2,FR,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:59:25+00:00
U10068,AUREp,Aurea SA,AUREA,ambiguous,multiple_active_candidates_survive_both_tiers,,,,,4,FR|MT,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:59:26+00:00
U10136,AZNl,AstraZeneca PLC,ASTRAZENECA,narrowed_unconfirmed,tier2_legal_form_suffix_matches_source_name_not_independently_verified,PY6ZZQWO2IZFZC3IOL08,ASTRAZENECA PLC,GB,tier2_legal_form_match,2,GB|SE,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:59:27+00:00
U10142,B2Io,B2 Impact ASA,B2 IMPACT,narrowed_unconfirmed,tier2_legal_form_suffix_matches_source_name_not_independently_verified,5967007LIEEXZXFHOO08,B2 IMPACT ASA,NO,tier2_legal_form_match,2,FR|NO,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:59:28+00:00
U10168,BARb,Barco NV,BARCO,resolved,tier1_single_issued_registration_among_exact_matches,549300N17QCD827TII61,BARCO,BE,tier1_single_issued,2,BE|US,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:59:29+00:00
U10247,BEZl,Beazley PLC,BEAZLEY,resolved,tier1_single_issued_registration_among_exact_matches,213800VTOMUWD41GIT12,BEAZLEY PLC,GB,tier1_single_issued,2,GB|HK,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:59:30+00:00
U10275,BIMp,BioMerieux,BIOMERIEUX,ambiguous,multiple_active_candidates_survive_both_tiers,,,,,2,FR|US,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:59:31+00:00
U10277,BINTo,BEVEST ASA,BEVEST,narrowed_unconfirmed,tier2_legal_form_suffix_matches_source_name_not_independently_verified,5967007LIEEXZX8NJK85,BEVEST ASA,NO,tier2_legal_form_match,2,FR|NO,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:59:32+00:00
U10337,BMYl,Bloomsbury Publishing PLC,BLOOMSBURY PUBLISHING,narrowed_unconfirmed,tier2_legal_form_suffix_matches_source_name_not_independently_verified,213800ZL2PEC4C6UOQ53,BLOOMSBURY PUBLISHING PLC,GB,tier2_legal_form_match,2,GB|US,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:59:33+00:00
U10355,BNp,Danone SA,DANONE,narrowed_unconfirmed,tier2_legal_form_suffix_matches_source_name_not_independently_verified,213800S18Y5XNF6TLB35,DANONE SA,ES,tier2_legal_form_match,8,DE|DK|ES|FR|GB|IE|SE,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:59:34+00:00
U10357,BOIp,Boiron SA,BOIRON,ambiguous,multiple_active_candidates_survive_both_tiers,,,,,2,FR|VG,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:59:35+00:00
U10360,BOLs,Boliden AB,BOLIDEN,resolved,tier1_single_issued_registration_among_exact_matches,21380059QU7IM1ONDJ56,BOLIDEN AB,SE,tier1_single_issued,2,CA|SE,v2.38BQ-europe-cboe-ambiguous-disambiguation,2026-09-08T09:59:36+00:00
