asset_id,ticker,company_name,isin,business_id,fetch_status,fetch_reason,tol_code,tol_description_en,phase,created_at_utc
U09640,ACG1Vh,Aspocomp Group Oyj,,1547801-5,resolved,exact_normalized_name_match_full_suffix,26110,Manufacture of electronic components,v2.38AU-europe-finland-tol,2026-09-07T15:28:56Z
U09722,AFAGRh,Afarak Group SE,,0618181-8,resolved,exact_normalized_name_match_full_suffix,64990,"Other financial service activities, except insurance and pension funding n.e.c.",v2.38AU-europe-finland-tol,2026-09-07T15:28:56Z
U09846,ALISAh,Alisa Pankki Oyj,,0533755-0,resolved,exact_normalized_name_match_full_suffix,64190,Other monetary intermediation,v2.38AU-europe-finland-tol,2026-09-07T15:28:56Z
U09854,ALMAh,Alma Media Oyj,,,unresolved,ambiguous_multiple_distinct_business_ids_match_name,,,v2.38AU-europe-finland-tol,2026-09-07T15:28:56Z
U09921,ANORAh,Anora Group Oyj,,1505555-7,resolved,exact_normalized_name_match_full_suffix,11010,"Distilling, rectifying and blending of spirits",v2.38AU-europe-finland-tol,2026-09-07T15:28:56Z
U09941,APETIh,Apetit Oyj,,0197395-5,resolved,exact_normalized_name_match_full_suffix,10890,Manufacture of other food products n.e.c.,v2.38AU-europe-finland-tol,2026-09-07T15:28:56Z
U10007,ASPOh,Aspo Oyj,,,unresolved,ambiguous_multiple_distinct_business_ids_match_name,,,v2.38AU-europe-finland-tol,2026-09-07T15:28:56Z
U10280,BIOBVh,Biohit Oyj,,0703582-0,resolved,exact_normalized_name_match_full_suffix,20590,Manufacture of other chemical products n.e.c.,v2.38AU-europe-finland-tol,2026-09-07T15:28:56Z
U10301,BITTIh,Bittium Oyj,,1004129-5,resolved,exact_normalized_name_match_full_suffix,64210,Activities of holding companies,v2.38AU-europe-finland-tol,2026-09-07T15:28:56Z
U10370,BOREOh,Boreo Oyj,,0116173-8,resolved,exact_normalized_name_match_full_suffix,46500,Wholesale of information and communication equipment,v2.38AU-europe-finland-tol,2026-09-07T15:28:56Z
U10569,CAPMAh,CapMan Oyj,,0922445-7,resolved,exact_normalized_name_match_full_suffix,66300,Fund management activities,v2.38AU-europe-finland-tol,2026-09-07T15:28:56Z
U10948,CONSTh,Consti Oyj,,2203605-5,resolved,exact_normalized_name_match_full_suffix,70200,Business and other management consultancy activities,v2.38AU-europe-finland-tol,2026-09-07T15:28:56Z
U11127,CTH1Vh,Componenta Oyj,,1635451-6,resolved,exact_normalized_name_match_full_suffix,64210,Activities of holding companies,v2.38AU-europe-finland-tol,2026-09-07T15:28:56Z
U11136,CTY1Sh,Citycon Oyj,,0699505-3,resolved,exact_normalized_name_match_full_suffix,68203,Rental and operating of own or leased non-residential real estate,v2.38AU-europe-finland-tol,2026-09-07T15:28:56Z
