path,pattern,matches,blocking
README.md,API_KEY_assignment,0,False
README.md,SECRET_assignment,0,False
README.md,TOKEN_assignment,0,False
README.md,PASSWORD_assignment,0,False
README.md,PRIVATE_KEY,0,False
README.md,openai_key,0,False
README.md,github_pat,0,False
VERSION.md,API_KEY_assignment,0,False
VERSION.md,SECRET_assignment,0,False
VERSION.md,TOKEN_assignment,0,False
VERSION.md,PASSWORD_assignment,0,False
VERSION.md,PRIVATE_KEY,0,False
VERSION.md,openai_key,0,False
VERSION.md,github_pat,0,False
CHANGELOG.md,API_KEY_assignment,0,False
CHANGELOG.md,SECRET_assignment,0,False
CHANGELOG.md,TOKEN_assignment,0,False
CHANGELOG.md,PASSWORD_assignment,0,False
CHANGELOG.md,PRIVATE_KEY,0,False
CHANGELOG.md,openai_key,0,False
CHANGELOG.md,github_pat,0,False
ROADMAP_v2_38_CURRENT.md,API_KEY_assignment,0,False
ROADMAP_v2_38_CURRENT.md,SECRET_assignment,0,False
ROADMAP_v2_38_CURRENT.md,TOKEN_assignment,0,False
ROADMAP_v2_38_CURRENT.md,PASSWORD_assignment,0,False
ROADMAP_v2_38_CURRENT.md,PRIVATE_KEY,0,False
ROADMAP_v2_38_CURRENT.md,openai_key,0,False
ROADMAP_v2_38_CURRENT.md,github_pat,0,False
app_v2_37.py,API_KEY_assignment,0,False
app_v2_37.py,SECRET_assignment,0,False
app_v2_37.py,TOKEN_assignment,0,False
app_v2_37.py,PASSWORD_assignment,0,False
app_v2_37.py,PRIVATE_KEY,0,False
app_v2_37.py,openai_key,0,False
app_v2_37.py,github_pat,0,False
config/final_consolidated_audit_contract_v2_43a.json,API_KEY_assignment,0,False
config/final_consolidated_audit_contract_v2_43a.json,SECRET_assignment,0,False
config/final_consolidated_audit_contract_v2_43a.json,TOKEN_assignment,0,False
config/final_consolidated_audit_contract_v2_43a.json,PASSWORD_assignment,0,False
config/final_consolidated_audit_contract_v2_43a.json,PRIVATE_KEY,0,False
config/final_consolidated_audit_contract_v2_43a.json,openai_key,0,False
config/final_consolidated_audit_contract_v2_43a.json,github_pat,0,False
