pilot_id,ticker,status,reason,provider_symbol,jquants_market_name,jquants_company_name_english,http_status,error_body
P143,1301,resolved_jquants_master_exact_match,exact_company_name_english_match,13010,プライム,,,
P144,1803,resolved_jquants_master_exact_match,exact_company_name_english_match,18030,プライム,,,
P145,1994,resolved_jquants_master_exact_match,exact_company_name_english_match,19940,スタンダード,,,
P146,2294,resolved_jquants_master_exact_match,exact_company_name_english_match,22940,プライム,,,
P147,2492,resolved_jquants_master_exact_match,exact_company_name_english_match,24920,プライム,,,
P148,277A,resolved_jquants_master_exact_match,exact_company_name_english_match,277A0,プライム,,,
P149,2991,resolved_jquants_master_exact_match,exact_company_name_english_match,29910,スタンダード,,,
P150,3157,resolved_jquants_master_exact_match,exact_company_name_english_match,31570,スタンダード,,,
P151,3359,resolved_jquants_master_exact_match,exact_company_name_english_match,33590,グロース,,,
P152,3542,resolved_jquants_master_exact_match,exact_company_name_english_match,35420,グロース,,,
P153,3697,resolved_jquants_master_exact_match,exact_company_name_english_match,36970,プライム,,,
P154,3908,resolved_jquants_master_exact_match,exact_company_name_english_match,39080,スタンダード,,,
P155,4040,resolved_jquants_master_exact_match,exact_company_name_english_match,40400,スタンダード,,,
P156,4202,resolved_jquants_master_exact_match,exact_company_name_english_match,42020,プライム,,,
P157,4371,resolved_jquants_master_exact_match,exact_company_name_english_match,43710,グロース,,,
P158,4490,resolved_jquants_master_exact_match,exact_company_name_english_match,44900,グロース,,,
P159,4644,resolved_jquants_master_exact_match,exact_company_name_english_match,46440,スタンダード,,,
P160,4828,resolved_jquants_master_exact_match,exact_company_name_english_match,48280,プライム,,,
P161,5031,resolved_jquants_master_exact_match,exact_company_name_english_match,50310,グロース,,,
P162,5310,resolved_jquants_master_exact_match,exact_company_name_english_match,53100,プライム,,,
P163,5632,resolved_jquants_master_exact_match,exact_company_name_english_match,56320,プライム,,,
P164,5947,resolved_jquants_master_exact_match,exact_company_name_english_match,59470,プライム,,,
P165,6098,resolved_jquants_master_exact_match,exact_company_name_english_match,60980,プライム,,,
P166,6269,resolved_jquants_master_exact_match,exact_company_name_english_match,62690,プライム,,,
P167,6420,resolved_jquants_master_exact_match,exact_company_name_english_match,64200,プライム,,,
P168,6571,resolved_jquants_master_exact_match,exact_company_name_english_match,65710,プライム,,,
P169,6763,resolved_jquants_master_exact_match,exact_company_name_english_match,67630,プライム,,,
P170,6946,resolved_jquants_master_exact_match,exact_company_name_english_match,69460,スタンダード,,,
P171,7094,resolved_jquants_master_exact_match,exact_company_name_english_match,70940,グロース,,,
P172,7272,resolved_jquants_master_exact_match,exact_company_name_english_match,72720,プライム,,,
P173,7460,resolved_jquants_master_exact_match,exact_company_name_english_match,74600,スタンダード,,,
P174,7638,resolved_jquants_master_exact_match,exact_company_name_english_match,76380,スタンダード,,,
P175,7823,resolved_jquants_master_exact_match,exact_company_name_english_match,78230,スタンダード,,,
P176,7984,resolved_jquants_master_exact_match,exact_company_name_english_match,79840,プライム,,,
P177,8135,resolved_jquants_master_exact_match,exact_company_name_english_match,81350,スタンダード,,,
P178,8381,resolved_jquants_master_exact_match,exact_company_name_english_match,83810,プライム,,,
P179,8848,resolved_jquants_master_exact_match,exact_company_name_english_match,88480,プライム,,,
P180,9107,resolved_jquants_master_exact_match,exact_company_name_english_match,91070,プライム,,,
P181,9327,resolved_jquants_master_exact_match,exact_company_name_english_match,93270,スタンダード,,,
P182,9537,resolved_jquants_master_exact_match,exact_company_name_english_match,95370,スタンダード,,,
P183,9769,resolved_jquants_master_exact_match,exact_company_name_english_match,97690,プライム,,,
P184,9997,resolved_jquants_master_exact_match,exact_company_name_english_match,99970,プライム,,,
