ticker,name,exchange,country,region,currency,sector,industry,asset_type,is_active,market_cap,price,avg_volume_30d,avg_volume_90d,data_source,last_updated,isin,figi,cusip,ipo_date,shares_outstanding,free_float,primary_listing,adr_flag,otc_flag,etf_flag,fund_flag,preferred_flag,warrant_flag,spac_flag,duplicate_group,dollar_volume_90d,universe_validation_status,universe_validation_date,stage1_status,stage1_primary_reason,stage1_all_reasons,yf_success,yf_error,financial_data_date,quote_type,sector_yf,industry_yf,country_yf,revenue_ttm,operating_margin,fcf_margin,net_debt_to_ebitda,shares_dilution_3y,revenue_growth_1y,gross_margin,net_margin,ebitda,free_cash_flow,total_debt,cash,net_debt,debt_to_equity,current_ratio,interest_coverage,pe_ratio,forward_pe,ev_ebitda,price_sales,fcf_yield,shares_outstanding_fund,float_shares,market_cap_yf,special_case,data_completeness_score
AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,USA,North America,USD,Industrials,Airlines,common_stock,True,8928699392.0,13.5,67493293.0,67493293.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,911159455.5,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Industrials,Airlines,United States,55993999360.0,-0.00065,0.015378879912892152,6.593353196480939,,0.108,0.22872,0.00361,4092000000.0,861124992.0,34892001280.0,7912000000.0,26980001280.0,,0.492,,43.870968,6.102596,8.792,0.16063933,0.0957354586543613,661385137.0,654010693.0,8994838528.0,none,92.31
AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,USA,North America,USD,Technology,Communication Equipment,common_stock,True,14202970112.0,177.0,12310404.0,12310404.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,2178941508.0,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Technology,Communication Equipment,United States,507000000.0,-0.08595,-0.8788624536489152,5.801390442890443,,0.514,0.29642,-0.085480005,-27456000.0,-445583264.0,280422016.0,439704992.0,-159282976.0,25.356,3.826,,,41.207043,-568.898,31.122166,-0.028239116477067897,80242767.0,76066933.0,15778937856.0,none,92.31
AAON,"AAON, Inc. - Common Stock",NASDAQ,USA,North America,USD,Industrials,Building Products & Equipment,common_stock,True,10863130624.0,132.62,1049784.0,1049784.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,139222354.08,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Industrials,Building Products & Equipment,United States,1616957952.0,0.11552,-0.13304883267613876,1.7658523004217532,,0.543,0.26242,0.07305,251051008.0,-215134368.0,443332000.0,13000.0,443319000.0,47.455,2.624,,92.34267,40.112392,44.85,6.689377,-0.01988957006819414,81911710.0,68217710.0,10816441344.0,none,92.31
AAPL,Apple Inc. - Common Stock,NASDAQ,USA,North America,USD,Technology,Consumer Electronics,common_stock,True,4514011676672.0,307.34,44645993.0,44645993.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,13721499488.62,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Technology,Consumer Electronics,United States,451442016256.0,0.32275,0.2239285284218523,0.10129017754727493,,0.166,0.47862,0.27152002,159975997440.0,101090746368.0,84710998016.0,68507000832.0,16203997184.0,79.548,1.07,,36.506054,31.37783,27.786,9.810397,0.022825633908601005,14687356000.0,14662534368.0,4428825362432.0,none,92.31
ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,1716209664.0,5.62,5900442.0,5900442.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,33160484.04,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Healthcare,Biotechnology,Canada,79208000.0,-6.9175,-1.3306389253610746,1.967363174778526,,0.963,-1.35871,-1.81744,-188284000.0,-105397248.0,134308992.0,504732000.0,-370423008.0,14.317,14.052,,,-7.5277777,-6.823,20.896053,-0.06367895910666822,305375393.0,205322199.0,1655134592.0,none,92.31
ABNB,"Airbnb, Inc. - Class A Common Stock",NASDAQ,USA,North America,USD,Consumer Cyclical,Travel Services,common_stock,True,79256641536.0,133.54,3691225.0,3691225.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,492926186.5,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Consumer Cyclical,Travel Services,United States,12647000064.0,0.03211,0.25231280523855304,-3.6162656863531866,,0.179,0.82913,0.19902,2619000064.0,3191000064.0,2534000128.0,12005000192.0,-9471000064.0,33.185,1.442,,33.19259,22.274359,26.848,6.3086,0.03999505665822292,417930233.0,402135196.0,79784861696.0,none,92.31
ABSI,Absci Corporation - Common Stock,NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,997792384.0,6.4,4715282.0,4715282.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,30177804.8,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Healthcare,Biotechnology,United States,1836000.0,-143.46977,-22.590074074074074,1.041679191322346,,-0.818,0.0,0.0,-116437000.0,-41475376.0,4415000.0,125705000.0,-121290000.0,2.567,6.589,,,-10.1725445,-7.729,556.19727,-0.04061521972831507,155905056.0,146114218.0,1021178176.0,none,92.31
ABUS,Arbutus Biopharma Corporation - Common Stock,NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,839535296.0,4.25,1936204.0,1936204.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,8228867.0,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,PRICE_WEAK_WATCHLIST_RANGE,PRICE_WEAK_WATCHLIST_RANGE,True,,2026-06-09,EQUITY,Healthcare,Biotechnology,United States,191444992.0,0.94412005,-0.4722329012398507,-0.5886217002325274,,100.545,0.89343,0.83950996,155136992.0,-90406624.0,3909000.0,95226000.0,-91317000.0,1.502,54.263,,5.1084337,-25.652933,4.81,4.3749375,-0.1079404912082512,197537710.0,121369144.0,837559872.0,none,92.31
ABVX,Abivax SA - American Depositary Shares,NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,8091386368.0,101.53,1449963.0,1449963.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,147214743.39000002,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Healthcare,Biotechnology,France,4920000.0,-41.83705,-23.266640650406504,1.8005267633580573,,0.352,1.0,0.0,-254004000.0,-114471872.0,34211000.0,491552000.0,-457341000.0,7.964,8.247,,,-35.104763,-29.894,1644.5907,-0.01414737435511867,79694535.0,58232241.0,8091386368.0,none,92.31
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,3691845376.0,21.56,1765846.0,1765846.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,38071639.76,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Healthcare,Biotechnology,United States,1095250048.0,-0.01722,0.1407337295090445,-8.636499768086551,,0.097,0.61579,0.34298,92707000.0,154138624.0,50794000.0,851457984.0,-800663984.0,4.07,3.587,,9.819005,24.300928,31.445,3.3926668,0.04148174195427655,171235870.0,127303595.0,3715818496.0,none,92.31
