ticker,name,stage,status,reason_code,reason_text,metric_name,metric_value,threshold,severity,recoverable,special_case,sector,industry,country,market_cap,data_date,created_at
AAL,"American Airlines Group, Inc. - Common Stock",stage2,REJECTED,OPERATING_MARGIN_WATCHLIST_RANGE,Operating margin below pass threshold but above rejection threshold.,operating_margin,-0.00065,0.0,medium,True,False,Industrials,Airlines,USA,8928699392.0,2026-06-09,2026-06-09T08:37:54+00:00
AAL,"American Airlines Group, Inc. - Common Stock",stage2,REJECTED,DEBT_TOO_HIGH,Net debt to EBITDA above Stage 2 maximum.,net_debt_to_ebitda,6.593353196480939,5.0,high,True,False,Industrials,Airlines,USA,8928699392.0,2026-06-09,2026-06-09T08:37:54+00:00
AAL,"American Airlines Group, Inc. - Common Stock",stage2,REJECTED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,"Shares dilution 3Y unavailable from the current free fundamentals provider; tracked as provider limitation, not as a clean-pass blocker.",shares_dilution_3y,,provider limitation,low,True,False,Industrials,Airlines,USA,8928699392.0,2026-06-09,2026-06-09T08:37:54+00:00
AAOI,"Applied Optoelectronics, Inc. - Common Stock",stage2,REJECTED,OPERATING_MARGIN_WATCHLIST_RANGE,Operating margin below pass threshold but above rejection threshold.,operating_margin,-0.08595,0.0,medium,True,False,Technology,Communication Equipment,USA,14202970112.0,2026-06-09,2026-06-09T08:37:54+00:00
AAOI,"Applied Optoelectronics, Inc. - Common Stock",stage2,REJECTED,FCF_MARGIN_TOO_NEGATIVE,FCF margin below Stage 2 minimum.,fcf_margin,-0.8788624536489152,-0.1,high,True,False,Technology,Communication Equipment,USA,14202970112.0,2026-06-09,2026-06-09T08:37:54+00:00
AAOI,"Applied Optoelectronics, Inc. - Common Stock",stage2,REJECTED,DEBT_TOO_HIGH,Net debt to EBITDA above Stage 2 maximum.,net_debt_to_ebitda,5.801390442890443,5.0,high,True,False,Technology,Communication Equipment,USA,14202970112.0,2026-06-09,2026-06-09T08:37:54+00:00
AAOI,"Applied Optoelectronics, Inc. - Common Stock",stage2,REJECTED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,"Shares dilution 3Y unavailable from the current free fundamentals provider; tracked as provider limitation, not as a clean-pass blocker.",shares_dilution_3y,,provider limitation,low,True,False,Technology,Communication Equipment,USA,14202970112.0,2026-06-09,2026-06-09T08:37:54+00:00
AAON,"AAON, Inc. - Common Stock",stage2,REJECTED,FCF_MARGIN_TOO_NEGATIVE,FCF margin below Stage 2 minimum.,fcf_margin,-0.1330488326761387,-0.1,high,True,False,Industrials,Building Products & Equipment,USA,10863130624.0,2026-06-09,2026-06-09T08:37:54+00:00
AAON,"AAON, Inc. - Common Stock",stage2,REJECTED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,"Shares dilution 3Y unavailable from the current free fundamentals provider; tracked as provider limitation, not as a clean-pass blocker.",shares_dilution_3y,,provider limitation,low,True,False,Industrials,Building Products & Equipment,USA,10863130624.0,2026-06-09,2026-06-09T08:37:54+00:00
AAPL,Apple Inc. - Common Stock,stage2,PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,"Shares dilution 3Y unavailable from the current free fundamentals provider; tracked as provider limitation, not as a clean-pass blocker.",shares_dilution_3y,,provider limitation,low,True,False,Technology,Consumer Electronics,USA,4514011676672.0,2026-06-09,2026-06-09T08:37:54+00:00
ABCL,AbCellera Biologics Inc. - Common Shares,stage2,WATCHLIST,OPERATING_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE,"Operating margin is very negative, but company has special/growth exception.",operating_margin,-6.9175,-0.2,medium,True,True,Healthcare,Biotechnology,USA,1716209664.0,2026-06-09,2026-06-09T08:37:54+00:00
ABCL,AbCellera Biologics Inc. - Common Shares,stage2,WATCHLIST,FCF_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE,"FCF margin very negative, but company has special/growth exception.",fcf_margin,-1.3306389253610746,-0.1,medium,True,True,Healthcare,Biotechnology,USA,1716209664.0,2026-06-09,2026-06-09T08:37:54+00:00
ABCL,AbCellera Biologics Inc. - Common Shares,stage2,WATCHLIST,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,"Shares dilution 3Y unavailable from the current free fundamentals provider; tracked as provider limitation, not as a clean-pass blocker.",shares_dilution_3y,,provider limitation,low,True,True,Healthcare,Biotechnology,USA,1716209664.0,2026-06-09,2026-06-09T08:37:54+00:00
ABNB,"Airbnb, Inc. - Class A Common Stock",stage2,PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,"Shares dilution 3Y unavailable from the current free fundamentals provider; tracked as provider limitation, not as a clean-pass blocker.",shares_dilution_3y,,provider limitation,low,True,False,Consumer Cyclical,Travel Services,USA,79256641536.0,2026-06-09,2026-06-09T08:37:54+00:00
ABSI,Absci Corporation - Common Stock,stage2,WATCHLIST,OPERATING_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE,"Operating margin is very negative, but company has special/growth exception.",operating_margin,-143.46977,-0.2,medium,True,True,Healthcare,Biotechnology,USA,997792384.0,2026-06-09,2026-06-09T08:37:54+00:00
