home_mic,home_country,source_type,primary_fundamental_route,fundamental_route_status
MTAA,IT,provider_api,eodhd_fundamentals,FUNDAMENTALS_ROUTE_READY_FOR_PROVIDER_PILOT
XAMS,NL,provider_api,eodhd_fundamentals,FUNDAMENTALS_ROUTE_READY_FOR_PROVIDER_PILOT
XBRU,BE,provider_api,eodhd_fundamentals,FUNDAMENTALS_ROUTE_READY_FOR_PROVIDER_PILOT
XCSE,DK,provider_api,eodhd_fundamentals,FUNDAMENTALS_ROUTE_READY_FOR_PROVIDER_PILOT
XDUB,IE,manual_review,issuer_filings_manual_review,FUNDAMENTALS_ROUTE_MANUAL_REVIEW_REQUIRED
XETR,DE,provider_api,eodhd_fundamentals,FUNDAMENTALS_ROUTE_READY_FOR_PROVIDER_PILOT
XHEL,FI,provider_api,eodhd_fundamentals,FUNDAMENTALS_ROUTE_READY_FOR_PROVIDER_PILOT
XLIS,PT,provider_api,eodhd_fundamentals,FUNDAMENTALS_ROUTE_READY_FOR_PROVIDER_PILOT
XLON,GB,official_filing_registry,uk_companies_house_filings,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW
XMAD,ES,official_filing_registry,cnmv_issuer_filings,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW
XOSL,NO,provider_api,eodhd_fundamentals,FUNDAMENTALS_ROUTE_READY_FOR_PROVIDER_PILOT
XPAR,FR,provider_api,eodhd_fundamentals,FUNDAMENTALS_ROUTE_READY_FOR_PROVIDER_PILOT
XSTO,SE,provider_api,eodhd_fundamentals,FUNDAMENTALS_ROUTE_READY_FOR_PROVIDER_PILOT
XSWX,CH,provider_api,eodhd_fundamentals,FUNDAMENTALS_ROUTE_READY_FOR_PROVIDER_PILOT
XWBO,AT,provider_api,eodhd_fundamentals,FUNDAMENTALS_ROUTE_READY_FOR_PROVIDER_PILOT
