asset_id,ticker,company_number,feature,reason,current_period_end,previous_period_end,phase
U36866,RAW,122119m,revenue_yoy_growth,missing_current_period_value,2024-12-31,2023-12-31,v2.38AK-europe-growth-features
U36866,RAW,122119m,net_profit_yoy_growth,missing_current_period_value,2024-12-31,2023-12-31,v2.38AK-europe-growth-features
U36866,RAW,122119m,assets_yoy_growth,missing_current_period_value,2024-12-31,2023-12-31,v2.38AK-europe-growth-features
U36866,RAW,122119m,equity_yoy_growth,missing_current_period_value,2024-12-31,2023-12-31,v2.38AK-europe-growth-features
U36868,EBO,33209m,revenue_yoy_growth,missing_current_period_value,2025-12-31,2024-12-31,v2.38AK-europe-growth-features
U36868,EBO,33209m,net_profit_yoy_growth,missing_previous_period_value,2025-12-31,2024-12-31,v2.38AK-europe-growth-features
U36868,EBO,33209m,assets_yoy_growth,missing_previous_period_value,2025-12-31,2024-12-31,v2.38AK-europe-growth-features
U36868,EBO,33209m,equity_yoy_growth,missing_current_period_value,2025-12-31,2024-12-31,v2.38AK-europe-growth-features
U36871,OEWA,76023z,revenue_yoy_growth,missing_previous_period_value,2025-12-31,2024-12-31,v2.38AK-europe-growth-features
U36871,OEWA,76023z,net_profit_yoy_growth,missing_previous_period_value,2025-12-31,2024-12-31,v2.38AK-europe-growth-features
U36871,OEWA,76023z,assets_yoy_growth,missing_previous_period_value,2025-12-31,2024-12-31,v2.38AK-europe-growth-features
U36871,OEWA,76023z,equity_yoy_growth,missing_previous_period_value,2025-12-31,2024-12-31,v2.38AK-europe-growth-features
U36872,FAA,98699x,revenue_yoy_growth,missing_current_period_value,2025-03-31,2024-03-31,v2.38AK-europe-growth-features
U36872,FAA,98699x,net_profit_yoy_growth,missing_current_period_value,2025-03-31,2024-03-31,v2.38AK-europe-growth-features
U36872,FAA,98699x,assets_yoy_growth,missing_current_period_value,2025-03-31,2024-03-31,v2.38AK-europe-growth-features
U36872,FAA,98699x,equity_yoy_growth,missing_current_period_value,2025-03-31,2024-03-31,v2.38AK-europe-growth-features
U36873,UN9,92933t,revenue_yoy_growth,missing_current_period_value,2025-12-31,2024-12-31,v2.38AK-europe-growth-features
U36873,UN9,92933t,net_profit_yoy_growth,missing_previous_period_value,2025-12-31,2024-12-31,v2.38AK-europe-growth-features
U36873,UN9,92933t,assets_yoy_growth,missing_previous_period_value,2025-12-31,2024-12-31,v2.38AK-europe-growth-features
U36873,UN9,92933t,equity_yoy_growth,missing_previous_period_value,2025-12-31,2024-12-31,v2.38AK-europe-growth-features
U36874,WIB,77676f,revenue_yoy_growth,missing_previous_period_value,2025-12-31,2024-12-31,v2.38AK-europe-growth-features
U36874,WIB,77676f,net_profit_yoy_growth,missing_previous_period_value,2025-12-31,2024-12-31,v2.38AK-europe-growth-features
U36874,WIB,77676f,assets_yoy_growth,missing_previous_period_value,2025-12-31,2024-12-31,v2.38AK-europe-growth-features
U36874,WIB,77676f,equity_yoy_growth,missing_previous_period_value,2025-12-31,2024-12-31,v2.38AK-europe-growth-features
U36875,VAS,66209t,net_profit_yoy_growth,missing_current_period_value,2024-03-31,2023-03-31,v2.38AK-europe-growth-features
U36878,WAH,306731a,net_profit_yoy_growth,nonpositive_previous_period_value,2025-12-31,2024-12-31,v2.38AK-europe-growth-features
U36879,GEPH,603735x,revenue_yoy_growth,missing_previous_period_value,2024-12-31,2023-12-31,v2.38AK-europe-growth-features
U36879,GEPH,603735x,net_profit_yoy_growth,missing_current_period_value,2024-12-31,2023-12-31,v2.38AK-europe-growth-features
U36879,GEPH,603735x,equity_yoy_growth,nonpositive_previous_period_value,2024-12-31,2023-12-31,v2.38AK-europe-growth-features
U36880,4X0,583243k,revenue_yoy_growth,missing_previous_period_value,2024-12-31,2023-12-31,v2.38AK-europe-growth-features
U36880,4X0,583243k,net_profit_yoy_growth,missing_previous_period_value,2024-12-31,2023-12-31,v2.38AK-europe-growth-features
U36882,0B2,269842b,revenue_yoy_growth,missing_current_period_value,2024-12-31,2023-12-31,v2.38AK-europe-growth-features
U36882,0B2,269842b,net_profit_yoy_growth,missing_current_period_value,2024-12-31,2023-12-31,v2.38AK-europe-growth-features
U36882,0B2,269842b,assets_yoy_growth,missing_current_period_value,2024-12-31,2023-12-31,v2.38AK-europe-growth-features
U36882,0B2,269842b,equity_yoy_growth,missing_current_period_value,2024-12-31,2023-12-31,v2.38AK-europe-growth-features
