theme_id,theme_name,region,applies_countries,sector_hint,opportunity_score,risk_score,confidence_level,context_summary,data_mode,asof_date,source_policy,phase
INTEREST_RATES,Interest rates,GLOBAL,ALL,ALL,45,70,MEDIUM,"Higher or volatile interest rates can affect discount rates, financing costs and risk appetite worldwide.",STATIC_TAXONOMY,2026-09-06,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38AM-global-macro-geopolitical-context
INFLATION,Inflation,GLOBAL,ALL,ALL,50,62,MEDIUM,Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.,STATIC_TAXONOMY,2026-09-06,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38AM-global-macro-geopolitical-context
USD_STRENGTH,US dollar strength,GLOBAL,ALL,ALL,48,55,LOW,A stronger dollar can pressure foreign-revenue translation for non-US exporters and help import-heavy cost bases.,STATIC_TAXONOMY,2026-09-06,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38AM-global-macro-geopolitical-context
AI_SEMICONDUCTORS,AI and semiconductors,GLOBAL,ALL,technology semiconductors infrastructure,78,58,MEDIUM,"AI infrastructure demand can be a tailwind for chips, compute, data infrastructure and related suppliers.",STATIC_TAXONOMY,2026-09-06,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38AM-global-macro-geopolitical-context
DEFENSE_SECURITY,Defense and security,GLOBAL,ALL,defense aerospace security,72,45,MEDIUM,"Security spending can support selected defense, aerospace and dual-use technology suppliers.",STATIC_TAXONOMY,2026-09-06,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38AM-global-macro-geopolitical-context
ENERGY_TRANSITION,Energy transition,GLOBAL,ALL,renewables grid storage electrification,66,62,MEDIUM,Electrification and grid investment can help some energy-transition suppliers but policy support is uneven.,STATIC_TAXONOMY,2026-09-06,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38AM-global-macro-geopolitical-context
OIL_GAS_SUPPLY,Oil and gas supply,GLOBAL,ALL,oil gas energy services,58,68,MEDIUM,"Energy supply volatility can affect producers, services and input-sensitive industries.",STATIC_TAXONOMY,2026-09-06,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38AM-global-macro-geopolitical-context
CHINA_US_TENSIONS,China-US tensions,GLOBAL,ALL,china supply chain semiconductors manufacturing,52,76,MEDIUM,"Trade and technology restrictions can reshape supply chains and add geopolitical execution risk for companies with China exposure, wherever they are listed.",STATIC_TAXONOMY,2026-09-06,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38AM-global-macro-geopolitical-context
SUPPLY_CHAIN_RESILIENCE,Supply-chain resilience,GLOBAL,ALL,logistics manufacturing industrial,64,50,MEDIUM,Reshoring and supplier diversification can support selected industrial and logistics businesses.,STATIC_TAXONOMY,2026-09-06,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38AM-global-macro-geopolitical-context
CYBERSECURITY,Cybersecurity,GLOBAL,ALL,software cyber security,73,42,MEDIUM,Security demand remains structurally relevant as digital infrastructure expands.,STATIC_TAXONOMY,2026-09-06,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38AM-global-macro-geopolitical-context
HEALTHCARE_REGULATION,Healthcare regulation,GLOBAL,ALL,healthcare biotech pharma medical,55,72,MEDIUM,"Healthcare and biotech names face policy, reimbursement and trial/regulatory uncertainty.",STATIC_TAXONOMY,2026-09-06,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38AM-global-macro-geopolitical-context
BANK_CREDIT_CYCLE,Bank credit cycle,GLOBAL,ALL,banks financial credit,44,74,MEDIUM,Credit quality and funding costs can materially affect banks and lenders.,STATIC_TAXONOMY,2026-09-06,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38AM-global-macro-geopolitical-context
SMALL_CAP_LIQUIDITY,Small-cap liquidity,GLOBAL,ALL,ALL,54,70,MEDIUM,Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.,STATIC_TAXONOMY,2026-09-06,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38AM-global-macro-geopolitical-context
INDUSTRIAL_RESHORING,Industrial reshoring,GLOBAL,ALL,industrial manufacturing automation,68,48,MEDIUM,Domestic manufacturing investment can benefit selected industrial suppliers.,STATIC_TAXONOMY,2026-09-06,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38AM-global-macro-geopolitical-context
CONSTRUCTION_INFRASTRUCTURE,Construction and infrastructure,GLOBAL,ALL,construction infrastructure cement,60,55,MEDIUM,"Public and private infrastructure investment cycles can support construction and building-materials suppliers, but are sensitive to financing costs.",STATIC_TAXONOMY,2026-09-06,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38AM-global-macro-geopolitical-context
