asset_id,ticker,company_name,country,eligibility_status,review_reasons
U00013,ABAT,American Battery Technology Company - Common Stock,USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00015,ABEO,Abeona Therapeutics Inc. - Common Stock,USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00023,ABVC,"ABVC BioPharma, Inc. - Common Stock",USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00035,ACIC,American Coastal Insurance Corporation - Common Stock,USA,REVIEW_REQUIRED,financial_institution_requires_separate_factor_contract
U00043,ACON,"Aclarion, Inc. - Common Stock",USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00044,ACRS,"Aclaris Therapeutics, Inc. - Common Stock",USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00073,AEI,Alset Inc. - Common Stock,USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00080,AEVA,"Aeva Technologies, Inc. - Common Stock",USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00090,AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00104,AIFC,AI Financial Corporation - Common Stock,USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00105,AIFF,"Firefly Neuroscience, Inc. - Common Stock",USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00106,AIFU,AIFU Inc. - Class A Ordinary Share,USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00107,AIHS,Senmiao Technology Limited - Common Stock,USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00108,AIIO,Robo.ai Inc. - Class B Ordinary Shares,USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00110,AIMD,"Ainos, Inc. - Common Stock",USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00111,AIOS,AIOS Tech Inc. - Class A Common Shares,USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00114,AIRE,reAlpha Tech Corp. - Common Stock,USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00128,ALCO,"Alico, Inc. - Common Stock",USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00131,ALEC,"Alector, Inc. - Common Stock",USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00135,ALGS,"Aligos Therapeutics, Inc. - Common stock",USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00146,ALMS,Alumis Inc. - Common Stock,USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00157,ALT,"Altimmune, Inc. - Common Stock",USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00167,AMCI,AMC Robotics Corporation - Common Stock,USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00174,AMOD,"Alpha Modus Holdings, Inc. - Class A Common Stock",USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00182,AMST,Amesite Inc. - Common Stock,USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00226,ARAI,Arrive AI Inc. - Common Stock,USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00229,ARBE,Arbe Robotics Ltd. - Ordinary Shares,USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00253,ASBP,"Aspire Biopharma Holdings, Inc. - Common Stock",USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00260,ASPI,ASP Isotopes Inc. - Common Stock,USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00263,ASST,"Strive, Inc. - Class A Common Stock",USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00264,ASTC,Astrotech Corporation - Common Stock,USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00267,ASTI,"Ascent Solar Technologies, Inc - Common Stock",USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00272,ATAI,AtaiBeckley Inc. - Common Stock,USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00273,ATCX,Atlas Critical Minerals Corporation - Common Stock,USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00276,ATEX,Anterix Inc. - Common Stock,USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00277,ATGL,Alpha Technology Group Limited - Class A Ordinary Shares,USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00282,ATLX,Atlas Lithium Corporation - Common Stock,USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00284,ATOM,Atomera Incorporated - Common Stock,USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00291,ATYR,"aTyr Pharma, Inc. - Common Stock",USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00292,AUBN,"Auburn National Bancorporation, Inc. - Common Stock",USA,REVIEW_REQUIRED,financial_institution_requires_separate_factor_contract
U00293,AUC,ATIF Holdings Limited - Ordinary Shares,USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00296,AUID,authID Inc. - Common Stock,USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00298,AUR,"Aurora Innovation, Inc. - Class A Common Stock",USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00300,AURE,Aurelion Inc. - Class A Ordinary Shares,USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00313,AVR,Anteris Technologies Global Corp. - Common Stock,USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00315,AVTX,"Avalo Therapeutics, Inc. - Common Stock",USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00316,AVX,Avax One Technology Ltd. - Common Shares,USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00338,BAOS,Baosheng Media Group Holdings Limited - Ordinary shares,USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00351,BCAL,California BanCorp - Common Stock,USA,REVIEW_REQUIRED,financial_institution_requires_separate_factor_contract
U00354,BCBP,"BCB Bancorp, Inc. (NJ) - Common Stock",USA,REVIEW_REQUIRED,financial_institution_requires_separate_factor_contract
U00375,BFC,Bank First Corporation - Common Stock,USA,REVIEW_REQUIRED,financial_institution_requires_separate_factor_contract
U00376,BFRG,"Bullfrog AI Holdings, Inc. - Common Stock",USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00378,BFST,"Business First Bancshares, Inc. - Common Stock",USA,REVIEW_REQUIRED,financial_institution_requires_separate_factor_contract
U00391,BIOA,"BioAge Labs, Inc. - Common Stock",USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00424,BMRC,Bank of Marin Bancorp - Common Stock,USA,REVIEW_REQUIRED,financial_institution_requires_separate_factor_contract
U00426,BNAI,Brand Engagement Network Inc. - Common Stock,USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00428,BNC,CEA Industries Inc. - Common Stock,USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00430,BNKK,"Bonk, Inc. - Common Stock",USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00438,BOLT,"Bolt Biotherapeutics, Inc. - Common Stock",USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
