asset_id,ticker,company_name,exchange,priority_bucket,fundamental_feature_status,provider_symbol,acquisition_status,reason,local_price_path,expected_min_rows,adjusted_prices_required
U00007,AAME,Atlantic American Corporation - Common Stock,NASDAQ,FEATURES_READY,FEATURES_READY,AAME,LOCAL_PRICE_READY,local_price_history_exists,outputs\full_universe_source_acquisition\v2_38i_us_price_history_acquisition\us_price_history_raw_v2_38i\U00007.csv,252,true
U00008,AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,FEATURES_READY,FEATURES_READY,AAOI,LOCAL_PRICE_READY,local_price_history_exists,outputs\full_universe_source_acquisition\v2_38i_us_price_history_acquisition\us_price_history_raw_v2_38i\U00008.csv,252,true
U00011,AAPL,Apple Inc. - Common Stock,NASDAQ,FEATURES_READY,FEATURES_READY,AAPL,LOCAL_PRICE_READY,local_price_history_exists,outputs\full_universe_source_acquisition\v2_38i_us_price_history_acquisition\us_price_history_raw_v2_38i\U00011.csv,252,true
U00014,ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ,FEATURES_READY,FEATURES_READY,ABCL,LOCAL_PRICE_READY,local_price_history_exists,outputs\full_universe_source_acquisition\v2_38i_us_price_history_acquisition\us_price_history_raw_v2_38i\U00014.csv,252,true
U00015,ABEO,Abeona Therapeutics Inc. - Common Stock,NASDAQ,FEATURES_READY,FEATURES_READY,ABEO,LOCAL_PRICE_READY,local_price_history_exists,outputs\full_universe_source_acquisition\v2_38i_us_price_history_acquisition\us_price_history_raw_v2_38i\U00015.csv,252,true
U00016,ABLV,Able View Global Inc. - Class B Ordinary Shares,NASDAQ,FEATURES_READY,FEATURES_READY,ABLV,LOCAL_PRICE_READY,local_price_history_exists,outputs\full_universe_source_acquisition\v2_38i_us_price_history_acquisition\us_price_history_raw_v2_38i\U00016.csv,252,true
U00017,ABNB,"Airbnb, Inc. - Class A Common Stock",NASDAQ,FEATURES_READY,FEATURES_READY,ABNB,LOCAL_PRICE_READY,local_price_history_exists,outputs\full_universe_source_acquisition\v2_38i_us_price_history_acquisition\us_price_history_raw_v2_38i\U00017.csv,252,true
U00020,ABTC,American Bitcoin Corp. - Class A Common Stock,NASDAQ,FEATURES_READY,FEATURES_READY,ABTC,LOCAL_PRICE_READY,local_price_history_exists,outputs\full_universe_source_acquisition\v2_38i_us_price_history_acquisition\us_price_history_raw_v2_38i\U00020.csv,252,true
U00021,ABTS,Abits Group Inc - Ordinary Shares,NASDAQ,FEATURES_READY,FEATURES_READY,ABTS,LOCAL_PRICE_READY,local_price_history_exists,outputs\full_universe_source_acquisition\v2_38i_us_price_history_acquisition\us_price_history_raw_v2_38i\U00021.csv,252,true
U00022,ABUS,Arbutus Biopharma Corporation - Common Stock,NASDAQ,FEATURES_READY,FEATURES_READY,ABUS,LOCAL_PRICE_READY,local_price_history_exists,outputs\full_universe_source_acquisition\v2_38i_us_price_history_acquisition\us_price_history_raw_v2_38i\U00022.csv,252,true
U00025,ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,NASDAQ,FEATURES_READY,FEATURES_READY,ACAD,LOCAL_PRICE_READY,local_price_history_exists,outputs\full_universe_source_acquisition\v2_38i_us_price_history_acquisition\us_price_history_raw_v2_38i\U00025.csv,252,true
U00027,ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,NASDAQ,FEATURES_READY,FEATURES_READY,ACCL,LOCAL_PRICE_READY,local_price_history_exists,outputs\full_universe_source_acquisition\v2_38i_us_price_history_acquisition\us_price_history_raw_v2_38i\U00027.csv,252,true
U00028,ACDC,ProFrac Holding Corp. - Class A Common Stock,NASDAQ,FEATURES_READY,FEATURES_READY,ACDC,LOCAL_PRICE_READY,local_price_history_exists,outputs\full_universe_source_acquisition\v2_38i_us_price_history_acquisition\us_price_history_raw_v2_38i\U00028.csv,252,true
U00030,ACFN,"Acorn Energy, Inc. - Common Stock",NASDAQ,FEATURES_READY,FEATURES_READY,ACFN,LOCAL_PRICE_READY,local_price_history_exists,outputs\full_universe_source_acquisition\v2_38i_us_price_history_acquisition\us_price_history_raw_v2_38i\U00030.csv,252,true
U00032,ACGL,Arch Capital Group Ltd. - Common Stock,NASDAQ,FEATURES_READY,FEATURES_READY,ACGL,LOCAL_PRICE_READY,local_price_history_exists,outputs\full_universe_source_acquisition\v2_38i_us_price_history_acquisition\us_price_history_raw_v2_38i\U00032.csv,252,true
U00033,ACHC,"Acadia Healthcare Company, Inc. - Common Stock",NASDAQ,FEATURES_READY,FEATURES_READY,ACHC,LOCAL_PRICE_READY,local_price_history_exists,outputs\full_universe_source_acquisition\v2_38i_us_price_history_acquisition\us_price_history_raw_v2_38i\U00033.csv,252,true
U00035,ACIC,American Coastal Insurance Corporation - Common Stock,NASDAQ,FEATURES_READY,FEATURES_READY,ACIC,LOCAL_PRICE_READY,local_price_history_exists,outputs\full_universe_source_acquisition\v2_38i_us_price_history_acquisition\us_price_history_raw_v2_38i\U00035.csv,252,true
U00037,ACIW,"ACI Worldwide, Inc. - Common Stock",NASDAQ,FEATURES_READY,FEATURES_READY,ACIW,LOCAL_PRICE_READY,local_price_history_exists,outputs\full_universe_source_acquisition\v2_38i_us_price_history_acquisition\us_price_history_raw_v2_38i\U00037.csv,252,true
