dimension,dimension_value,asset_count,provider_candidate,provider_pilot_status,fundamentals_fetch_status,real_fundamentals_downloaded,normalized_fundamentals_created
country,AT,20,eodhd_fundamentals,PROVIDER_PILOT_READY_FOR_FUTURE_EXECUTION,NOT_REQUESTED_OFFLINE_PHASE,false,false
country,BE,6,eodhd_fundamentals,PROVIDER_PILOT_READY_FOR_FUTURE_EXECUTION,NOT_REQUESTED_OFFLINE_PHASE,false,false
country,CH,29,eodhd_fundamentals,PROVIDER_PILOT_READY_FOR_FUTURE_EXECUTION,NOT_REQUESTED_OFFLINE_PHASE,false,false
country,DE,413,eodhd_fundamentals,PROVIDER_PILOT_READY_FOR_FUTURE_EXECUTION,NOT_REQUESTED_OFFLINE_PHASE,false,false
country,DK,21,eodhd_fundamentals,PROVIDER_PILOT_READY_FOR_FUTURE_EXECUTION,NOT_REQUESTED_OFFLINE_PHASE,false,false
country,FI,5,eodhd_fundamentals,PROVIDER_PILOT_READY_FOR_FUTURE_EXECUTION,NOT_REQUESTED_OFFLINE_PHASE,false,false
country,FR,53,eodhd_fundamentals,PROVIDER_PILOT_READY_FOR_FUTURE_EXECUTION,NOT_REQUESTED_OFFLINE_PHASE,false,false
country,IT,22,eodhd_fundamentals,PROVIDER_PILOT_READY_FOR_FUTURE_EXECUTION,NOT_REQUESTED_OFFLINE_PHASE,false,false
country,NL,44,eodhd_fundamentals,PROVIDER_PILOT_READY_FOR_FUTURE_EXECUTION,NOT_REQUESTED_OFFLINE_PHASE,false,false
country,SE,4,eodhd_fundamentals,PROVIDER_PILOT_READY_FOR_FUTURE_EXECUTION,NOT_REQUESTED_OFFLINE_PHASE,false,false
exchange,Borsa Italiana,22,eodhd_fundamentals,PROVIDER_PILOT_READY_FOR_FUTURE_EXECUTION,NOT_REQUESTED_OFFLINE_PHASE,false,false
