asset_id,ticker,company_name,home_exchange,home_mic,home_country,home_currency,source_type,fundamental_route_status,exclusion_reason,phase,network_allowed,scoring_created,ranking_created,recommendations_created,phase9c_authorized
U37366,A441,ESP0,BME,XMAD,ES,EUR,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37367,472,ESP0,BME,XMAD,ES,EUR,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37368,AI3A,ESP0,BME,XMAD,ES,EUR,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37369,BOY,ESP0,BME,XMAD,ES,EUR,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37370,BDSB,ESP0,BME,XMAD,ES,EUR,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37371,BSD2,ESP0,BME,XMAD,ES,EUR,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37372,IDA,ESP0,BME,XMAD,ES,EUR,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37373,ENA,ESP0,BME,XMAD,ES,EUR,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37374,48CA,ESP0,BME,XMAD,ES,EUR,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37375,IBE1,ESP0,BME,XMAD,ES,EUR,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37376,IXD1,ESP0,BME,XMAD,ES,EUR,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37377,RE21,ESP0,BME,XMAD,ES,EUR,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37378,REP,ESP0,BME,XMAD,ES,EUR,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37379,INR,ESP0,BME,XMAD,ES,EUR,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37380,TNE5,ESP0,BME,XMAD,ES,EUR,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37439,GUI,UKI0,LSE,XLON,GB,GBP,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37440,BSP,UKI0,LSE,XLON,GB,GBP,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37441,BMT,UKI0,LSE,XLON,GB,GBP,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37442,ITB,UKI0,LSE,XLON,GB,GBP,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37443,LGI,UKI0,LSE,XLON,GB,GBP,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37444,PES,UKI0,LSE,XLON,GB,GBP,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37445,RIO1,UKI0,LSE,XLON,GB,GBP,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37446,SCT,UKI0,LSE,XLON,GB,GBP,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37447,BPE5,UKI0,LSE,XLON,GB,GBP,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37448,LLD,UKI0,LSE,XLON,GB,GBP,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37449,NPW1,UKI0,LSE,XLON,GB,GBP,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37450,BCY,UKI0,LSE,XLON,GB,GBP,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37451,KFI1,UKI0,LSE,XLON,GB,GBP,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37452,IJ8,UKI0,LSE,XLON,GB,GBP,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37453,RTO1,UKI0,LSE,XLON,GB,GBP,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37454,LS4C,UKI0,LSE,XLON,GB,GBP,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37455,RDEB,UKI0,LSE,XLON,GB,GBP,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37456,RRU,UKI0,LSE,XLON,GB,GBP,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37457,EJT1,UKI0,LSE,XLON,GB,GBP,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
