Symbol,Name,Exchange,Country,Sector,Industry,Market Cap,Last Sale,Volume,Source
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,NASDAQ,USA,,,,,,nasdaqlisted
AACBR,Artius II Acquisition Inc. - Rights,NASDAQ,USA,,,,,,nasdaqlisted
AACBU,Artius II Acquisition Inc. - Units,NASDAQ,USA,,,,,,nasdaqlisted
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",NASDAQ,USA,,,,,,nasdaqlisted
AACI,Armada Acquisition Corp. III - Class A Ordinary Share,NASDAQ,USA,,,,,,nasdaqlisted
AACIU,Armada Acquisition Corp. III - Units,NASDAQ,USA,,,,,,nasdaqlisted
AACIW,Armada Acquisition Corp. III - Warrant,NASDAQ,USA,,,,,,nasdaqlisted
AACO,Abony Acquisition Corp. I - Class A Ordinary Share,NASDAQ,USA,,,,,,nasdaqlisted
AACOU,Abony Acquisition Corp. I - Units,NASDAQ,USA,,,,,,nasdaqlisted
AACOW,Abony Acquisition Corp. I - Warrants,NASDAQ,USA,,,,,,nasdaqlisted
AACP,Apogee Acquisition Corp - Class A Ordinary Shares,NASDAQ,USA,,,,,,nasdaqlisted
AACPR,Apogee Acquisition Corp - Rights,NASDAQ,USA,,,,,,nasdaqlisted
AACPU,Apogee Acquisition Corp - Units,NASDAQ,USA,,,,,,nasdaqlisted
AACPW,Apogee Acquisition Corp - Warrant,NASDAQ,USA,,,,,,nasdaqlisted
AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
AAME,Atlantic American Corporation - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
AAON,"AAON, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
AAPG,Ascentage Pharma Group International - American Depository Shares,NASDAQ,USA,,,,,,nasdaqlisted
AAPL,Apple Inc. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
AARD,"Aardvark Therapeutics, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ABAT,American Battery Technology Company - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ,USA,,,,,,nasdaqlisted
ABEO,Abeona Therapeutics Inc. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
ABLV,Able View Global Inc. - Class B Ordinary Shares,NASDAQ,USA,,,,,,nasdaqlisted
ABLVW,Able View Global Inc. - Warrant,NASDAQ,USA,,,,,,nasdaqlisted
ABNB,"Airbnb, Inc. - Class A Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ABSI,Absci Corporation - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
ABTC,American Bitcoin Corp. - Class A Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
ABTS,Abits Group Inc - Ordinary Shares,NASDAQ,USA,,,,,,nasdaqlisted
ABUS,Arbutus Biopharma Corporation - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
ABVC,"ABVC BioPharma, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ABVX,Abivax SA - American Depositary Shares,NASDAQ,USA,,,,,,nasdaqlisted
ACAA,Averin Capital Acquisition Corp. - Class A Ordinary Shares,NASDAQ,USA,,,,,,nasdaqlisted
ACAAU,Averin Capital Acquisition Corp. - Units,NASDAQ,USA,,,,,,nasdaqlisted
ACAAW,Averin Capital Acquisition Corp. - Warrants,NASDAQ,USA,,,,,,nasdaqlisted
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
ACB,Aurora Cannabis Inc. - Common Shares,NASDAQ,USA,,,,,,nasdaqlisted
ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,NASDAQ,USA,,,,,,nasdaqlisted
ACDC,ProFrac Holding Corp. - Class A Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
ACET,"Adicet Bio, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ACFN,"Acorn Energy, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ACGC,ACP Holdings Acquisition Corp. - Class A Ordinary Shares,NASDAQ,USA,,,,,,nasdaqlisted
ACGCU,ACP Holdings Acquisition Corp. - Units,NASDAQ,USA,,,,,,nasdaqlisted
ACGCW,ACP Holdings Acquisition Corp. - Warrants,NASDAQ,USA,,,,,,nasdaqlisted
ACGL,Arch Capital Group Ltd. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
ACGLN,"Arch Capital Group Ltd. - Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",NASDAQ,USA,,,,,,nasdaqlisted
ACGLO,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F",NASDAQ,USA,,,,,,nasdaqlisted
ACHC,"Acadia Healthcare Company, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ACHV,"Achieve Life Sciences, Inc.  - Common Shares",NASDAQ,USA,,,,,,nasdaqlisted
ACIC,American Coastal Insurance Corporation - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
ACIU,AC Immune SA - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
ACIW,"ACI Worldwide, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ACLS,"Axcelis Technologies, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ACMR,"ACM Research, Inc. - Class A Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ACNB,ACNB Corporation - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
ACNT,Ascent Industries Co. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
ACOG,Alpha Cognition Inc. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
ACON,"Aclarion, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ACONW,"Aclarion, Inc. - Warrant",NASDAQ,USA,,,,,,nasdaqlisted
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
