asset_id,ticker,company_name,exchange,cik,source_priority,candidate_matrix_status,fundamental_quality_status,price_quality_status,evidence_level,missing_reason,revenue_growth_yoy,revenue_growth_3y,gross_margin,operating_margin,net_margin,free_cash_flow_margin,debt_to_assets,cash_to_assets,shares_dilution_flag,profitability_positive_flag,growth_positive_flag,balance_sheet_risk_flag,return_1m,return_3m,return_6m,return_12m,volatility_3m,volatility_6m,max_drawdown_6m,max_drawdown_12m,price_vs_sma_50,price_vs_sma_200,sma_50_vs_sma_200,trend_positive_flag,recent_high_breakout_flag,near_52w_high_flag,recovery_from_drawdown_flag,avg_volume_1m,avg_volume_3m,liquidity_available_flag,fundamental_signal_summary,price_signal_summary,risk_signal_summary,evidence_notes,scoring_calculated,ranking_calculated,recommendation_generated,phase
U00006,AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,0000006201,fundamental_and_price,CANDIDATE_MATRIX_PARTIAL_FUNDAMENTALS,FEATURES_PARTIAL,PRICE_FEATURES_READY,medium,fundamental_features_missing_or_partial,0.007784,,,,0.002032,,,,,true,true,false,-0.192643,-0.070352,0.039326,-0.031414,0.510628,0.507547,-0.286501,-0.373924,-0.164462,-0.069831,0.113258,false,false,false,false,57226484.428571,106182632.904762,true,revenue growth positive; net margin positive; positive FCF flag false,3m return non-positive; 12m return non-positive; trend flag false,12m drawdown within tracked range,Prepared for future scoring; no recommendation language or ranking emitted.,False,False,False,v2.38J-us-candidate-feature-matrix
U00007,AAME,Atlantic American Corporation - Common Stock,NASDAQ,0000008177,fundamental_and_price,CANDIDATE_MATRIX_READY,FEATURES_READY,PRICE_FEATURES_READY,high,,0.007677,,,,-0.022675,0.024306,0.746808,,,true,true,false,-0.136943,-0.332512,-0.478846,-0.597923,0.672179,0.584905,-0.537634,-0.626087,-0.123715,-0.402485,-0.318127,false,false,false,false,157546.190476,63086.825397,true,revenue growth positive; net margin non-positive; positive FCF flag true,3m return non-positive; 12m return non-positive; trend flag false,balance-sheet leverage not elevated; 12m drawdown severe,Prepared for future scoring; no recommendation language or ranking emitted.,False,False,False,v2.38J-us-candidate-feature-matrix
U00008,AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,0001158114,fundamental_and_price,CANDIDATE_MATRIX_READY,FEATURES_READY,PRICE_FEATURES_READY,high,,0.827502,,,,-0.083886,-0.775871,0.371873,,,false,true,false,-0.061882,-0.489104,0.084435,3.272314,1.4143,1.470183,-0.657015,-0.657015,-0.139207,0.03096,0.197686,false,false,false,false,11932363.095238,11641311.507937,true,revenue growth positive; net margin non-positive; positive FCF flag false,3m return non-positive; 12m return positive; trend flag false,balance-sheet leverage not elevated; 12m drawdown severe,Prepared for future scoring; no recommendation language or ranking emitted.,False,False,False,v2.38J-us-candidate-feature-matrix
U00009,AAON,"AAON, Inc. - Common Stock",NASDAQ,0000824142,fundamental_and_price,CANDIDATE_MATRIX_PARTIAL_FUNDAMENTALS,FEATURES_PARTIAL,PRICE_FEATURES_READY,medium,fundamental_features_missing_or_partial,,,,,,,,,,false,false,false,-0.185933,-0.474913,-0.209588,-0.091621,0.569568,0.718622,-0.491737,-0.491737,-0.238341,-0.23734,0.001315,false,false,false,false,1204422.285714,1092405.84127,true,positive FCF flag false,3m return non-positive; 12m return non-positive; trend flag false,12m drawdown within tracked range,Prepared for future scoring; no recommendation language or ranking emitted.,False,False,False,v2.38J-us-candidate-feature-matrix
U00011,AAPL,Apple Inc. - Common Stock,NASDAQ,0000320193,fundamental_and_price,CANDIDATE_MATRIX_READY,FEATURES_READY,PRICE_FEATURES_READY,high,,0.064255,,,,0.269151,0.237329,0.794753,,,true,true,true,0.071551,0.031504,0.23272,0.400577,0.319274,0.272475,-0.127062,-0.13823,0.038956,0.148591,0.105525,true,false,true,false,41894743.380952,54944258.904762,true,revenue growth positive; net margin positive; positive FCF flag true,3m return positive; 12m return positive; trend flag true,balance-sheet leverage elevated; 12m drawdown within tracked range,Prepared for future scoring; no recommendation language or ranking emitted.,False,False,False,v2.38J-us-candidate-feature-matrix
U00012,AARD,"Aardvark Therapeutics, Inc. - Common Stock",NASDAQ,0001774857,fundamental_and_price,CANDIDATE_MATRIX_PARTIAL_FUNDAMENTALS,FEATURES_PARTIAL,PRICE_FEATURES_READY,medium,fundamental_features_missing_or_partial,,,,,,,0.090015,,,false,false,false,-0.163842,0.491184,0.208163,-0.286747,1.589952,1.368049,-0.482912,-0.800115,-0.054117,-0.263459,-0.22132,false,false,false,true,128655.142857,249183.460317,true,positive FCF flag false,3m return positive; 12m return non-positive; trend flag false,balance-sheet leverage not elevated; 12m drawdown severe,Prepared for future scoring; no recommendation language or ranking emitted.,False,False,False,v2.38J-us-candidate-feature-matrix
U00013,ABAT,American Battery Technology Company - Common Stock,NASDAQ,0001576873,fundamental_and_price,CANDIDATE_MATRIX_PARTIAL_FUNDAMENTALS,FEATURES_PARTIAL,PRICE_FEATURES_READY,medium,fundamental_features_missing_or_partial,11.489735,,,,-10.89981,,0.164091,,,false,true,false,0.21028,-0.34264,-0.26,0.048583,0.950069,0.863606,-0.482234,-0.819947,0.035876,-0.223761,-0.250644,false,false,false,false,3218338.095238,5076347.619048,true,revenue growth positive; net margin non-positive; positive FCF flag false,3m return non-positive; 12m return positive; trend flag false,balance-sheet leverage not elevated; 12m drawdown severe,Prepared for future scoring; no recommendation language or ranking emitted.,False,False,False,v2.38J-us-candidate-feature-matrix
U00014,ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ,0001703057,fundamental_and_price,CANDIDATE_MATRIX_READY,FEATURES_READY,PRICE_FEATURES_READY,high,,1.605625,,,,-1.948834,-2.316939,0.287443,,,false,true,false,0.93482,0.840131,2.040431,1.698565,1.151838,0.948684,-0.353448,-0.549433,0.393453,1.24746,0.612871,true,false,true,true,10230200.761905,7762909.777778,true,revenue growth positive; net margin non-positive; positive FCF flag false,3m return positive; 12m return positive; trend flag true,balance-sheet leverage not elevated; 12m drawdown severe,Prepared for future scoring; no recommendation language or ranking emitted.,False,False,False,v2.38J-us-candidate-feature-matrix
U00015,ABEO,Abeona Therapeutics Inc. - Common Stock,NASDAQ,0000318306,fundamental_and_price,CANDIDATE_MATRIX_READY,FEATURES_READY,PRICE_FEATURES_READY,high,,0.662857,,,,12.230756,-14.484708,0.274874,,,true,true,false,-0.064163,0.050967,0.210526,-0.124451,0.566717,0.520715,-0.215818,-0.4,-0.066267,0.092557,0.170095,false,false,false,false,1566365.714286,1383801.269841,true,revenue growth positive; net margin positive; positive FCF flag false,3m return positive; 12m return non-positive; trend flag false,balance-sheet leverage not elevated; 12m drawdown within tracked range,Prepared for future scoring; no recommendation language or ranking emitted.,False,False,False,v2.38J-us-candidate-feature-matrix
U00016,ABLV,Able View Global Inc. - Class B Ordinary Shares,NASDAQ,0001957489,fundamental_and_price,CANDIDATE_MATRIX_READY,FEATURES_READY,PRICE_FEATURES_READY,high,,-0.184044,,,,0.007795,0.011109,0.775046,,,true,false,true,0.350649,-0.079646,0.630094,0.229314,0.89064,1.066584,-0.42437,-0.528455,0.092919,0.262182,0.154872,true,false,false,false,33103.619048,63121.84127,true,revenue growth non-positive; net margin positive; positive FCF flag true,3m return non-positive; 12m return positive; trend flag true,balance-sheet leverage elevated; 12m drawdown severe,Prepared for future scoring; no recommendation language or ranking emitted.,False,False,False,v2.38J-us-candidate-feature-matrix
