asset_id,ticker,company_name,exchange,reason,phase
U08009,AAAA,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08010,AAOX,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08011,AAPR,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08012,AAPW,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08013,AAPX,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08014,AAPY,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08015,AAUA,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08016,AAUM,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08017,ABFL,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08018,ABLD,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08019,ABLG,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08020,ABLS,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08021,ABOT,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08022,ABUF,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08023,ABXB,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08024,ACIO,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08025,ACSG,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08026,ACSI,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08027,ACSV,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08028,ACWV,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08029,ADFI,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08030,ADME,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08031,AEMS,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08032,AESR,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08033,AFIF,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08034,AFRU,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08035,AIOO,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08036,AJAN,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08037,AJUL,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08038,AMDW,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08039,AMZO,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08040,AMZP,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08041,AMZW,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08042,AOCT,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08043,APHU,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08044,APLX,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08045,APLZ,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08046,APOC,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08047,APRB,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08048,APRH,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08049,APRJ,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08050,APRP,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08051,APRT,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08052,APRW,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08053,APRZ,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08054,APXM,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08055,AQEC,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08056,AQLT,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08057,ARCM,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08058,ARCX,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08059,ARKD,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08060,ARKF,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08061,ARKG,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08062,ARKK,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08063,ARKQ,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08064,ARKT,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08065,ARKW,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08066,ARKX,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08067,ARLU,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08068,ARMW,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08069,ARWG,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08070,ASTN,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08071,ASTX,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08072,ATTR,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08073,AUGM,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08074,AUGP,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08075,AUGT,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08076,AUGU,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08077,AUGW,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08078,AUGZ,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08079,AVGW,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08080,AVRY,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08081,BABW,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08082,BAGY,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08083,BALI,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08084,BALT,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08085,BAMA,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08086,BAMB,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08087,BAMD,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08088,BAMG,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08089,BAMO,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08090,BAMU,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08091,BAMV,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08092,BAMY,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08093,BAPR,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08094,BAUG,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08095,BBAX,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08096,BBCA,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08097,BBEM,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08098,BBEU,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08099,BBHY,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08100,BBIB,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08101,BBIN,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08102,BBJP,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08103,BBLB,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08104,BBRE,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08105,BBSB,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08106,BBUS,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08107,BCCC,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08108,BCHP,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08109,BCKT,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08110,BDEC,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08111,BEGS,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08112,BEMB,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08113,BESF,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08114,BEX,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08115,BEZ,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08116,BFEB,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08117,BFLB,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08118,BGLD,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08119,BHYB,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08120,BILT,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08121,BINV,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08122,BITK,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08123,BITX,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08124,BITY,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08125,BJAN,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08126,BJUL,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08127,BJUN,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08128,BKGI,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08129,BLDG,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08130,BMAR,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08131,BMAY,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08132,BMNU,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08133,BNDY,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08134,BNOV,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08135,BOCT,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08136,BOXA,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08137,BOXX,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08138,BRKW,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08139,BRLN,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08140,BSEP,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08141,BSMC,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08142,BTCI,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08143,BTCL,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08144,BTCZ,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08145,BTFL,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08146,BUFB,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08147,BUFD,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08148,BUFF,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08149,BUFG,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08150,BUFH,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08151,BUFP,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08152,BUFQ,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08153,BUFR,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08154,BUFS,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08155,BUFT,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08156,BUFX,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08157,BUFY,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08158,BUFZ,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08159,BUSA,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08160,BUYW,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08161,BUYZ,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08162,BWTG,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08163,CABZ,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08164,CALF,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08165,CAOS,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08166,CBOA,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08167,CBOJ,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08168,CBOL,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08169,CBOO,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08170,CBOY,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08171,CBTA,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08172,CBTJ,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08173,CBTL,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08174,CBTO,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08175,CBTY,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08176,CBXA,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08177,CBXJ,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08178,CBXL,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08179,CBXO,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08180,CBXY,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
U08181,CCUP,,CBOE,invalid_identity,v2.38J-us-candidate-feature-matrix
