asset_id,ticker,company_name_source_value,resolved_company_name,resolution_status,resolution_reason,ticker_form_matched,openfigi_share_class_figi,openfigi_exch_codes,home_mic,home_country,source_row_hash,credentials_used,phase,created_at_utc
U37439,GUI,UKI0,,unresolved,no_openfigi_record_for_ticker_on_lse,,,,XLON,GB,5922a3f75dfaddbbec7f9b202461936fec387ebc62b96f4b544b9aae52c7ce54,false,v2.38V-europe-gb-identity-resolution,2026-09-05T10:16:00Z
U37440,BSP,UKI0,,unresolved,no_openfigi_record_for_ticker_on_lse,,,,XLON,GB,e5df59e83b2c10bd545bb7a02eedd68508b2441f662a84a6906a288c18d1f009,false,v2.38V-europe-gb-identity-resolution,2026-09-05T10:16:00Z
U37441,BMT,UKI0,BRAIME (TF & JH)-A NON VOTG,resolved,exact_openfigi_ticker_lse_match_single_agreeing_name,raw,BBG001S61BP0,LN,XLON,GB,393df0076f0de999341819079fafe0fccae1833caeb6f06b4e86a3109e482001,false,v2.38V-europe-gb-identity-resolution,2026-09-05T10:16:00Z
U37442,ITB,UKI0,,unresolved,no_openfigi_record_for_ticker_on_lse,,,,XLON,GB,782e68d09c469424ed38ee733c5f4eeadf16077be85addc7d8b234ab6da4f045,false,v2.38V-europe-gb-identity-resolution,2026-09-05T10:16:00Z
U37443,LGI,UKI0,,unresolved,no_openfigi_record_for_ticker_on_lse,,,,XLON,GB,c7cdc931b0dcdb393f67257b537a9f9541bd6153b99d0761364f85ced3cf7563,false,v2.38V-europe-gb-identity-resolution,2026-09-05T10:16:00Z
U37444,PES,UKI0,,unresolved,no_openfigi_record_for_ticker_on_lse,,,,XLON,GB,38ccabb0f4eed34a4799d7d884f31f47c854b22cae1c0c5ff100a64e2af4a579,false,v2.38V-europe-gb-identity-resolution,2026-09-05T10:16:00Z
U37445,RIO1,UKI0,RIO TINTO PLC,resolved,exact_openfigi_ticker_lse_match_after_stripping_trailing_digit_suffix,stripped_trailing_digits,BBG001S6W9Q0,LN,XLON,GB,aa4f843d353006aafb62c2fdd764403d89fc00a3c858ee065642107c51248f1b,false,v2.38V-europe-gb-identity-resolution,2026-09-05T10:16:00Z
U37446,SCT,UKI0,SOFTCAT PLC,resolved,exact_openfigi_ticker_lse_match_single_agreeing_name,raw,BBG001TD1C90,LN,XLON,GB,fd312c753f0caa778d8431883dcdac4be6e285ef474975afe6319947d2288bb9,false,v2.38V-europe-gb-identity-resolution,2026-09-05T10:16:00Z
U37447,BPE5,UKI0,,unresolved,no_openfigi_record_for_ticker_on_lse,,,,XLON,GB,d0beda909aed8d62920c2fceacdf4c8fb5bd03f98a0ae452cfb22b3e6fc7f04e,false,v2.38V-europe-gb-identity-resolution,2026-09-05T10:16:00Z
U37448,LLD,UKI0,,unresolved,no_openfigi_record_for_ticker_on_lse,,,,XLON,GB,b8981bbd7eec6a7b3ccdbc0bb7290b39722df5149c697c591979e8bdd5ea7a76,false,v2.38V-europe-gb-identity-resolution,2026-09-05T10:16:00Z
U37449,NPW1,UKI0,,unresolved,no_openfigi_record_for_ticker_on_lse,,,,XLON,GB,bc91a3a49e438665072c680982f3c3d9d9323ee6049bead223be20513174d5da,false,v2.38V-europe-gb-identity-resolution,2026-09-05T10:16:00Z
U37450,BCY,UKI0,,unresolved,no_openfigi_record_for_ticker_on_lse,,,,XLON,GB,1f8027b6f59a2bd4804f333623dfb64042ca2f2bbf0d122a63e9b425451c56b8,false,v2.38V-europe-gb-identity-resolution,2026-09-05T10:16:00Z
U37451,KFI1,UKI0,,unresolved,no_openfigi_record_for_ticker_on_lse,,,,XLON,GB,a477c9e0ff8cd3a709ef7bf68cad66f99ae07d93bad4d08445fe770193e9bde6,false,v2.38V-europe-gb-identity-resolution,2026-09-05T10:16:00Z
U37452,IJ8,UKI0,,unresolved,no_openfigi_record_for_ticker_on_lse,,,,XLON,GB,a7e5ed6ef0c06fd1fcce354801070937992bb0b805902eca97c7c88207438492,false,v2.38V-europe-gb-identity-resolution,2026-09-05T10:16:00Z
U37453,RTO1,UKI0,RENTOKIL INITIAL PLC,resolved,exact_openfigi_ticker_lse_match_after_stripping_trailing_digit_suffix,stripped_trailing_digits,BBG001S63517,LN,XLON,GB,caaea2af8a544a597881b7fdb84bdf98bee5697e99a84292d6f68d934256d47d,false,v2.38V-europe-gb-identity-resolution,2026-09-05T10:16:00Z
U37454,LS4C,UKI0,,unresolved,no_openfigi_record_for_ticker_on_lse,,,,XLON,GB,a70cdb8491cf6b72f2f98a3406631aac1dfa81a62e862ac97eb55355a5c8cf6f,false,v2.38V-europe-gb-identity-resolution,2026-09-05T10:16:00Z
U37455,RDEB,UKI0,,unresolved,no_openfigi_record_for_ticker_on_lse,,,,XLON,GB,30ff5ca3a2e5f9169ba7baf33d9babf1f05f8c9c92df2f0ea0e36c9e51ea2964,false,v2.38V-europe-gb-identity-resolution,2026-09-05T10:16:00Z
U37456,RRU,UKI0,,unresolved,no_openfigi_record_for_ticker_on_lse,,,,XLON,GB,651baa553dea7dbfdd22b2d3fe868551b71d3b94f4ba5e78a4910ce5f4942a2d,false,v2.38V-europe-gb-identity-resolution,2026-09-05T10:16:00Z
U37457,EJT1,UKI0,,unresolved,no_openfigi_record_for_ticker_on_lse,,,,XLON,GB,c9e228dbc2e6ff76b41182d2046030d1988d754333e8df2682bfc38f0ada0392,false,v2.38V-europe-gb-identity-resolution,2026-09-05T10:16:00Z
U37458,XGR2,UKI0,,unresolved,no_openfigi_record_for_ticker_on_lse,,,,XLON,GB,eeda805f48777a4bfe8940ee0beda6ab122d2ffde232a791579321a457d55874,false,v2.38V-europe-gb-identity-resolution,2026-09-05T10:16:00Z
U37459,NNGF,UKI0,,unresolved,no_openfigi_record_for_ticker_on_lse,,,,XLON,GB,8faaebde6c81792265300e82c35fab33acaf11219dc0af07c99fad68c319d296,false,v2.38V-europe-gb-identity-resolution,2026-09-05T10:16:00Z
U37460,1T1,UKI0,,unresolved,no_openfigi_record_for_ticker_on_lse,,,,XLON,GB,dae83773b92c3c2c3210b08d058cb8a3fcb4d40563d9b0c5a7cb188f994b57d8,false,v2.38V-europe-gb-identity-resolution,2026-09-05T10:16:00Z
U37461,S94,UKI0,,unresolved,no_openfigi_record_for_ticker_on_lse,,,,XLON,GB,7333a1a76961552025d139d494ef5a7e470f950551698f150163cc8a50aabc35,false,v2.38V-europe-gb-identity-resolution,2026-09-05T10:16:00Z
U37462,VODI,UKI0,,unresolved,no_openfigi_record_for_ticker_on_lse,,,,XLON,GB,16ffb0dae7db921af1c669d373f4f4f94e6d3d6ec4745933516afecad82d7368,false,v2.38V-europe-gb-identity-resolution,2026-09-05T10:16:00Z
U37463,IC1H,UKI0,,unresolved,no_openfigi_record_for_ticker_on_lse,,,,XLON,GB,59dd97c3e3a2e72e6d2bb6aa63239389fbed6b86c2973625ea36568b8e391b19,false,v2.38V-europe-gb-identity-resolution,2026-09-05T10:16:00Z
U37464,TCO0,UKI0,,unresolved,no_openfigi_record_for_ticker_on_lse,,,,XLON,GB,e4dd8e1b6390ee5952f50f2aec9ae791992b8219a410f25a4347289a8e26a189,false,v2.38V-europe-gb-identity-resolution,2026-09-05T10:16:00Z
U37465,RYSD,UKI0,,unresolved,no_openfigi_record_for_ticker_on_lse,,,,XLON,GB,8daed92ee631a38b45f2251bf6d2af3875027b5615245f2a7cbcda9c220fbcfc,false,v2.38V-europe-gb-identity-resolution,2026-09-05T10:16:00Z
U37466,T9G,UKI0,,unresolved,no_openfigi_record_for_ticker_on_lse,,,,XLON,GB,e3483e962203c8912d4051348953fd040d8987e4912d99acf08eace564ef7610,false,v2.38V-europe-gb-identity-resolution,2026-09-05T10:16:00Z
U37467,88Q,UKI0,,unresolved,no_openfigi_record_for_ticker_on_lse,,,,XLON,GB,1c569bbaf1fa169a7b1949703be61a5c5700f5fa95cf86577c71244073a3bc71,false,v2.38V-europe-gb-identity-resolution,2026-09-05T10:16:00Z
