asset_id,ticker,company_name,search_key,status,reason,lei,legal_name,country,candidate_count,candidate_countries,phase,created_at_utc
U12305,FAIRl,Fair Oaks Income Ltd,FAIR OAKS INCOME,unresolved,no_exact_normalized_name_match_gleif,,,,0,,v2.38BB-europe-cboe-secondary-identity-pilot,2026-09-06T22:11:45Z
U17018,ULTPl,Ultimate Products PLC,ULTIMATE PRODUCTS,unresolved,no_exact_normalized_name_match_gleif,,,,0,,v2.38BB-europe-cboe-secondary-identity-pilot,2026-09-06T22:11:45Z
U21144,ALMUNp,Munic SA,MUNIC,resolved,exact_single_gleif_match_no_country_filter,969500WCODOO2EV5W145,MUNIC,FR,0,,v2.38BB-europe-cboe-secondary-identity-pilot,2026-09-06T22:11:45Z
U21225,ALVDMp,Voyageurs du Monde,VOYAGEURS DU MONDE,ambiguous,multiple_distinct_countries_match_same_name,,,,3,CH|FR,v2.38BB-europe-cboe-secondary-identity-pilot,2026-09-06T22:11:45Z
U24117,FREEMs,Freemelt Holding AB,FREEMELT HOLDING,unresolved,no_exact_normalized_name_match_gleif,,,,0,,v2.38BB-europe-cboe-secondary-identity-pilot,2026-09-06T22:11:45Z
U28299,SPIVAc,Sparinvest Value Aktier,SPARINVEST VALUE AKTIER,unresolved,no_exact_normalized_name_match_gleif,,,,0,,v2.38BB-europe-cboe-secondary-identity-pilot,2026-09-06T22:11:45Z
U11621,EG7i,FBD Holdings PLC,FBD HOLDINGS,unresolved,no_exact_normalized_name_match_gleif,,,,0,,v2.38BB-europe-cboe-secondary-identity-pilot,2026-09-06T22:11:45Z
U28804,TORw,Torpol SA,TORPOL,unresolved,no_exact_normalized_name_match_gleif,,,,0,,v2.38BB-europe-cboe-secondary-identity-pilot,2026-09-06T22:11:45Z
U15008,NORTHo,North Energy ASA,NORTH ENERGY,unresolved,no_exact_normalized_name_match_gleif,,,,0,,v2.38BB-europe-cboe-secondary-identity-pilot,2026-09-06T22:11:45Z
U29009,UBXNz,u-blox Holding AG,U-BLOX HOLDING,resolved,exact_single_gleif_match_no_country_filter,506700B2W2NUXS9X8479,u-blox Holding AG,CH,0,,v2.38BB-europe-cboe-secondary-identity-pilot,2026-09-06T22:11:45Z
U22983,DKIGIc,Danske Invest Globale Lange Indeksobligationer - Akkumulerende KL,DANSKE INVEST GLOBALE LANGE INDEKSOBLIGATIONER - AKKUMULERENDE KL,unresolved,no_exact_normalized_name_match_gleif,,,,0,,v2.38BB-europe-cboe-secondary-identity-pilot,2026-09-06T22:11:45Z
