asset_id,ticker,resolved_company_name,isin,lookup_status,lookup_reason,company_number,company_status,date_of_creation,sic_codes,real_filings_downloaded,real_fundamentals_present,normalized_fundamentals_present,credential_used_value_never_logged,phase,created_at_utc
U37439,GUI,DIAGEO PLC,GB0002374006,resolved,exact_normalized_name_match_single_active_company,00023307,active,1886-10-21,,false,false,false,true,v2.38Y-europe-gb-companies-house-lookup-full-expansion,2026-09-05T19:42:32Z
U37440,BSP,BAE SYSTEMS PLC,GB0002634946,resolved,exact_normalized_name_match_single_active_company,01470151,active,1979-12-31,,false,false,false,true,v2.38Y-europe-gb-companies-house-lookup-full-expansion,2026-09-05T19:42:32Z
U37441,BMT,BRIT.AMER.TOBACCO,GB0002875804,unresolved,no_exact_normalized_name_match,,,,,false,false,false,true,v2.38Y-europe-gb-companies-house-lookup-full-expansion,2026-09-05T19:42:32Z
U37442,ITB,IMPERIAL BRANDS PLC,GB0004544929,resolved,exact_normalized_name_match_single_active_company,03236483,active,1996-08-06,,false,false,false,true,v2.38Y-europe-gb-companies-house-lookup-full-expansion,2026-09-05T19:42:32Z
U37443,LGI,LEGAL GENL GRP PLC,GB0005603997,unresolved,no_exact_normalized_name_match,,,,,false,false,false,true,v2.38Y-europe-gb-companies-house-lookup-full-expansion,2026-09-05T19:42:32Z
U37444,PES,PEARSON PLC,GB0006776081,resolved,exact_normalized_name_match_single_active_company,00053723,active,1897-08-12,,false,false,false,true,v2.38Y-europe-gb-companies-house-lookup-full-expansion,2026-09-05T19:42:32Z
U37445,RIO1,RIO TINTO PLC,GB0007188757,resolved,exact_normalized_name_match_single_active_company,00719885,active,1962-03-30,,false,false,false,true,v2.38Y-europe-gb-companies-house-lookup-full-expansion,2026-09-05T19:42:32Z
U37446,SCT,SSE PLC,GB0007908733,resolved,exact_normalized_name_match_single_active_company,SC117119,active,1989-04-01,,false,false,false,true,v2.38Y-europe-gb-companies-house-lookup-full-expansion,2026-09-05T19:42:32Z
U37447,BPE5,BP PLC,GB0007980591,resolved,exact_normalized_name_match_single_active_company,00102498,active,1909-04-14,,false,false,false,true,v2.38Y-europe-gb-companies-house-lookup-full-expansion,2026-09-05T19:42:32Z
U37448,LLD,LLOYDS BKG GRP,GB0008706128,unresolved,no_exact_normalized_name_match,,,,,false,false,false,true,v2.38Y-europe-gb-companies-house-lookup-full-expansion,2026-09-05T19:42:32Z
U37449,NPW1,SMITH + NEP.,GB0009223206,unresolved,no_exact_normalized_name_match,,,,,false,false,false,true,v2.38Y-europe-gb-companies-house-lookup-full-expansion,2026-09-05T19:42:32Z
U37450,BCY,BARCLAYS PLC,GB0031348658,resolved,exact_normalized_name_match_single_active_company,00048839,active,1896-07-20,,false,false,false,true,v2.38Y-europe-gb-companies-house-lookup-full-expansion,2026-09-05T19:42:32Z
U37451,KFI1,KINGFISHER,GB0033195214,resolved,exact_normalized_name_match_single_active_company,01664812,active,1982-09-16,,false,false,false,true,v2.38Y-europe-gb-companies-house-lookup-full-expansion,2026-09-05T19:42:32Z
U37452,IJ8,ITM POWER PLC,GB00B0130H42,resolved,exact_normalized_name_match_single_active_company,05059407,active,2004-03-01,,false,false,false,true,v2.38Y-europe-gb-companies-house-lookup-full-expansion,2026-09-05T19:42:32Z
U37453,RTO1,RENTOKIL INITIAL,GB00B082RF11,resolved,exact_normalized_name_match_single_active_company,05393279,active,2005-03-15,,false,false,false,true,v2.38Y-europe-gb-companies-house-lookup-full-expansion,2026-09-05T19:42:32Z
U37454,LS4C,LONDON STOCK EXCHANGE,GB00B0SWJX34,resolved,exact_normalized_name_match_single_active_company,02075721,active,1986-11-19,,false,false,false,true,v2.38Y-europe-gb-companies-house-lookup-full-expansion,2026-09-05T19:42:32Z
U37455,RDEB,RELX PLC,GB00B2B0DG97,resolved,exact_normalized_name_match_single_active_company,00077536,active,1903-05-28,,false,false,false,true,v2.38Y-europe-gb-companies-house-lookup-full-expansion,2026-09-05T19:42:32Z
U37456,RRU,ROLLS ROYCE HLDGS,GB00B63H8491,unresolved,no_exact_normalized_name_match,,,,,false,false,false,true,v2.38Y-europe-gb-companies-house-lookup-full-expansion,2026-09-05T19:42:32Z
U37457,EJT1,EASYJET PLC,GB00B7KR2P84,resolved,exact_normalized_name_match_single_active_company,03959649,active,2000-03-24,,false,false,false,true,v2.38Y-europe-gb-companies-house-lookup-full-expansion,2026-09-05T19:42:32Z
U37458,XGR2,COMPASS GROUP,GB00BD6K4575,resolved,exact_normalized_name_match_single_active_company,04083914,active,2000-09-29,,false,false,false,true,v2.38Y-europe-gb-companies-house-lookup-full-expansion,2026-09-05T19:42:32Z
U37459,NNGF,NATIONAL GRID PLC,GB00BDR05C01,resolved,exact_normalized_name_match_single_active_company,04031152,active,2000-07-11,,false,false,false,true,v2.38Y-europe-gb-companies-house-lookup-full-expansion,2026-09-05T19:42:32Z
U37460,1T1,TECHNIPFMC PLC,GB00BDSFG982,resolved,exact_normalized_name_match_single_active_company,09909709,active,2015-12-09,,false,false,false,true,v2.38Y-europe-gb-companies-house-lookup-full-expansion,2026-09-05T19:42:32Z
U37461,S94,SENSATA TECHN.HLDG,GB00BFMBMT84,unresolved,no_exact_normalized_name_match,,,,,false,false,false,true,v2.38Y-europe-gb-companies-house-lookup-full-expansion,2026-09-05T19:42:32Z
U37462,VODI,VODAFONE GROUP PLC,GB00BH4HKS39,resolved,exact_normalized_name_match_single_active_company,01833679,active,1984-07-17,,false,false,false,true,v2.38Y-europe-gb-companies-house-lookup-full-expansion,2026-09-05T19:42:32Z
U37463,IC1H,INTERCONT.H.,GB00BHJYC057,unresolved,no_exact_normalized_name_match,,,,,false,false,false,true,v2.38Y-europe-gb-companies-house-lookup-full-expansion,2026-09-05T19:42:32Z
