scenario,scenario_label,ticker,name,market_cap,price,avg_volume_90d,dollar_volume_90d,simulated_decision,simulated_reasons,weak_reasons
current_base,Actual/base final,AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,290310752.0,10.49,18169,190592.81,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE",
current_base,Actual/base final,AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",47096996.0,1.09,13744,14980.960000000001,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_STRONG_WATCHLIST_RANGE",
current_base,Actual/base final,AAL,"American Airlines Group, Inc. - Common Stock",8928699392.0,13.5,67493293,911159455.5,PASSED,,
current_base,Actual/base final,AAME,Atlantic American Corporation - Common Stock,34063368.0,1.67,9814,16389.38,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_STRONG_WATCHLIST_RANGE",
current_base,Actual/base final,AAOI,"Applied Optoelectronics, Inc. - Common Stock",14202970112.0,177.0,12310404,2178941508.0,PASSED,,
current_base,Actual/base final,AAON,"AAON, Inc. - Common Stock",10863130624.0,132.62,1049784,139222354.08,PASSED,,
current_base,Actual/base final,AAPG,Ascentage Pharma Group International - American Depository Shares,1605400192.0,17.2,5363,92243.59999999999,REJECTED,LOW_DOLLAR_VOLUME,
current_base,Actual/base final,AAPL,Apple Inc. - Common Stock,4514011676672.0,307.34,44645993,13721499488.619999,PASSED,,
current_base,Actual/base final,AARD,"Aardvark Therapeutics, Inc. - Common Stock",80284296.0,3.68,228526,840975.68,REJECTED,"MARKET_CAP_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WEAK_WATCHLIST_RANGE",PRICE_WEAK_WATCHLIST_RANGE
current_base,Actual/base final,ABAT,American Battery Technology Company - Common Stock,424248832.0,3.11,4566960,14203245.6,PASSED,PRICE_WEAK_WATCHLIST_RANGE,PRICE_WEAK_WATCHLIST_RANGE
current_base,Actual/base final,ABCL,AbCellera Biologics Inc. - Common Shares,1716209664.0,5.62,5900442,33160484.04,PASSED,,
current_base,Actual/base final,ABEO,Abeona Therapeutics Inc. - Common Stock,311193504.0,5.46,1228557,6707921.22,PASSED,,
current_base,Actual/base final,ABLV,Able View Global Inc. - Class B Ordinary Shares,52847216.0,1.07,404217,432512.19,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_STRONG_WATCHLIST_RANGE",
current_base,Actual/base final,ABNB,"Airbnb, Inc. - Class A Common Stock",79256641536.0,133.54,3691225,492926186.5,PASSED,,
