source_id,source_type,path,exists,ticker,source,as_of_date,fetched_at,dataset_version,cache_key,size_bytes,sha256
5233a1acf2f5ef02,csv,data\stages\stage1_passed.csv,True,STAGE1,data/stages,,,phase9b_minimal_datahub_v0_1,5233a1acf2f5ef020a784b5b18b47b00ed857ccc4d5fac4342e386364a84b6b3,53244,9a267b07703e401b2208b5212fa3e245cb36f7719d069b7d44b1327ce6bb6501
e73528168589b617,csv,data\stages\stage1_passed_enriched.csv,True,STAGE1,data/stages,,,phase9b_minimal_datahub_v0_1,e73528168589b61728face524619329f71be12923e4d91744accee5b2a38a680,111165,3a1ce7ef6ef90b44f4207e3790537ffa03a81efa0cdc6894d38283bf1e465860
7953be7b95c4dcb9,csv,data\stages\stage1_rejected.csv,True,STAGE1,data/stages,,,phase9b_minimal_datahub_v0_1,7953be7b95c4dcb9f154b33ff6a5496d7376f42688c138413bdfe136357c7686,86318,5bd5cf562b94a5851b4b10da0184af1d1708fcdc94e0162d78865ec6c2fba155
332df55dd333c2a0,csv,data\stages\stage1_rejection_log.csv,True,STAGE1,data/stages,,,phase9b_minimal_datahub_v0_1,332df55dd333c2a00b1a6ba8b3908881f01c43fb15b25794f577f4f42542c1db,200947,a79ab2a781830d2651b67cdb072db164b45d11d3cdc40d0c29d2c76280205658
afc8fb1847c39185,csv,data\stages\stage1_watchlist.csv,True,STAGE1,data/stages,,,phase9b_minimal_datahub_v0_1,afc8fb1847c39185c88673500dc89ea13ff30a4b672d994d0692468cb75bbb96,31006,777c0ba2df7480501474a516623781d1a5b6f26c2a513609a067cb156e2c0bf2
ed4e3d3b3477240c,csv,data\stages\stage2_passed.csv,True,STAGE2,data/stages,,,phase9b_minimal_datahub_v0_1,ed4e3d3b3477240c943305656e67e690d45d1d68cfeb39262d8a9db94ddbfa36,46336,5e9c70943f8f2fd3b0bc250c794d0c912d471e855b71d4cd6af9b9f2ba6af4fa
17d07a7a443cf225,csv,data\stages\stage2_rejected.csv,True,STAGE2,data/stages,,,phase9b_minimal_datahub_v0_1,17d07a7a443cf225ce8cb444a7ba8d77871a28a5918775b9b83bb63a75968f5d,29096,0b4a310c6b098faefed7f6456c032430a8ab1ac7b74820309482369b54873407
5887505e32f9753c,csv,data\stages\stage2_rejection_log.csv,True,STAGE2,data/stages,,,phase9b_minimal_datahub_v0_1,5887505e32f9753c134b69aecb479bedec397e9b1fddcc2f63e1e6f654ff886a,135906,8c1f529d00429342c7a3fd22b4c8676cad1f2eb86ebb8ea6013e544aaa3b04c2
7b04cd364b15da35,csv,data\stages\stage2_watchlist.csv,True,STAGE2,data/stages,,,phase9b_minimal_datahub_v0_1,7b04cd364b15da3581f82eacd40719741e3398b3275cb08a8368a05f27c64181,60097,b694bd4774476d52e05b9f4b95c741d3a3d4c98553c368d7a7c186441ff283c8
1508e6d757df24af,csv,data\stages\stage3_passed.csv,True,STAGE3,data/stages,,,phase9b_minimal_datahub_v0_1,1508e6d757df24afd6d42d09445fce36096d6f3dacffdcd249f8e787c852937e,6101,06f6c65e93ea13cd4c55d66b06efaa60cdc97273c4dbcb4646c3fa72b264986a
22004ff9e13cc419,csv,data\stages\stage3_rejected.csv,True,STAGE3,data/stages,,,phase9b_minimal_datahub_v0_1,22004ff9e13cc419f569c227a1fad0ab8eff7d9eaf43d4c3a4940833390eb2f2,25636,a34aaf5ecaf04b1d979aaf283ed8514eddf58ec214606332dd43acf673b02b48
7f037b079d8db29a,csv,data\stages\stage3_rejection_log.csv,True,STAGE3,data/stages,,,phase9b_minimal_datahub_v0_1,7f037b079d8db29ad14d1495104d4d567edb65032386700b518d8043b7b6c867,15315,e32014e01073726939dc029a1ee4d28b20e3195a9ba323592b771c58b75b6d52
93e04ba140891047,csv,data\stages\stage3_watchlist.csv,True,STAGE3,data/stages,,,phase9b_minimal_datahub_v0_1,93e04ba140891047d96b52dba0f51b41a5f7279920de8fb493c6edbc435e4d53,25801,6ae1c76c1ed8172e033d1b0607d3238f06dc1f8252924cba1cc492dc3bfa67fb
2b2a789794aa14da,json,outputs\scouting\active_pipeline_policy_status.json,True,ACTIVE,outputs/scouting,,,phase9b_minimal_datahub_v0_1,2b2a789794aa14dab60b0c315295fa275f5882bd9c7df1cf6b4ccd79eeb3bd61,518,00aaa4432bc584e700492991d4e939483ea5c88649e2949da4b4aa2e0f0bfb9e
