ticker,name,market_cap,price,avg_volume_90d,dollar_volume_90d,watchlist_reasons
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",155289312.0,2.15,536973.0,1154491.95,"DOLLAR_VOLUME_WATCHLIST_RANGE, MARKET_CAP_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE"
ACB,Aurora Cannabis Inc. - Common Shares,199847936.0,3.38,918669.0,3105101.22,MARKET_CAP_WATCHLIST_RANGE
ACIU,AC Immune SA - Common Stock,228990544.0,2.25,264160.0,594360.0,"DOLLAR_VOLUME_WATCHLIST_RANGE, MARKET_CAP_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE"
ACNT,Ascent Industries Co. - Common Stock,122467816.0,13.55,111365.0,1508995.75,"DOLLAR_VOLUME_WATCHLIST_RANGE, MARKET_CAP_WATCHLIST_RANGE"
ACTG,Acacia Research Corporation - Common Stock,446241792.0,4.62,319533.0,1476242.46,DOLLAR_VOLUME_WATCHLIST_RANGE
ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",219361008.0,3.32,252458.0,838160.5599999999,"DOLLAR_VOLUME_WATCHLIST_RANGE, MARKET_CAP_WATCHLIST_RANGE"
AFJK,"Aimei Health Technology Co., Ltd - Ordinary Share",127919816.0,40.4,17639.0,712615.6,"DOLLAR_VOLUME_WATCHLIST_RANGE, MARKET_CAP_WATCHLIST_RANGE"
AFYA,Afya Limited - Class A Common Shares,1320575872.0,14.44,95315.0,1376348.6,DOLLAR_VOLUME_WATCHLIST_RANGE
AGEN,Agenus Inc. - Common Stock,134505056.0,3.23,837461.0,2704999.03,MARKET_CAP_WATCHLIST_RANGE
AGMB,AgomAb Therapeutics NV - ADRs representing one common share.,488539936.0,9.92,135366.0,1342830.72,DOLLAR_VOLUME_WATCHLIST_RANGE
AIIR,Air Global PLC - Ordinary shares,1108271488.0,6.91,194957.0,1347152.87,DOLLAR_VOLUME_WATCHLIST_RANGE
AIRO,"AIRO Group Holdings, Inc. - Common Stock",260684384.0,8.29,632009.0,5239354.609999999,MARKET_CAP_WATCHLIST_RANGE
ALCO,"Alico, Inc. - Common Stock",303846912.0,40.97,27358.0,1120857.26,DOLLAR_VOLUME_WATCHLIST_RANGE
ALEC,"Alector, Inc. - Common Stock",181526176.0,1.635,701312.0,1146645.12,"DOLLAR_VOLUME_WATCHLIST_RANGE, MARKET_CAP_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE"
ALLO,"Allogene Therapeutics, Inc. - Common Stock",648890560.0,1.88,9779777.0,18385980.76,PRICE_WATCHLIST_RANGE
ALOT,"AstroNova, Inc. - Common Stock",111975416.0,14.49,46739.0,677248.11,"DOLLAR_VOLUME_WATCHLIST_RANGE, MARKET_CAP_WATCHLIST_RANGE"
ALT,"Altimmune, Inc. - Common Stock",527024992.0,2.71,3962088.0,10737258.48,PRICE_WATCHLIST_RANGE
ALTI,"AlTi Global, Inc. - Class A Common Stock",451821152.0,2.98,175061.0,521681.78,"DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE"
ALVO,Alvotech - Ordinary Shares,1104650880.0,3.54,506701.0,1793721.54,DOLLAR_VOLUME_WATCHLIST_RANGE
ALXO,ALX Oncology Holdings Inc. - Common Stock,207226880.0,1.54,963130.0,1483220.2,"DOLLAR_VOLUME_WATCHLIST_RANGE, MARKET_CAP_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE"
AMPG,"Amplitech Group, Inc. - Common Stock",131254976.0,5.18,2162403.0,11201247.54,MARKET_CAP_WATCHLIST_RANGE
