ticker,current_stage2_status,simulated_stage2_status,transition,simulated_primary_reason,simulated_all_reasons
AAL,REJECTED,REJECTED,REJECTED->REJECTED,OPERATING_MARGIN_WATCHLIST_RANGE,OPERATING_MARGIN_WATCHLIST_RANGE|DEBT_TOO_HIGH|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AAOI,REJECTED,REJECTED,REJECTED->REJECTED,OPERATING_MARGIN_WATCHLIST_RANGE,OPERATING_MARGIN_WATCHLIST_RANGE|FCF_MARGIN_TOO_NEGATIVE|DEBT_TOO_HIGH|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AAON,REJECTED,REJECTED,REJECTED->REJECTED,FCF_MARGIN_TOO_NEGATIVE,FCF_MARGIN_TOO_NEGATIVE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AAPL,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ABCL,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,OPERATING_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE,OPERATING_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE|FCF_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ABNB,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ABSI,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,OPERATING_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE,OPERATING_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE|FCF_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ABUS,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,FCF_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE,FCF_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ABVX,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,OPERATING_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE,OPERATING_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE|FCF_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ACAD,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,OPERATING_MARGIN_WATCHLIST_RANGE,OPERATING_MARGIN_WATCHLIST_RANGE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ACDC,REJECTED,REJECTED,REJECTED->REJECTED,OPERATING_MARGIN_WATCHLIST_RANGE,OPERATING_MARGIN_WATCHLIST_RANGE|DEBT_TOO_HIGH|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ACGL,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ACHC,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,FCF_MARGIN_WATCHLIST_RANGE,FCF_MARGIN_WATCHLIST_RANGE|DEBT_WATCHLIST_RANGE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ACHV,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,DATA_COMPLETENESS_WATCHLIST_RANGE,DATA_COMPLETENESS_WATCHLIST_RANGE|MISSING_REVENUE_SPECIAL_CASE|MISSING_FCF_MARGIN|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ACIW,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ACLS,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ACMR,REJECTED,REJECTED,REJECTED->REJECTED,FCF_MARGIN_TOO_NEGATIVE,FCF_MARGIN_TOO_NEGATIVE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ACRS,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,OPERATING_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE,OPERATING_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE|FCF_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ACT,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,MISSING_NET_DEBT_TO_EBITDA,MISSING_NET_DEBT_TO_EBITDA|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ADAM,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,DATA_COMPLETENESS_WATCHLIST_RANGE,DATA_COMPLETENESS_WATCHLIST_RANGE|MISSING_FCF_MARGIN|MISSING_NET_DEBT_TO_EBITDA|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ADBE,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ADEA,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ADI,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ADMA,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,OPERATING_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE,OPERATING_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ADP,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ADPT,REJECTED,REJECTED,REJECTED->REJECTED,OPERATING_MARGIN_TOO_NEGATIVE,OPERATING_MARGIN_TOO_NEGATIVE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ADSK,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ADTN,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ADUS,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
