asset_id,ticker,company_name_source_value,resolved_company_name,resolved_company_name_raw,resolution_status,resolution_reason,isin,home_mic,home_country,primary_fundamental_route,source_row_hash,credentials_used,phase,created_at_utc
U36865,XD4,AST0,STRABAG SE,STRABAG SE,resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,AT000000STR1,XWBO,AT,eodhd_fundamentals,f1957fa5843e5551e38260fd6e4162da254ce284033ffd2bfcbe1f41dd3a20ae,false,v2.38AB-europe-full-identity-resolution-xetra-source,2026-09-05T22:11:55Z
U36866,RAW,AST0,RAIFFEISEN BK INTL,RAIFFEISEN BK INTL INH.,resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,AT0000606306,XWBO,AT,eodhd_fundamentals,ff251c1bc6e629850f39b2ea199fbe02038e086fd6290997391ab2db0c460c8c,false,v2.38AB-europe-full-identity-resolution-xetra-source,2026-09-05T22:11:55Z
U36867,ABS2,AST0,PORR AG,PORR AG,resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,AT0000609607,XWBO,AT,eodhd_fundamentals,5e26e9e97c8f6fb3b1306f6152cc95f7238d1c3843837d4d5dce9b9b51a44fec,false,v2.38AB-europe-full-identity-resolution-xetra-source,2026-09-05T22:11:55Z
U36868,EBO,AST0,ERSTE GROUP BNK,ERSTE GROUP BNK INH. O.N.,resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,AT0000652011,XWBO,AT,eodhd_fundamentals,b508e0efeb58961b7658ccb8ee83de36e2985605e7151925c3f2c3e352b1d238,false,v2.38AB-europe-full-identity-resolution-xetra-source,2026-09-05T22:11:55Z
U36869,AZ2,AST0,ANDRITZ AG,ANDRITZ AG,resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,AT0000730007,XWBO,AT,eodhd_fundamentals,44345f38a050692b90a3343b4ae06ca86884da4d4800ea866f90c5ebc68f3d36,false,v2.38AB-europe-full-identity-resolution-xetra-source,2026-09-05T22:11:55Z
U36870,OMV,AST0,OMV AG,OMV AG,resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,AT0000743059,XWBO,AT,eodhd_fundamentals,67a3261dcab1d846a14def76cd90fdf17c287f31e0b07cdcf266bd90c9c0df08,false,v2.38AB-europe-full-identity-resolution-xetra-source,2026-09-05T22:11:55Z
U36871,OEWA,AST0,VERBUND AG       INH. A,VERBUND AG       INH. A,resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,AT0000746409,XWBO,AT,eodhd_fundamentals,93e2658d5d98bde77be3787f94a9fd894b340ad3c8cfc084c7db13c91290a86b,false,v2.38AB-europe-full-identity-resolution-xetra-source,2026-09-05T22:11:55Z
U36872,FAA,AST0,FABASOFT AG,FABASOFT AG,resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,AT0000785407,XWBO,AT,eodhd_fundamentals,b9e3a046ea920b97b2ae736947153d4f4532446e0d585ab9f17564efdcbeeab5,false,v2.38AB-europe-full-identity-resolution-xetra-source,2026-09-05T22:11:55Z
U36873,UN9,AST0,UNIQA INSURANCE GROUP AG,UNIQA INSURANCE GROUP AG,resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,AT0000821103,XWBO,AT,eodhd_fundamentals,1de9c7365a4ea0fc260690c674ac2366d1a52afd2835c4de83193bc8486b53c0,false,v2.38AB-europe-full-identity-resolution-xetra-source,2026-09-05T22:11:55Z
U36874,WIB,AST0,WIENERBERGER,WIENERBERGER,resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,AT0000831706,XWBO,AT,eodhd_fundamentals,2d4c3d8a130b298b761cc56d13027d5a805813a4f7b271ae67a134bec7848888,false,v2.38AB-europe-full-identity-resolution-xetra-source,2026-09-05T22:11:55Z
