ticker,name,real_decision,balanced_decision,simulated_reasons,weak_reasons,market_cap,price,avg_volume_90d,dollar_volume_90d,transition
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,REJECTED,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE",,290310752.0,10.49,18169,190592.81,REJECTED->REJECTED
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",,47096996.0,1.09,13744,14980.96,REJECTED->REJECTED
AAL,"American Airlines Group, Inc. - Common Stock",PASSED,PASSED,,,8928699392.0,13.5,67493293,911159455.5,PASSED->PASSED
AAME,Atlantic American Corporation - Common Stock,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_STRONG_WATCHLIST_RANGE",,34063368.0,1.67,9814,16389.38,REJECTED->REJECTED
AAOI,"Applied Optoelectronics, Inc. - Common Stock",PASSED,PASSED,,,14202970112.0,177.0,12310404,2178941508.0,PASSED->PASSED
AAON,"AAON, Inc. - Common Stock",PASSED,PASSED,,,10863130624.0,132.62,1049784,139222354.08,PASSED->PASSED
AAPG,Ascentage Pharma Group International - American Depository Shares,REJECTED,REJECTED,LOW_DOLLAR_VOLUME,,1605400192.0,17.2,5363,92243.6,REJECTED->REJECTED
AAPL,Apple Inc. - Common Stock,PASSED,PASSED,,,4514011676672.0,307.34,44645993,13721499488.62,PASSED->PASSED
AARD,"Aardvark Therapeutics, Inc. - Common Stock",REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WEAK_WATCHLIST_RANGE",PRICE_WEAK_WATCHLIST_RANGE,80284296.0,3.68,228526,840975.68,REJECTED->REJECTED
ABAT,American Battery Technology Company - Common Stock,PASSED,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, PRICE_WEAK_WATCHLIST_RANGE",PRICE_WEAK_WATCHLIST_RANGE,424248832.0,3.11,4566960,14203245.6,PASSED->WATCHLIST
ABCL,AbCellera Biologics Inc. - Common Shares,PASSED,PASSED,,,1716209664.0,5.62,5900442,33160484.04,PASSED->PASSED
ABEO,Abeona Therapeutics Inc. - Common Stock,PASSED,WATCHLIST,MARKET_CAP_WATCHLIST_RANGE,,311193504.0,5.46,1228557,6707921.22,PASSED->WATCHLIST
ABLV,Able View Global Inc. - Class B Ordinary Shares,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",,52847216.0,1.07,404217,432512.19,REJECTED->REJECTED
ABNB,"Airbnb, Inc. - Class A Common Stock",PASSED,PASSED,,,79256641536.0,133.54,3691225,492926186.5,PASSED->PASSED
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, PRICE_STRONG_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",,155289312.0,2.15,536973,1154491.95,WATCHLIST->WATCHLIST
ABSI,Absci Corporation - Common Stock,PASSED,PASSED,,,997792384.0,6.4,4715282,30177804.8,PASSED->PASSED
ABTC,American Bitcoin Corp. - Class A Common Stock,REJECTED,REJECTED,PRICE_BELOW_MINIMUM,,1549470080.0,0.8631,14437155,12460708.4805,REJECTED->REJECTED
ABTS,Abits Group Inc - Ordinary Shares,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_STRONG_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",,5893279.0,1.99,2405588,4787120.12,REJECTED->REJECTED
ABUS,Arbutus Biopharma Corporation - Common Stock,PASSED,PASSED,PRICE_WEAK_WATCHLIST_RANGE,PRICE_WEAK_WATCHLIST_RANGE,839535296.0,4.25,1936204,8228867.0,PASSED->PASSED
ABVC,"ABVC BioPharma, Inc. - Common Stock",REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",,34580588.0,1.33,103998,138317.34,REJECTED->REJECTED
ABVX,Abivax SA - American Depositary Shares,PASSED,PASSED,,,8091386368.0,101.53,1449963,147214743.39000002,PASSED->PASSED
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,PASSED,PASSED,,,3691845376.0,21.56,1765846,38071639.76,PASSED->PASSED
