asset_id,company_name_source_value,identity_verified,ticker,home_exchange,home_mic,home_country,home_currency,source_phase,source_row_hash,route_from_38q,manual_review_status,identity_review_required,registry_review_required,provider_review_required,candidate_registry_note,required_human_actions,real_filings_downloaded,real_fundamentals_present,normalized_fundamentals_present,no_network_fetch,no_scraping,no_api_call,no_scoring,no_ranking,no_recommendation,no_phase9c,created_at_utc,phase,contract_version,notes
U37479,UKI0,false,N4U,Euronext Dublin,XDUB,IE,EUR,v2.38Q-europe-fundamentals-route-foundation,9b09e0f237154d1303ec5e3cc8395ba0e99c279f9bcb521f6f7c71862cca17ab,FUNDAMENTALS_ROUTE_MANUAL_REVIEW_REQUIRED,EUROPE_MANUAL_REVIEW_PACK_PENDING_HUMAN_ACTION,true,true,true,No official registry or provider route confirmed for this home MIC yet; human decision required.,confirm_real_company_identity;confirm_isin_or_national_registration_number;determine_fundamentals_route_registry_or_provider,false,false,false,true,true,true,true,true,true,true,2026-09-05T09:39:42Z,v2.38T-europe-manual-review-pack,europe_manual_review_pack_contract_v1,company_name_source_value ('UKI0') matches a known upstream placeholder pattern; not a verified company name.
U37480,UKI0,false,IJF,Euronext Dublin,XDUB,IE,EUR,v2.38Q-europe-fundamentals-route-foundation,9b4b122dbaae466a93a6a5b4b10a4d051402082e2a88680371ea9c746e95bed3,FUNDAMENTALS_ROUTE_MANUAL_REVIEW_REQUIRED,EUROPE_MANUAL_REVIEW_PACK_PENDING_HUMAN_ACTION,true,true,true,No official registry or provider route confirmed for this home MIC yet; human decision required.,confirm_real_company_identity;confirm_isin_or_national_registration_number;determine_fundamentals_route_registry_or_provider,false,false,false,true,true,true,true,true,true,true,2026-09-05T09:39:42Z,v2.38T-europe-manual-review-pack,europe_manual_review_pack_contract_v1,company_name_source_value ('UKI0') matches a known upstream placeholder pattern; not a verified company name.
U37481,UKI0,false,BZ4,Euronext Dublin,XDUB,IE,EUR,v2.38Q-europe-fundamentals-route-foundation,c4e943e0cf81e4f6a2caa14fd4748999e6b07720b38297c20b7c0d2f254e3d8d,FUNDAMENTALS_ROUTE_MANUAL_REVIEW_REQUIRED,EUROPE_MANUAL_REVIEW_PACK_PENDING_HUMAN_ACTION,true,true,true,No official registry or provider route confirmed for this home MIC yet; human decision required.,confirm_real_company_identity;confirm_isin_or_national_registration_number;determine_fundamentals_route_registry_or_provider,false,false,false,true,true,true,true,true,true,true,2026-09-05T09:39:42Z,v2.38T-europe-manual-review-pack,europe_manual_review_pack_contract_v1,company_name_source_value ('UKI0') matches a known upstream placeholder pattern; not a verified company name.
U37482,UKI0,false,JHA1,Euronext Dublin,XDUB,IE,EUR,v2.38Q-europe-fundamentals-route-foundation,0ef795f27ff18999daf8bb72def3fc6f36fc05085a9ecc13ff6b6f277c45d4a3,FUNDAMENTALS_ROUTE_MANUAL_REVIEW_REQUIRED,EUROPE_MANUAL_REVIEW_PACK_PENDING_HUMAN_ACTION,true,true,true,No official registry or provider route confirmed for this home MIC yet; human decision required.,confirm_real_company_identity;confirm_isin_or_national_registration_number;determine_fundamentals_route_registry_or_provider,false,false,false,true,true,true,true,true,true,true,2026-09-05T09:39:42Z,v2.38T-europe-manual-review-pack,europe_manual_review_pack_contract_v1,company_name_source_value ('UKI0') matches a known upstream placeholder pattern; not a verified company name.
U37483,UKI0,false,LIN,Euronext Dublin,XDUB,IE,EUR,v2.38Q-europe-fundamentals-route-foundation,96e7a2dd5f52076801698c20311daf158c8f6609ffd24deed0cd1a73805e48d7,FUNDAMENTALS_ROUTE_MANUAL_REVIEW_REQUIRED,EUROPE_MANUAL_REVIEW_PACK_PENDING_HUMAN_ACTION,true,true,true,No official registry or provider route confirmed for this home MIC yet; human decision required.,confirm_real_company_identity;confirm_isin_or_national_registration_number;determine_fundamentals_route_registry_or_provider,false,false,false,true,true,true,true,true,true,true,2026-09-05T09:39:42Z,v2.38T-europe-manual-review-pack,europe_manual_review_pack_contract_v1,company_name_source_value ('UKI0') matches a known upstream placeholder pattern; not a verified company name.
U37484,UKI0,false,CSA,Euronext Dublin,XDUB,IE,EUR,v2.38Q-europe-fundamentals-route-foundation,5a59402c324746d78554c4f4327e39fe39e67738845124c4d8541481d0cd0040,FUNDAMENTALS_ROUTE_MANUAL_REVIEW_REQUIRED,EUROPE_MANUAL_REVIEW_PACK_PENDING_HUMAN_ACTION,true,true,true,No official registry or provider route confirmed for this home MIC yet; human decision required.,confirm_real_company_identity;confirm_isin_or_national_registration_number;determine_fundamentals_route_registry_or_provider,false,false,false,true,true,true,true,true,true,true,2026-09-05T09:39:42Z,v2.38T-europe-manual-review-pack,europe_manual_review_pack_contract_v1,company_name_source_value ('UKI0') matches a known upstream placeholder pattern; not a verified company name.
U37485,UKI0,false,J7Z,Euronext Dublin,XDUB,IE,EUR,v2.38Q-europe-fundamentals-route-foundation,992a10fdc773165ff9d80a9b55c1fb5f13f5c0490ccbfe503a85cd7e2dd149b6,FUNDAMENTALS_ROUTE_MANUAL_REVIEW_REQUIRED,EUROPE_MANUAL_REVIEW_PACK_PENDING_HUMAN_ACTION,true,true,true,No official registry or provider route confirmed for this home MIC yet; human decision required.,confirm_real_company_identity;confirm_isin_or_national_registration_number;determine_fundamentals_route_registry_or_provider,false,false,false,true,true,true,true,true,true,true,2026-09-05T09:39:42Z,v2.38T-europe-manual-review-pack,europe_manual_review_pack_contract_v1,company_name_source_value ('UKI0') matches a known upstream placeholder pattern; not a verified company name.
U37486,UKI0,false,8AK,Euronext Dublin,XDUB,IE,EUR,v2.38Q-europe-fundamentals-route-foundation,3df666ffcdc495cde1d494509f8d9ed24de17cc6f429f09dbac29261f43493c4,FUNDAMENTALS_ROUTE_MANUAL_REVIEW_REQUIRED,EUROPE_MANUAL_REVIEW_PACK_PENDING_HUMAN_ACTION,true,true,true,No official registry or provider route confirmed for this home MIC yet; human decision required.,confirm_real_company_identity;confirm_isin_or_national_registration_number;determine_fundamentals_route_registry_or_provider,false,false,false,true,true,true,true,true,true,true,2026-09-05T09:39:42Z,v2.38T-europe-manual-review-pack,europe_manual_review_pack_contract_v1,company_name_source_value ('UKI0') matches a known upstream placeholder pattern; not a verified company name.
U37487,UKI0,false,3EC,Euronext Dublin,XDUB,IE,EUR,v2.38Q-europe-fundamentals-route-foundation,570c51e4e26fd0e5d2f1856eb2c9e4d094081a6213571add3c88d78de6c6a51e,FUNDAMENTALS_ROUTE_MANUAL_REVIEW_REQUIRED,EUROPE_MANUAL_REVIEW_PACK_PENDING_HUMAN_ACTION,true,true,true,No official registry or provider route confirmed for this home MIC yet; human decision required.,confirm_real_company_identity;confirm_isin_or_national_registration_number;determine_fundamentals_route_registry_or_provider,false,false,false,true,true,true,true,true,true,true,2026-09-05T09:39:42Z,v2.38T-europe-manual-review-pack,europe_manual_review_pack_contract_v1,company_name_source_value ('UKI0') matches a known upstream placeholder pattern; not a verified company name.
U37488,UKI0,false,WTY,Euronext Dublin,XDUB,IE,EUR,v2.38Q-europe-fundamentals-route-foundation,fcf6919910c8533ca7d37ca9568ef55764e6ba16b6c02ef3faef853571502e6c,FUNDAMENTALS_ROUTE_MANUAL_REVIEW_REQUIRED,EUROPE_MANUAL_REVIEW_PACK_PENDING_HUMAN_ACTION,true,true,true,No official registry or provider route confirmed for this home MIC yet; human decision required.,confirm_real_company_identity;confirm_isin_or_national_registration_number;determine_fundamentals_route_registry_or_provider,false,false,false,true,true,true,true,true,true,true,2026-09-05T09:39:42Z,v2.38T-europe-manual-review-pack,europe_manual_review_pack_contract_v1,company_name_source_value ('UKI0') matches a known upstream placeholder pattern; not a verified company name.
U37489,UKI0,false,60A,Euronext Dublin,XDUB,IE,EUR,v2.38Q-europe-fundamentals-route-foundation,5a717d4767a2b851daae66460eed954514ed49f314a1a58f9bda3ea5fdf934e0,FUNDAMENTALS_ROUTE_MANUAL_REVIEW_REQUIRED,EUROPE_MANUAL_REVIEW_PACK_PENDING_HUMAN_ACTION,true,true,true,No official registry or provider route confirmed for this home MIC yet; human decision required.,confirm_real_company_identity;confirm_isin_or_national_registration_number;determine_fundamentals_route_registry_or_provider,false,false,false,true,true,true,true,true,true,true,2026-09-05T09:39:42Z,v2.38T-europe-manual-review-pack,europe_manual_review_pack_contract_v1,company_name_source_value ('UKI0') matches a known upstream placeholder pattern; not a verified company name.
U37490,UKI0,false,2IS,Euronext Dublin,XDUB,IE,EUR,v2.38Q-europe-fundamentals-route-foundation,915d9f2fd6f93ae9566bbc10e3b0e13551934a5ad162c32db64c1772c0c9e471,FUNDAMENTALS_ROUTE_MANUAL_REVIEW_REQUIRED,EUROPE_MANUAL_REVIEW_PACK_PENDING_HUMAN_ACTION,true,true,true,No official registry or provider route confirmed for this home MIC yet; human decision required.,confirm_real_company_identity;confirm_isin_or_national_registration_number;determine_fundamentals_route_registry_or_provider,false,false,false,true,true,true,true,true,true,true,2026-09-05T09:39:42Z,v2.38T-europe-manual-review-pack,europe_manual_review_pack_contract_v1,company_name_source_value ('UKI0') matches a known upstream placeholder pattern; not a verified company name.
