check_id,category,label,expected,actual,severity,status
branch_declared,status,target branch,phase9b-global-enrichment-v2-38b,phase9b-global-enrichment-v2-38b,FAIL,PASS
branch_current,status,current branch,phase9b-global-enrichment-v2-38b,phase9b-global-enrichment-v2-38b,WARN,PASS
app_present,file,app_v2_37.py,present,present,FAIL,PASS
ranking_loader_present,file,src/ui_v2_37/global_ranking.py,present,present,FAIL,PASS
windows_runner_present,file,run_local_ui_v2_37.bat,present,present,FAIL,PASS
requirements_present,file,requirements.txt,present,present,FAIL,PASS
ui_requirements_present,file,requirements-ui-v2_28.txt,present,present,WARN,PASS
ranking_results_present,file,outputs/full_universe_source_acquisition/v2_38bv_global_research_ranking/global_research_ranking_results_v2_38bv.json,present,present,FAIL,PASS
bx_summary_present,file,outputs/full_universe_source_acquisition/v2_38bx_phase9c_closure_audit/phase9c_closure_audit_summary_v2_38bx.json,present,present,FAIL,PASS
bx_manifest_present,file,outputs/full_universe_source_acquisition/v2_38bx_phase9c_closure_audit/phase9c_closure_audit_manifest_v2_38bx.json,present,present,FAIL,PASS
by_summary_present,file,outputs/full_universe_source_acquisition/v2_38by_ranking_ux_hardening/ranking_ux_hardening_summary_v2_38by.json,present,present,FAIL,PASS
by_manifest_present,file,outputs/full_universe_source_acquisition/v2_38by_ranking_ux_hardening/ranking_ux_hardening_manifest_v2_38by.json,present,present,FAIL,PASS
by_checks_present,file,outputs/full_universe_source_acquisition/v2_38by_ranking_ux_hardening/ranking_ux_hardening_checks_v2_38by.csv,present,present,FAIL,PASS
bz_summary_present,file,outputs/full_universe_source_acquisition/v2_38bz_product_readiness_gate/product_readiness_gate_summary_v2_38bz.json,present,present,FAIL,PASS
bz_manifest_present,file,outputs/full_universe_source_acquisition/v2_38bz_product_readiness_gate/product_readiness_gate_manifest_v2_38bz.json,present,present,FAIL,PASS
bz_checks_present,file,outputs/full_universe_source_acquisition/v2_38bz_product_readiness_gate/product_readiness_gate_checks_v2_38bz.csv,present,present,FAIL,PASS
python_module:pandas,dependency,pandas,available,available,WARN,PASS
python_module:streamlit,dependency,streamlit,available,missing_on_this_machine,WARN,WARN
population:ELIGIBLE_PARTIAL,status,ELIGIBLE_PARTIAL,318,318,FAIL,PASS
population:PARTIAL_COMPARABILITY,status,PARTIAL_COMPARABILITY,373,373,FAIL,PASS
population:REVIEW_REQUIRED,status,REVIEW_REQUIRED,124,124,FAIL,PASS
population:BLOCKED,status,BLOCKED,270,270,FAIL,PASS
population:NOT_YET_SCORED_NO_ADAPTER,status,NOT_YET_SCORED_NO_ADAPTER,26,26,FAIL,PASS
population:TOTAL,status,total ranking rows,1111,1111,FAIL,PASS
bz_status,status,v2.38BZ status,PRODUCT_READINESS_PASS_WITH_LIMITATIONS,PRODUCT_READINESS_PASS_WITH_LIMITATIONS,FAIL,PASS
bx_qa_status,status,v2.38BX qa_status,PASS,PASS,FAIL,PASS
by_qa_status,status,v2.38BY qa_status,PASS,PASS,FAIL,PASS
bz_qa_status,status,v2.38BZ qa_status,PASS,PASS,FAIL,PASS
guardrail:scoring_recomputed,status,scoring_recomputed,False,False,FAIL,PASS
guardrail:methodology_changed,status,methodology_changed,False,False,FAIL,PASS
guardrail:weights_changed,status,weights_changed,False,False,FAIL,PASS
guardrail:network_used,status,network_used,False,False,FAIL,PASS
guardrail:ui_recomputes_scoring,status,ui_recomputes_scoring,False,False,FAIL,PASS
guardrail:financial_advice_created,status,financial_advice_created,False,False,FAIL,PASS
guardrail:broker_actions_allowed,status,broker_actions_allowed,False,False,FAIL,PASS
guardrail:recommendations_created,status,recommendations_created,False,False,FAIL,PASS
