path,exists,rows,size_bytes,modified_at,label
C:\Users\ikeri\proyectos\Scout Finance\outputs\scouting\stage1_balanced_official_closure_summary.json,True,,2418,2026-06-08T18:43:18+00:00,stage1_summary
C:\Users\ikeri\proyectos\Scout Finance\outputs\scouting\stage2_summary.json,True,,2282,2026-06-09T08:37:54+00:00,stage2_summary
C:\Users\ikeri\proyectos\Scout Finance\outputs\scouting\stage3_summary.json,True,,2533,2026-06-09T08:53:00+00:00,stage3_summary
C:\Users\ikeri\proyectos\Scout Finance\outputs\scouting\stage2_yfinance_policy_implementation_summary.json,True,,2386,2026-06-09T08:37:54+00:00,stage2_implementation_summary
C:\Users\ikeri\proyectos\Scout Finance\data\stages\stage1_passed.csv,True,182.0,53244,2026-06-08T18:43:18+00:00,stage1_passed
C:\Users\ikeri\proyectos\Scout Finance\data\stages\stage1_watchlist.csv,True,84.0,31006,2026-06-08T18:43:18+00:00,stage1_watchlist
C:\Users\ikeri\proyectos\Scout Finance\data\stages\stage1_rejected.csv,True,234.0,86318,2026-06-08T18:43:18+00:00,stage1_rejected
C:\Users\ikeri\proyectos\Scout Finance\data\stages\stage2_passed.csv,True,63.0,46336,2026-06-09T08:37:54+00:00,stage2_passed
C:\Users\ikeri\proyectos\Scout Finance\data\stages\stage2_watchlist.csv,True,81.0,60097,2026-06-09T08:37:54+00:00,stage2_watchlist
C:\Users\ikeri\proyectos\Scout Finance\data\stages\stage2_rejected.csv,True,38.0,29096,2026-06-09T08:37:54+00:00,stage2_rejected
C:\Users\ikeri\proyectos\Scout Finance\data\stages\stage3_passed.csv,True,6.0,6101,2026-06-09T08:53:00+00:00,stage3_passed
C:\Users\ikeri\proyectos\Scout Finance\data\stages\stage3_watchlist.csv,True,28.0,25801,2026-06-09T08:53:00+00:00,stage3_watchlist
C:\Users\ikeri\proyectos\Scout Finance\data\stages\stage3_rejected.csv,True,29.0,25636,2026-06-09T08:53:00+00:00,stage3_rejected
C:\Users\ikeri\proyectos\Scout Finance\outputs\scouting\stage3_candidates_for_ranking.csv,True,34.0,5660,2026-06-09T08:53:21+00:00,exports_stage3_candidates_for_ranking
C:\Users\ikeri\proyectos\Scout Finance\outputs\scouting\top_20_deep_research.csv,True,20.0,18316,2026-06-09T08:53:00+00:00,exports_top_20_deep_research
C:\Users\ikeri\proyectos\Scout Finance\outputs\scouting\top_50_watchlist.csv,True,34.0,30626,2026-06-09T08:53:00+00:00,exports_top_50_watchlist
C:\Users\ikeri\proyectos\Scout Finance\outputs\scouting\top_100_candidates.csv,True,34.0,30626,2026-06-09T08:53:00+00:00,exports_top_100_candidates
C:\Users\ikeri\proyectos\Scout Finance\outputs\scouting\top_recoverable_candidates.csv,True,57.0,50161,2026-06-09T08:53:00+00:00,exports_top_recoverable_candidates
