ticker,company_name,exchange,country,source_provider,source_file,instrument_type,instrument_scope,classification_confidence,classification_reason,sector,industry,market_cap,raw_cik,raw_exchange,provider_precedence,merge_action,merge_reason
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: ORDINARY SHARES.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
AACI,Armada Acquisition Corp. III - Class A Ordinary Share,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: CLASS A.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
AACO,Abony Acquisition Corp. I - Class A Ordinary Share,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: CLASS A.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
AACP,Apogee Acquisition Corp - Class A Ordinary Shares,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: ORDINARY SHARES.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: COMMON STOCK.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
AAME,Atlantic American Corporation - Common Stock,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: COMMON STOCK.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: COMMON STOCK.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
AAON,"AAON, Inc. - Common Stock",NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: COMMON STOCK.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
AAPG,Ascentage Pharma Group International - American Depository Shares,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,ADR,IN_SCOPE_ADR,MEDIUM,Security name indicates ADR/ADS: AMERICAN DEPOSITORY.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
AAPL,Apple Inc. - Common Stock,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: COMMON STOCK.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
AARD,"Aardvark Therapeutics, Inc. - Common Stock",NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: COMMON STOCK.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
ABAT,American Battery Technology Company - Common Stock,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: COMMON STOCK.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,MEDIUM,No exclusion keyword detected; treated as common equity candidate.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
ABEO,Abeona Therapeutics Inc. - Common Stock,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: COMMON STOCK.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
ABLV,Able View Global Inc. - Class B Ordinary Shares,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: ORDINARY SHARES.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
ABNB,"Airbnb, Inc. - Class A Common Stock",NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: COMMON STOCK.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: COMMON STOCK.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
ABSI,Absci Corporation - Common Stock,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: COMMON STOCK.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
ABTC,American Bitcoin Corp. - Class A Common Stock,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: COMMON STOCK.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
ABTS,Abits Group Inc - Ordinary Shares,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: ORDINARY SHARES.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
ABUS,Arbutus Biopharma Corporation - Common Stock,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: COMMON STOCK.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
ABVC,"ABVC BioPharma, Inc. - Common Stock",NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: COMMON STOCK.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
ACAA,Averin Capital Acquisition Corp. - Class A Ordinary Shares,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: ORDINARY SHARES.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: COMMON STOCK.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
ACB,Aurora Cannabis Inc. - Common Shares,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,MEDIUM,No exclusion keyword detected; treated as common equity candidate.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: ORDINARY SHARES.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
ACDC,ProFrac Holding Corp. - Class A Common Stock,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: COMMON STOCK.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
ACET,"Adicet Bio, Inc. - Common Stock",NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: COMMON STOCK.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
ACFN,"Acorn Energy, Inc. - Common Stock",NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: COMMON STOCK.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
ACGC,ACP Holdings Acquisition Corp. - Class A Ordinary Shares,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: ORDINARY SHARES.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
ACGL,Arch Capital Group Ltd. - Common Stock,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: COMMON STOCK.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
ACHC,"Acadia Healthcare Company, Inc. - Common Stock",NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: COMMON STOCK.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
ACHV,"Achieve Life Sciences, Inc.  - Common Shares",NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,MEDIUM,No exclusion keyword detected; treated as common equity candidate.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
ACIC,American Coastal Insurance Corporation - Common Stock,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: COMMON STOCK.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
ACIU,AC Immune SA - Common Stock,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: COMMON STOCK.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
ACIW,"ACI Worldwide, Inc. - Common Stock",NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: COMMON STOCK.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
ACLS,"Axcelis Technologies, Inc. - Common Stock",NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: COMMON STOCK.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
ACMR,"ACM Research, Inc. - Class A Common Stock",NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: COMMON STOCK.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
ACNB,ACNB Corporation - Common Stock,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: COMMON STOCK.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
ACNT,Ascent Industries Co. - Common Stock,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: COMMON STOCK.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
ACOG,Alpha Cognition Inc. - Common Stock,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: COMMON STOCK.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
ACON,"Aclarion, Inc. - Common Stock",NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: COMMON STOCK.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: COMMON STOCK.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
ACRV,"Acrivon Therapeutics, Inc. - Common Stock",NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: COMMON STOCK.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
ACT,"Enact Holdings, Inc. - Common Stock",NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: COMMON STOCK.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
ACTG,Acacia Research Corporation - Common Stock,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: COMMON STOCK.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
ACTU,"Actuate Therapeutics, Inc. - Common stock",NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: COMMON STOCK.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: COMMON STOCK.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
ADAC,American Drive Acquisition Company - Class A Ordinary Shares,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: ORDINARY SHARES.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,ADR,IN_SCOPE_ADR,MEDIUM,Security name indicates ADR/ADS: ADS.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
ADAM,"Adamas Trust, Inc. - Common Stock",NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common equity: COMMON STOCK.,,,,,,1,PRESERVE_EXISTING,Existing validated expanded_universe_v2_4b row preserved as base source.
