asset_id,ticker,company_name,exchange,cik,identity_status,enrichment_status,submissions_available,companyfacts_available,basic_concepts_available,available_forms,latest_filing_date,latest_10k_date,latest_10q_date,sec_taxonomies,facts_count,review_reason,evidence_hash,phase
U00002,AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,NASDAQ,,US_SEC_NOT_ELIGIBLE,SEC_NOT_ELIGIBLE,false,false,,,,,,,0,company_name_indicates_acquisition_company_or_blank_check,42c6c2648eb4fa3ae22d8aa107ab6d6b2865e3f0ed2f1ae21d550d8d31b12a4c,v2.38E
U00003,AACI,Armada Acquisition Corp. III - Class A Ordinary Share,NASDAQ,,US_SEC_NOT_ELIGIBLE,SEC_NOT_ELIGIBLE,false,false,,,,,,,0,company_name_indicates_acquisition_company_or_blank_check,643d5aa83623e36d08933f9aff023b6346622bf4bfeeea8f8f3d0926e6e37a4c,v2.38E
U00004,AACO,Abony Acquisition Corp. I - Class A Ordinary Share,NASDAQ,,US_SEC_NOT_ELIGIBLE,SEC_NOT_ELIGIBLE,false,false,,,,,,,0,company_name_indicates_acquisition_company_or_blank_check,dac64c627d559b5417aeb3f9a9173aa476243f4582f07261e52beba26d0a5acf,v2.38E
U00005,AACP,Apogee Acquisition Corp - Class A Ordinary Shares,NASDAQ,,US_SEC_NOT_ELIGIBLE,SEC_NOT_ELIGIBLE,false,false,,,,,,,0,company_name_indicates_acquisition_company_or_blank_check,dfdc84838fc227cf091752d99a570b44409279af4822482e7716409ab307609e,v2.38E
U00024,ACAA,Averin Capital Acquisition Corp. - Class A Ordinary Shares,NASDAQ,,US_SEC_NOT_ELIGIBLE,SEC_NOT_ELIGIBLE,false,false,,,,,,,0,company_name_indicates_acquisition_company_or_blank_check,567a217bdfa38fe1eb47a92f389b72a1a2a5bb49adc13dd37774f1592fd32639,v2.38E
U00031,ACGC,ACP Holdings Acquisition Corp. - Class A Ordinary Shares,NASDAQ,,US_SEC_NOT_ELIGIBLE,SEC_NOT_ELIGIBLE,false,false,,,,,,,0,company_name_indicates_acquisition_company_or_blank_check,8ab2c5002bdbff2dacb3874de87e793d0a27455823d3e66b7e77152f07a4d3e7,v2.38E
U00050,ADAC,American Drive Acquisition Company - Class A Ordinary Shares,NASDAQ,,US_SEC_NOT_ELIGIBLE,SEC_NOT_ELIGIBLE,false,false,,,,,,,0,company_name_indicates_acquisition_company_or_blank_check,eb37511d9f7060f8cb6e88a696e73147becb379e284237f0d5032e8b4b9a6a7e,v2.38E
U00052,ADAM,"Adamas Trust, Inc. - Common Stock",NASDAQ,,US_SEC_NOT_ELIGIBLE,SEC_NOT_ELIGIBLE,false,false,,,,,,,0,company_name_indicates_fund_or_trust,bae8066ac77e0081ea767f4ebfd41960c7a6df9dbbcbefbe3152ad8b7f2c7b1d,v2.38E
U00068,AEAQ,Activate Energy Acquisition Corp. - Class A Ordinary Share,NASDAQ,,US_SEC_NOT_ELIGIBLE,SEC_NOT_ELIGIBLE,false,false,,,,,,,0,company_name_indicates_acquisition_company_or_blank_check,4a3d3ea4110123a2cef1eaa8990635b383e9de9eb06f3b30eb7e3aac6bbe64c3,v2.38E
U00079,AESP,Aeon Acquisition I Corp. - Class A Ordinary Shares,NASDAQ,,US_SEC_NOT_ELIGIBLE,SEC_NOT_ELIGIBLE,false,false,,,,,,,0,company_name_indicates_acquisition_company_or_blank_check,03320f6c3a7a4a3726f120880160516ca0bf38c577e1ff4ff87591dd5f5ba74b,v2.38E
U00082,AFBI,"Affinity Bancshares, Inc. - Common Stock",NASDAQ,,US_SEC_CIK_MISSING,SEC_CIK_REVIEW_REQUIRED,false,false,,,,,,,0,ticker not found in SEC company_tickers_exchange cache,ca9f297544395e47a4f728595944f1b313785de78adc142ea1d8ee5105750af0,v2.38E
U00101,AIBZ,Bitzero Holdings Inc. - Common Shares,NASDAQ,0002100457,US_SEC_CIK_RESOLVED,ENRICHED_PARTIAL_SUBMISSIONS_ONLY,true,false,,6-K,2026-09-01,,,,0,companyfacts missing,75b171ae1654e12e9417a78cf7eab24c58d8555e7c855c33f394034a960ee4c0,v2.38E
U00127,ALBT,Avalon GloboCare Corp. - Common Stock,NASDAQ,,US_SEC_CIK_MISSING,SEC_CIK_REVIEW_REQUIRED,false,false,,,,,,,0,ticker not found in SEC company_tickers_exchange cache,445262518b7705dd12db0f7a4955117770e60af90090979b7095b4d020c5357c,v2.38E
U00132,ALF,Centurion Acquisition Corp. - Class A Ordinary Shares,NASDAQ,,US_SEC_NOT_ELIGIBLE,SEC_NOT_ELIGIBLE,false,false,,,,,,,0,company_name_indicates_acquisition_company_or_blank_check,0202ef8d49ab109bdf1cef4ba1f2cd52cd5d7bcffa28bbb5dc0aaaa4582e66b1,v2.38E
U00138,ALIS,Calisa Acquisition Corp - Ordinary shares,NASDAQ,,US_SEC_NOT_ELIGIBLE,SEC_NOT_ELIGIBLE,false,false,,,,,,,0,company_name_indicates_acquisition_company_or_blank_check,2226cd7992403d5fdcfbe0992c05293c62aef9de07d19fdf7cdb962818542ef9,v2.38E
U00164,AMAN,Amanat Acquisition Corp - Class A Ordinary Shares,NASDAQ,,US_SEC_NOT_ELIGIBLE,SEC_NOT_ELIGIBLE,false,false,,,,,,,0,company_name_indicates_acquisition_company_or_blank_check,e3fe3f0210a6844c234d09168471a9adcc3159171d60303e99f34e95b8bfb504,v2.38E
U00196,ANSC,Agriculture & Natural Solutions Acquisition Corporation - Class A Ordinary Shares,NASDAQ,,US_SEC_NOT_ELIGIBLE,SEC_NOT_ELIGIBLE,false,false,,,,,,,0,company_name_indicates_acquisition_company_or_blank_check,d13396dbec7247086df73353ab75eaeb09b43a091c0693b32b5bab95ec023e4d,v2.38E
U00203,APAC,StoneBridge Acquisition II Corporation - Class A Ordinary Shares,NASDAQ,,US_SEC_NOT_ELIGIBLE,SEC_NOT_ELIGIBLE,false,false,,,,,,,0,company_name_indicates_acquisition_company_or_blank_check,7c0365eb60a8f7aadb93412a17077c031ab4fa1b492d4c10d306dfc24c04cc9d,v2.38E
