pilot_id,row_number,ticker,company_name,exchange,country,source_provider,instrument_type,type_bucket_v2_33a,provider_symbol_status,provider_symbol,eligibility_preflight_status,eligibility_preflight_reasons,price_collection_status
P001,41826,10X.AX,EXULTANT MINING LIMITED,ASX,Australia,ASX,equity,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P002,41537,AQC.AX,AUSTRALIAN PACIFIC COAL LIMITED,ASX,Australia,ASX,equity,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P003,41592,BRE.AX,BRAZILIAN RARE EARTHS LIMITED,ASX,Australia,ASX,equity,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P004,41718,CRR.AX,CRITICAL RESOURCES LIMITED,ASX,Australia,ASX,equity,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P005,41792,EM3.AX,EMC GOLD CORPORATION,ASX,Australia,ASX,equity_like,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P006,41879,GMD.AX,GENESIS MINERALS LIMITED,ASX,Australia,ASX,equity,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P007,41977,IPC.AX,IMPERIAL PACIFIC LIMITED,ASX,Australia,ASX,equity,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P008,42098,LSR.AX,LODESTAR MINERALS LIMITED,ASX,Australia,ASX,equity,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P009,42231,NDO.AX,NIDO EDUCATION LIMITED,ASX,Australia,ASX,equity,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P010,42306,PKO.AX,PEAKO LIMITED,ASX,Australia,ASX,equity,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P011,42426,RTG.AX,RTG MINING INC.,ASX,Australia,ASX,equity_like,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P012,41395,T3D.AX,333D LIMITED,ASX,Australia,ASX,equity,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P013,42623,VKA.AX,VIKING MINES LIMITED,ASX,Australia,ASX,equity,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P014,42495,ZSP.AX,STANDARD & POORS INDICES AUSTRALIA,ASX,Australia,ASX,equity_like,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P015,43088,COB01PAAO006,AO BANCO DE BOGOTA,BVC,Colombia,SFC_SIMEV_RNVE,colombia_equity_price_security,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P016,40302,1101.TW,臺灣水泥股份有限公司,TWSE,Taiwan,TWSE,Equity,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P017,40401,1525.TW,江申工業股份有限公司,TWSE,Taiwan,TWSE,Equity,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P018,40501,2102.TW,泰豐輪胎股份有限公司,TWSE,Taiwan,TWSE,Equity,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P019,40600,2514.TW,龍邦國際興業股份有限公司,TWSE,Taiwan,TWSE,Equity,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P020,40699,3049.TW,精金科技股份有限公司,TWSE,Taiwan,TWSE,Equity,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P021,40798,4952.TW,凌通科技股份有限公司,TWSE,Taiwan,TWSE,Equity,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P022,40898,6756.TW,威鋒電子股份有限公司,TWSE,Taiwan,TWSE,Equity,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P023,40997,9958.TW,世紀鋼鐵結構股份有限公司,TWSE,Taiwan,TWSE,Equity,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P024,18530,013Ad,JD.com Inc,CBOE_EUROPE,,cboe_europe_reference_data,EQTY,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P025,18621,0HR4l,CMS Energy Corp,CBOE_EUROPE,,cboe_europe_reference_data,EQTY,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P026,18716,0J76l,Huntington Ingalls Industries Inc,CBOE_EUROPE,,cboe_europe_reference_data,EQTY,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P027,18814,0KTSl,Ralph Lauren Corp,CBOE_EUROPE,,cboe_europe_reference_data,EQTY,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P028,18913,0QAHl,Merck & Co Inc,CBOE_EUROPE,,cboe_europe_reference_data,EQTY,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P029,19003,0UBd,UBS Group AG,CBOE_EUROPE,,cboe_europe_reference_data,EQTY,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P030,19096,1330n,Dynagreen Environmental Protection Group Co Ltd,CBOE_EUROPE,,cboe_europe_reference_data,EQTY,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P031,19188,19Hd,Hercules Capital Inc,CBOE_EUROPE,,cboe_europe_reference_data,EQTY,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P032,19271,1BAm,Boeing Co/The,CBOE_EUROPE,,cboe_europe_reference_data,EQTY,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P033,19353,1DECKm,Deckers Outdoor Corp,CBOE_EUROPE,,cboe_europe_reference_data,EQTY,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P034,19442,1GDm,General Dynamics Corp,CBOE_EUROPE,,cboe_europe_reference_data,EQTY,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P035,19531,1KDPm,Keurig Dr Pepper Inc,CBOE_EUROPE,,cboe_europe_reference_data,EQTY,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P036,19618,1NESTm,Neste Oyj,CBOE_EUROPE,,cboe_europe_reference_data,EQTY,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P037,19699,1SANDm,Sandvik AB,CBOE_EUROPE,,cboe_europe_reference_data,EQTY,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P038,19785,1TRMBm,Trimble Inc,CBOE_EUROPE,,cboe_europe_reference_data,EQTY,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P039,19868,2006n,Shanghai Jin Jiang International Hotels Group Co Ltd,CBOE_EUROPE,,cboe_europe_reference_data,EQTY,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P040,9290,2FEd,Ferrari NV,CBOE_EUROPE,,cboe_europe_reference_data,EQTY,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P041,20081,384n,China Gas Holdings Ltd,CBOE_EUROPE,,cboe_europe_reference_data,EQTY,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P042,20268,4BBl,4basebio PLC,CBOE_EUROPE,,cboe_europe_reference_data,EQTY,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P043,20403,6457n,Glory Ltd,CBOE_EUROPE,,cboe_europe_reference_data,EQTY,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P044,20491,762n,China Unicom Hong Kong Ltd,CBOE_EUROPE,,cboe_europe_reference_data,EQTY,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P045,20580,895n,Dongjiang Environmental Co Ltd,CBOE_EUROPE,,cboe_europe_reference_data,EQTY,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
P046,9586,AABc,Aalborg Boldspilklub A/S,CBOE_EUROPE,,cboe_europe_reference_data,EQTY,common_equity_candidate,pending_provider_mapping,,pass,,blocked_pending_authorized_api_token
