pilot_id,row_number,ticker,company_name,exchange,country,source_provider,instrument_type,type_bucket_v2_33a,provider_symbol_status,provider_symbol,eligibility_preflight_status,eligibility_preflight_reasons,price_collection_status,provider_symbol_reason
P001,41826,10X.AX,EXULTANT MINING LIMITED,ASX,Australia,ASX,equity,common_equity_candidate,resolved_deterministic,10X.AU,pass,,ready_pending_authorized_api_token,official_asx_au_suffix
P002,41537,AQC.AX,AUSTRALIAN PACIFIC COAL LIMITED,ASX,Australia,ASX,equity,common_equity_candidate,resolved_deterministic,AQC.AU,pass,,ready_pending_authorized_api_token,official_asx_au_suffix
P003,41592,BRE.AX,BRAZILIAN RARE EARTHS LIMITED,ASX,Australia,ASX,equity,common_equity_candidate,resolved_deterministic,BRE.AU,pass,,ready_pending_authorized_api_token,official_asx_au_suffix
P004,41718,CRR.AX,CRITICAL RESOURCES LIMITED,ASX,Australia,ASX,equity,common_equity_candidate,resolved_deterministic,CRR.AU,pass,,ready_pending_authorized_api_token,official_asx_au_suffix
P005,41792,EM3.AX,EMC GOLD CORPORATION,ASX,Australia,ASX,equity_like,common_equity_candidate,resolved_deterministic,EM3.AU,pass,,ready_pending_authorized_api_token,official_asx_au_suffix
P006,41879,GMD.AX,GENESIS MINERALS LIMITED,ASX,Australia,ASX,equity,common_equity_candidate,resolved_deterministic,GMD.AU,pass,,ready_pending_authorized_api_token,official_asx_au_suffix
P007,41977,IPC.AX,IMPERIAL PACIFIC LIMITED,ASX,Australia,ASX,equity,common_equity_candidate,resolved_deterministic,IPC.AU,pass,,ready_pending_authorized_api_token,official_asx_au_suffix
P008,42098,LSR.AX,LODESTAR MINERALS LIMITED,ASX,Australia,ASX,equity,common_equity_candidate,resolved_deterministic,LSR.AU,pass,,ready_pending_authorized_api_token,official_asx_au_suffix
P009,42231,NDO.AX,NIDO EDUCATION LIMITED,ASX,Australia,ASX,equity,common_equity_candidate,resolved_deterministic,NDO.AU,pass,,ready_pending_authorized_api_token,official_asx_au_suffix
P010,42306,PKO.AX,PEAKO LIMITED,ASX,Australia,ASX,equity,common_equity_candidate,resolved_deterministic,PKO.AU,pass,,ready_pending_authorized_api_token,official_asx_au_suffix
P011,42426,RTG.AX,RTG MINING INC.,ASX,Australia,ASX,equity_like,common_equity_candidate,resolved_deterministic,RTG.AU,pass,,ready_pending_authorized_api_token,official_asx_au_suffix
P012,41395,T3D.AX,333D LIMITED,ASX,Australia,ASX,equity,common_equity_candidate,resolved_deterministic,T3D.AU,pass,,ready_pending_authorized_api_token,official_asx_au_suffix
P013,42623,VKA.AX,VIKING MINES LIMITED,ASX,Australia,ASX,equity,common_equity_candidate,resolved_deterministic,VKA.AU,pass,,ready_pending_authorized_api_token,official_asx_au_suffix
P014,42495,ZSP.AX,STANDARD & POORS INDICES AUSTRALIA,ASX,Australia,ASX,equity_like,common_equity_candidate,excluded_non_company_index,,pass,,excluded_non_company,company_name_identifies_index_provider
P015,43088,COB01PAAO006,AO BANCO DE BOGOTA,BVC,Colombia,SFC_SIMEV_RNVE,colombia_equity_price_security,common_equity_candidate,unresolved,,pass,,blocked_pending_provider_mapping,requires_provider_search_or_identifier_mapping
P016,40302,1101.TW,臺灣水泥股份有限公司,TWSE,Taiwan,TWSE,Equity,common_equity_candidate,resolved_deterministic,1101.TW,pass,,ready_pending_authorized_api_token,official_taiwan_tw_suffix
P017,40401,1525.TW,江申工業股份有限公司,TWSE,Taiwan,TWSE,Equity,common_equity_candidate,resolved_deterministic,1525.TW,pass,,ready_pending_authorized_api_token,official_taiwan_tw_suffix
P018,40501,2102.TW,泰豐輪胎股份有限公司,TWSE,Taiwan,TWSE,Equity,common_equity_candidate,resolved_deterministic,2102.TW,pass,,ready_pending_authorized_api_token,official_taiwan_tw_suffix
P019,40600,2514.TW,龍邦國際興業股份有限公司,TWSE,Taiwan,TWSE,Equity,common_equity_candidate,resolved_deterministic,2514.TW,pass,,ready_pending_authorized_api_token,official_taiwan_tw_suffix
P020,40699,3049.TW,精金科技股份有限公司,TWSE,Taiwan,TWSE,Equity,common_equity_candidate,resolved_deterministic,3049.TW,pass,,ready_pending_authorized_api_token,official_taiwan_tw_suffix
P021,40798,4952.TW,凌通科技股份有限公司,TWSE,Taiwan,TWSE,Equity,common_equity_candidate,resolved_deterministic,4952.TW,pass,,ready_pending_authorized_api_token,official_taiwan_tw_suffix
P022,40898,6756.TW,威鋒電子股份有限公司,TWSE,Taiwan,TWSE,Equity,common_equity_candidate,resolved_deterministic,6756.TW,pass,,ready_pending_authorized_api_token,official_taiwan_tw_suffix
P023,40997,9958.TW,世紀鋼鐵結構股份有限公司,TWSE,Taiwan,TWSE,Equity,common_equity_candidate,resolved_deterministic,9958.TW,pass,,ready_pending_authorized_api_token,official_taiwan_tw_suffix
P024,18530,013Ad,JD.com Inc,CBOE_EUROPE,,cboe_europe_reference_data,EQTY,common_equity_candidate,unresolved,,pass,,blocked_pending_provider_mapping,cross_listing_requires_home_exchange_or_identifier_mapping
P025,18621,0HR4l,CMS Energy Corp,CBOE_EUROPE,,cboe_europe_reference_data,EQTY,common_equity_candidate,unresolved,,pass,,blocked_pending_provider_mapping,cross_listing_requires_home_exchange_or_identifier_mapping
P026,18716,0J76l,Huntington Ingalls Industries Inc,CBOE_EUROPE,,cboe_europe_reference_data,EQTY,common_equity_candidate,unresolved,,pass,,blocked_pending_provider_mapping,cross_listing_requires_home_exchange_or_identifier_mapping
P027,18814,0KTSl,Ralph Lauren Corp,CBOE_EUROPE,,cboe_europe_reference_data,EQTY,common_equity_candidate,unresolved,,pass,,blocked_pending_provider_mapping,cross_listing_requires_home_exchange_or_identifier_mapping
P028,18913,0QAHl,Merck & Co Inc,CBOE_EUROPE,,cboe_europe_reference_data,EQTY,common_equity_candidate,unresolved,,pass,,blocked_pending_provider_mapping,cross_listing_requires_home_exchange_or_identifier_mapping
P029,19003,0UBd,UBS Group AG,CBOE_EUROPE,,cboe_europe_reference_data,EQTY,common_equity_candidate,unresolved,,pass,,blocked_pending_provider_mapping,cross_listing_requires_home_exchange_or_identifier_mapping
P030,19096,1330n,Dynagreen Environmental Protection Group Co Ltd,CBOE_EUROPE,,cboe_europe_reference_data,EQTY,common_equity_candidate,unresolved,,pass,,blocked_pending_provider_mapping,cross_listing_requires_home_exchange_or_identifier_mapping
P031,19188,19Hd,Hercules Capital Inc,CBOE_EUROPE,,cboe_europe_reference_data,EQTY,common_equity_candidate,unresolved,,pass,,blocked_pending_provider_mapping,cross_listing_requires_home_exchange_or_identifier_mapping
