asset_id,ticker,cik,feature,reason,current_fy,previous_fy,metric,phase
U00006,AAL,0000006201,equity_yoy_growth,invalid_or_nonpositive_previous_denominator,2025,2024,equity,v2.38G
U00006,AAL,0000006201,return_on_equity,missing_or_invalid_equity,2025,,equity,v2.38G
U00006,AAL,0000006201,liabilities_to_assets,missing_or_invalid_assets,2025,,assets,v2.38G
U00006,AAL,0000006201,free_cash_flow,missing_cash_flow_or_capex,2025,,operating_cash_flow|capex,v2.38G
U00006,AAL,0000006201,free_cash_flow_margin,missing_or_invalid_revenue_or_fcf,2025,,revenue,v2.38G
U00006,AAL,0000006201,capex_to_revenue,missing_or_invalid_revenue_or_capex,2025,,revenue,v2.38G
U00007,AAME,0000008177,net_income_yoy_growth,invalid_or_nonpositive_previous_denominator,2024,2023,net_income,v2.38G
U00007,AAME,0000008177,cash_conversion_ratio,missing_or_invalid_net_income,2024,,net_income,v2.38G
U00008,AAOI,0001158114,net_income_yoy_growth,invalid_or_nonpositive_previous_denominator,2025,2024,net_income,v2.38G
U00008,AAOI,0001158114,operating_cash_flow_yoy_growth,invalid_or_nonpositive_previous_denominator,2025,2024,operating_cash_flow,v2.38G
U00008,AAOI,0001158114,cash_conversion_ratio,missing_or_invalid_net_income,2025,,net_income,v2.38G
U00009,AAON,0000824142,revenue_yoy_growth,missing_previous_year,2025,2024,revenue,v2.38G
U00009,AAON,0000824142,net_margin,missing_or_invalid_revenue,2025,,revenue,v2.38G
U00009,AAON,0000824142,operating_cash_flow_margin,missing_or_invalid_revenue,2025,,revenue,v2.38G
U00009,AAON,0000824142,liabilities_to_assets,missing_or_invalid_assets,2025,,assets,v2.38G
U00009,AAON,0000824142,free_cash_flow,missing_cash_flow_or_capex,2025,,operating_cash_flow|capex,v2.38G
U00009,AAON,0000824142,free_cash_flow_margin,missing_or_invalid_revenue_or_fcf,2025,,revenue,v2.38G
U00009,AAON,0000824142,capex_to_revenue,missing_or_invalid_revenue_or_capex,2025,,revenue,v2.38G
U00012,AARD,0001774857,revenue_yoy_growth,missing_previous_year,2025,2024,revenue,v2.38G
U00012,AARD,0001774857,net_income_yoy_growth,missing_previous_year,2025,2024,net_income,v2.38G
U00012,AARD,0001774857,operating_cash_flow_yoy_growth,missing_previous_year,2025,2024,operating_cash_flow,v2.38G
U00012,AARD,0001774857,assets_yoy_growth,missing_previous_year,2025,2024,assets,v2.38G
U00012,AARD,0001774857,equity_yoy_growth,missing_previous_year,2025,2024,equity,v2.38G
U00012,AARD,0001774857,net_margin,missing_or_invalid_revenue,2025,,revenue,v2.38G
U00012,AARD,0001774857,operating_cash_flow_margin,missing_or_invalid_revenue,2025,,revenue,v2.38G
U00012,AARD,0001774857,free_cash_flow_margin,missing_or_invalid_revenue_or_fcf,2025,,revenue,v2.38G
U00012,AARD,0001774857,capex_to_revenue,missing_or_invalid_revenue_or_capex,2025,,revenue,v2.38G
U00012,AARD,0001774857,cash_conversion_ratio,missing_or_invalid_net_income,2025,,net_income,v2.38G
U00013,ABAT,0001576873,net_income_yoy_growth,invalid_or_nonpositive_previous_denominator,2025,2024,net_income,v2.38G
U00013,ABAT,0001576873,operating_cash_flow_yoy_growth,invalid_or_nonpositive_previous_denominator,2025,2024,operating_cash_flow,v2.38G
U00013,ABAT,0001576873,free_cash_flow,missing_cash_flow_or_capex,2025,,operating_cash_flow|capex,v2.38G
U00013,ABAT,0001576873,free_cash_flow_margin,missing_or_invalid_revenue_or_fcf,2025,,revenue,v2.38G
