home_country,rows,home_exchange_resolved,cboe_secondary_blocked,manual_review_required,primary_status
,21864,0,21066,88,CBOE_SECONDARY_HOME_EXCHANGE_REQUIRED
AT,20,20,0,0,HOME_EXCHANGE_RESOLVED
BE,6,6,0,0,HOME_EXCHANGE_RESOLVED
CH,29,29,0,0,HOME_EXCHANGE_RESOLVED
DE,438,413,0,25,HOME_EXCHANGE_RESOLVED
DK,21,21,0,0,HOME_EXCHANGE_RESOLVED
ES,15,15,0,0,HOME_EXCHANGE_RESOLVED
FI,5,5,0,0,HOME_EXCHANGE_RESOLVED
FR,53,53,0,0,HOME_EXCHANGE_RESOLVED
GB,40,40,0,0,HOME_EXCHANGE_RESOLVED
IE,17,17,0,0,HOME_EXCHANGE_RESOLVED
IT,22,22,0,0,HOME_EXCHANGE_RESOLVED
NL,44,44,0,0,HOME_EXCHANGE_RESOLVED
SE,4,4,0,0,HOME_EXCHANGE_RESOLVED
