asset_id,ticker,theme_id,note_type,note,confidence_level,source_policy,phase
U00597,CGEN,INTEREST_RATES,MACRO_RISK,"Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.",MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00597,CGEN,INFLATION,MACRO_RISK,Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00597,CGEN,USD_STRENGTH,MACRO_RISK,A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.,LOW,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00597,CGEN,SMALL_CAP_LIQUIDITY,MACRO_RISK,Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00597,CGEN,,EVIDENCE_LIMITATION,No reliable sector-specific theme was inferred; only general US macro themes were applied.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00597,CGEN,,NEXT_RESEARCH_STEP,Review sourced macro and sector evidence in the next phase before changing any research priority.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00597,CGEN,,LANGUAGE_GUARDRAIL,Static context only; no final action language or external event claim is generated.,HIGH,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00489,BWFG,INTEREST_RATES,MACRO_RISK,"Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.",MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00489,BWFG,INFLATION,MACRO_RISK,Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00489,BWFG,USD_STRENGTH,MACRO_RISK,A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.,LOW,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00489,BWFG,SMALL_CAP_LIQUIDITY,MACRO_RISK,Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00489,BWFG,BANK_CREDIT_CYCLE,MACRO_RISK,Credit quality and funding costs can materially affect banks and lenders.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00489,BWFG,,EVIDENCE_LIMITATION,Sector classification is conservative and derived only from existing local text fields; no live external classification was used.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00489,BWFG,,NEXT_RESEARCH_STEP,Review sourced macro and sector evidence in the next phase before changing any research priority.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00489,BWFG,,LANGUAGE_GUARDRAIL,Static context only; no final action language or external event claim is generated.,HIGH,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00040,ACNB,INTEREST_RATES,MACRO_RISK,"Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.",MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00040,ACNB,INFLATION,MACRO_RISK,Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00040,ACNB,USD_STRENGTH,MACRO_RISK,A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.,LOW,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
