asset_id,ticker,company_name,exchange,shortlist_rank,research_rank,experimental_score,shortlist_bucket,macro_context_status,applicable_themes,macro_opportunity_score,macro_risk_score,macro_balance,macro_context_summary,macro_positive_context,macro_risk_context,macro_limitations,next_macro_research_steps,recommendation_generated,financial_advice,broker_actions_allowed,phase9c_authorized,phase
U00597,CGEN,Compugen Ltd. - Ordinary Shares,NASDAQ,1,1,87.3314,SHORTLIST_HIGH_PRIORITY,MACRO_CONTEXT_PARTIAL,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY,49.25,64.25,-15.0,Static macro/geopolitical context applied using 4 taxonomy themes as of 2026-09-03.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.",No reliable sector-specific theme was inferred; only general US macro themes were applied.,Validate sector exposure manually; add sourced live macro/news layer in a later phase; do not alter the v2.38K/v2.38L rank from this static layer.,false,false,false,false,v2.38M-macro-geopolitical-context
U00489,BWFG,"Bankwell Financial Group, Inc. - Common Stock",NASDAQ,2,2,86.9175,SHORTLIST_HIGH_PRIORITY,MACRO_CONTEXT_READY,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY|BANK_CREDIT_CYCLE,48.2,66.2,-18.0,Static macro/geopolitical context applied using 5 taxonomy themes as of 2026-09-03.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.; BANK_CREDIT_CYCLE: Credit quality and funding costs can materially affect banks and lenders.",Sector classification is conservative and derived only from existing local text fields; no live external classification was used.,Validate sector exposure manually; add sourced live macro/news layer in a later phase; do not alter the v2.38K/v2.38L rank from this static layer.,false,false,false,false,v2.38M-macro-geopolitical-context
U00040,ACNB,ACNB Corporation - Common Stock,NASDAQ,3,3,84.0633,SHORTLIST_HIGH_PRIORITY,MACRO_CONTEXT_PARTIAL,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY,49.25,64.25,-15.0,Static macro/geopolitical context applied using 4 taxonomy themes as of 2026-09-03.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.",No reliable sector-specific theme was inferred; only general US macro themes were applied.,Validate sector exposure manually; add sourced live macro/news layer in a later phase; do not alter the v2.38K/v2.38L rank from this static layer.,false,false,false,false,v2.38M-macro-geopolitical-context
U00126,ALAB,"Astera Labs, Inc. - Common Stock",NASDAQ,4,4,83.8049,SHORTLIST_HIGH_PRIORITY,MACRO_CONTEXT_PARTIAL,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY,49.25,64.25,-15.0,Static macro/geopolitical context applied using 4 taxonomy themes as of 2026-09-03.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.",No reliable sector-specific theme was inferred; only general US macro themes were applied.,Validate sector exposure manually; add sourced live macro/news layer in a later phase; do not alter the v2.38K/v2.38L rank from this static layer.,false,false,false,false,v2.38M-macro-geopolitical-context
U00276,ATEX,Anterix Inc. - Common Stock,NASDAQ,5,5,83.3366,SHORTLIST_HIGH_PRIORITY,MACRO_CONTEXT_PARTIAL,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY,49.25,64.25,-15.0,Static macro/geopolitical context applied using 4 taxonomy themes as of 2026-09-03.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.",No reliable sector-specific theme was inferred; only general US macro themes were applied.,Validate sector exposure manually; add sourced live macro/news layer in a later phase; do not alter the v2.38K/v2.38L rank from this static layer.,false,false,false,false,v2.38M-macro-geopolitical-context
U00503,CAC,Camden National Corporation - Common Stock,NASDAQ,6,6,80.9777,SHORTLIST_HIGH_PRIORITY,MACRO_CONTEXT_PARTIAL,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY,49.25,64.25,-15.0,Static macro/geopolitical context applied using 4 taxonomy themes as of 2026-09-03.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.",No reliable sector-specific theme was inferred; only general US macro themes were applied.,Validate sector exposure manually; add sourced live macro/news layer in a later phase; do not alter the v2.38K/v2.38L rank from this static layer.,false,false,false,false,v2.38M-macro-geopolitical-context
U00025,ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,NASDAQ,7,7,80.9259,SHORTLIST_HIGH_PRIORITY,MACRO_CONTEXT_READY,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY|HEALTHCARE_REGULATION,50.4,65.8,-15.4,Static macro/geopolitical context applied using 5 taxonomy themes as of 2026-09-03.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.; HEALTHCARE_REGULATION: Healthcare and biotech names face policy, reimbursement and trial/regulatory uncertainty.",Sector classification is conservative and derived only from existing local text fields; no live external classification was used.,Validate sector exposure manually; add sourced live macro/news layer in a later phase; do not alter the v2.38K/v2.38L rank from this static layer.,false,false,false,false,v2.38M-macro-geopolitical-context
U00482,BUSE,First Busey Corporation - Common Stock,NASDAQ,8,8,80.5503,SHORTLIST_HIGH_PRIORITY,MACRO_CONTEXT_PARTIAL,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY,49.25,64.25,-15.0,Static macro/geopolitical context applied using 4 taxonomy themes as of 2026-09-03.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.",No reliable sector-specific theme was inferred; only general US macro themes were applied.,Validate sector exposure manually; add sourced live macro/news layer in a later phase; do not alter the v2.38K/v2.38L rank from this static layer.,false,false,false,false,v2.38M-macro-geopolitical-context
U00522,CART,Maplebear Inc. - Common Stock,NASDAQ,9,9,78.7464,SHORTLIST_HIGH_PRIORITY,MACRO_CONTEXT_PARTIAL,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY,49.25,64.25,-15.0,Static macro/geopolitical context applied using 4 taxonomy themes as of 2026-09-03.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.",No reliable sector-specific theme was inferred; only general US macro themes were applied.,Validate sector exposure manually; add sourced live macro/news layer in a later phase; do not alter the v2.38K/v2.38L rank from this static layer.,false,false,false,false,v2.38M-macro-geopolitical-context
U00425,BMRN,BioMarin Pharmaceutical Inc. - Common Stock,NASDAQ,10,10,78.0671,SHORTLIST_HIGH_PRIORITY,MACRO_CONTEXT_READY,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY|HEALTHCARE_REGULATION,50.4,65.8,-15.4,Static macro/geopolitical context applied using 5 taxonomy themes as of 2026-09-03.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.; HEALTHCARE_REGULATION: Healthcare and biotech names face policy, reimbursement and trial/regulatory uncertainty.",Sector classification is conservative and derived only from existing local text fields; no live external classification was used.,Validate sector exposure manually; add sourced live macro/news layer in a later phase; do not alter the v2.38K/v2.38L rank from this static layer.,false,false,false,false,v2.38M-macro-geopolitical-context
