country,rows,pct_total
<MISSING>,21154,49.093736
USA,9200,21.351157
JP,3705,8.598482
Hong Kong,3200,7.426489
India,2013,4.671726
Australia,1316,3.054144
US,700,1.624545
Taiwan,696,1.615261
DE,413,0.958481
Singapore,358,0.830838
FR,53,0.123001
NL,44,0.102114
GB,40,0.092831
CH,29,0.067303
Colombia,23,0.053378
IT,22,0.051057
DK,21,0.048736
AT,20,0.046416
LU,20,0.046416
IE,17,0.039453
ES,15,0.034812
CA,8,0.018566
BE,6,0.013925
FI,5,0.011604
SE,4,0.009283
BG,2,0.004642
AU,1,0.002321
CN,1,0.002321
KY,1,0.002321
LI,1,0.002321
MT,1,0.002321
