output_id,phase,relative_path,category,required_for,expected_type,status,is_blocking,file_exists,row_count_or_size,diagnostic_note,remediation_hint
app_v2_37,v2.37,app_v2_37.py,app,local_app_startup,python,PRESENT,false,true,46342,Required output is available.,No action required.
windows_launcher,v2.37,run_local_ui_v2_37.bat,launcher,local_app_startup,batch,PRESENT,false,true,599,Required output is available.,No action required.
requirements,base,requirements.txt,dependency,local_app_startup,text,PRESENT,false,true,76,Required output is available.,No action required.
ui_requirements,base,requirements-ui-v2_28.txt,dependency,local_app_startup,text,PRESENT,false,true,155,Optional auxiliary output is available.,No action required.
ranking_ui_module,v2.38BW,src/ui_v2_37/global_ranking.py,ui,experimental_ranking,python,PRESENT,false,true,2212,Required output is available.,No action required.
watchlists_module,v2.37,src/ui_v2_37/watchlists.py,ui,watchlists_exports,python,PRESENT,false,true,5206,Required output is available.,No action required.
ranking_results_json,v2.38BV,outputs/full_universe_source_acquisition/v2_38bv_global_research_ranking/global_research_ranking_results_v2_38bv.json,ranking,experimental_ranking,json,PRESENT,false,true,1111,Required output is available.,No action required.
ranking_main_json,v2.38BV,outputs/full_universe_source_acquisition/v2_38bv_global_research_ranking/global_research_ranking_main_v2_38bv.json,ranking,experimental_ranking,json,PRESENT,false,true,318,Required output is available.,No action required.
ranking_csv,v2.38BV,outputs/full_universe_source_acquisition/v2_38bv_global_research_ranking/global_research_ranking_v2_38bv.csv,ranking,experimental_ranking,csv,PRESENT,false,true,1111,Required output is available.,No action required.
ranking_manifest,v2.38BV,outputs/full_universe_source_acquisition/v2_38bv_global_research_ranking/global_research_ranking_manifest_v2_38bv.json,manifest,experimental_ranking,json,PRESENT,false,true,469,Required output is available.,No action required.
phase9c_audit_summary,v2.38BX,outputs/full_universe_source_acquisition/v2_38bx_phase9c_closure_audit/phase9c_closure_audit_summary_v2_38bx.json,audit,release_candidate_docs,json,PRESENT,false,true,958,Required output is available.,No action required.
ranking_ux_summary,v2.38BY,outputs/full_universe_source_acquisition/v2_38by_ranking_ux_hardening/ranking_ux_hardening_summary_v2_38by.json,audit,release_candidate_docs,json,PRESENT,false,true,900,Required output is available.,No action required.
product_readiness_summary,v2.38BZ,outputs/full_universe_source_acquisition/v2_38bz_product_readiness_gate/product_readiness_gate_summary_v2_38bz.json,readiness,release_candidate_docs,json,PRESENT,false,true,1062,Required output is available.,No action required.
release_candidate_summary,v2.38CA,outputs/full_universe_source_acquisition/v2_38ca_release_candidate_local/release_candidate_local_summary_v2_38ca.json,release,release_candidate_docs,json,PRESENT,false,true,1098,Required output is available.,No action required.
operator_guide,v2.38CA,outputs/full_universe_source_acquisition/v2_38ca_release_candidate_local/OPERATOR_GUIDE_LOCAL_v2_38ca.md,docs,release_candidate_docs,markdown,PRESENT,false,true,1963,Required output is available.,No action required.
startup_validation_summary,v2.38CB,outputs/full_universe_source_acquisition/v2_38cb_local_startup_validation/local_startup_validation_summary_v2_38cb.json,startup,local_app_startup,json,PRESENT,false,true,807,Required output is available.,No action required.
startup_troubleshooting,v2.38CB,outputs/full_universe_source_acquisition/v2_38cb_local_startup_validation/LOCAL_STARTUP_TROUBLESHOOTING_v2_38cb.md,docs,local_app_startup,markdown,PRESENT,false,true,1219,Required output is available.,No action required.
user_guide_summary,v2.38CC,outputs/full_universe_source_acquisition/v2_38cc_user_guide_dummy_friendly/user_guide_dummy_friendly_summary_v2_38cc.json,docs,release_candidate_docs,json,PRESENT,false,true,713,Required output is available.,No action required.
user_guide,v2.38CC,outputs/full_universe_source_acquisition/v2_38cc_user_guide_dummy_friendly/USER_GUIDE_DUMMY_FRIENDLY_v2_38cc.md,docs,release_candidate_docs,markdown,PRESENT,false,true,3239,Required output is available.,No action required.
user_quick_start,v2.38CC,outputs/full_universe_source_acquisition/v2_38cc_user_guide_dummy_friendly/USER_GUIDE_QUICK_START_v2_38cc.md,docs,release_candidate_docs,markdown,PRESENT,false,true,698,Required output is available.,No action required.
user_faq,v2.38CC,outputs/full_universe_source_acquisition/v2_38cc_user_guide_dummy_friendly/USER_GUIDE_FAQ_v2_38cc.md,docs,release_candidate_docs,markdown,PRESENT,false,true,2061,Required output is available.,No action required.
country_breakdown,diagnostic,outputs/full_universe_source_acquisition/country_breakdown_by_country.csv,diagnostic,historical_auxiliary,csv,PRESENT,false,true,29,Optional auxiliary output is available.,No action required.
currency_breakdown,diagnostic,outputs/full_universe_source_acquisition/country_breakdown_by_currency.csv,diagnostic,historical_auxiliary,csv,PRESENT,false,true,8,Optional auxiliary output is available.,No action required.
source_provider_breakdown,diagnostic,outputs/full_universe_source_acquisition/country_breakdown_by_source_provider.csv,diagnostic,historical_auxiliary,csv,PRESENT,false,true,12,Optional auxiliary output is available.,No action required.
