append_order,source_phase,asx_code,ticker,symbol,name,isin,instrument_class,scope_confidence,validation_decision,match_type,context_match,last_price,business_date,appended_ticker_duplicate_count,appended_isin_duplicate_count,ticker_already_in_current,isin_already_in_current
1,v2.20G,29M,29M.AX,29M.AX,29METALS LIMITED,AU0000157067,ordinary_equity,high,net_new_candidate,no_current_match,True,0.255,30/06/2026,1,1,False,False
2,v2.20G,T3D,T3D.AX,T3D.AX,333D LIMITED,AU000000T3D6,ordinary_equity,high,net_new_candidate,no_current_match,True,0.04,30/06/2026,1,1,False,False
3,v2.20G,TCF,TCF.AX,TCF.AX,360 CAPITAL MORTGAGE REIT,AU0000108771,a_reit_equity_like,medium,net_new_candidate,no_current_match,True,5.72,30/06/2026,1,1,False,False
4,v2.20G,TOT,TOT.AX,TOT.AX,360 CAPITAL REIT,AU000000TOT4,a_reit_equity_like,medium,net_new_candidate,no_current_match,True,0.41,30/06/2026,1,1,False,False
5,v2.20G,TDO,TDO.AX,TDO.AX,3D ENERGI LIMITED,AU000000TDO8,ordinary_equity,high,net_new_candidate,no_current_match,True,0.08,22/01/2026,1,1,False,False
6,v2.20G,49M,49M.AX,49M.AX,49 METALS LIMITED,AU0000455057,ordinary_equity,high,net_new_candidate,no_current_match,True,0.095,30/06/2026,1,1,False,False
7,v2.20G,4DX,4DX.AX,4DX.AX,4DMEDICAL LIMITED,AU0000095416,ordinary_equity,high,net_new_candidate,no_current_match,True,4.53,30/06/2026,1,1,False,False
8,v2.20G,5GN,5GN.AX,5GN.AX,5G NETWORKS LIMITED.,AU0000317554,ordinary_equity,high,net_new_candidate,no_current_match,True,0.059,30/06/2026,1,1,False,False
9,v2.20G,6KA,6KA.AX,6KA.AX,"6K ADDITIVE, INC.",AU0000432205,ordinary_or_equity_like_unclassified,medium,net_new_candidate,no_current_match,True,0.76,30/06/2026,1,1,False,False
10,v2.20G,8CO,8CO.AX,8CO.AX,8COMMON LIMITED,AU0000008CO0,ordinary_equity,high,net_new_candidate,no_current_match,True,0.023,30/06/2026,1,1,False,False
11,v2.20G,8IH,8IH.AX,8IH.AX,8I HOLDINGS LTD,AU0000008IH1,ordinary_or_equity_like_unclassified,medium,net_new_candidate,no_current_match,True,0.012,29/06/2026,1,1,False,False
12,v2.20G,AX8,AX8.AX,AX8.AX,ACCELERATE RESOURCES LIMITED,AU000000AX84,ordinary_equity,high,net_new_candidate,no_current_match,True,0.005,30/06/2026,1,1,False,False
13,v2.20G,AX1,AX1.AX,AX1.AX,ACCENT GROUP LIMITED,AU000000AX19,ordinary_equity,high,net_new_candidate,no_current_match,True,0.71,30/06/2026,1,1,False,False
14,v2.20G,ACS,ACS.AX,ACS.AX,ACCENT RESOURCES NL,AU000000ACS1,ordinary_equity,high,net_new_candidate,no_current_match,True,0.025,30/06/2026,1,1,False,False
15,v2.20G,ACQ,ACQ.AX,ACQ.AX,ACORN CAPITAL INVESTMENT FUND LIMITED,AU000000ACQ5,ordinary_equity,high,net_new_candidate,no_current_match,True,0.88,30/06/2026,1,1,False,False
16,v2.20G,ACF,ACF.AX,ACF.AX,ACROW LIMITED,AU0000006124,ordinary_equity,high,net_new_candidate,no_current_match,True,0.895,30/06/2026,1,1,False,False
17,v2.20G,ACW,ACW.AX,ACW.AX,ACTINOGEN MEDICAL LIMITED,AU000000ACW3,ordinary_equity,high,net_new_candidate,no_current_match,True,0.031,30/06/2026,1,1,False,False
18,v2.20G,ATV,ATV.AX,ATV.AX,ACTIVEPORT GROUP LTD,AU0000171910,ordinary_equity,high,net_new_candidate,no_current_match,True,0.026,30/06/2026,1,1,False,False
19,v2.20G,ADH,ADH.AX,ADH.AX,ADAIRS LIMITED,AU000000ADH2,ordinary_equity,high,net_new_candidate,no_current_match,True,1.46,30/06/2026,1,1,False,False
20,v2.20G,1AD,1AD.AX,1AD.AX,ADALTA LIMITED,AU0000001AD2,ordinary_equity,high,net_new_candidate,no_current_match,True,0.003,30/06/2026,1,1,False,False
21,v2.20G,ADD,ADD.AX,ADD.AX,ADAVALE RESOURCES LIMITED,AU000000ADD1,ordinary_equity,high,net_new_candidate,no_current_match,True,0.036,30/06/2026,1,1,False,False
22,v2.20G,AHE,AHE.AX,AHE.AX,ADHERIS HEALTH LIMITED,AU0000437493,ordinary_equity,high,net_new_candidate,no_current_match,True,0.012,30/06/2026,1,1,False,False
23,v2.20G,ADR,ADR.AX,ADR.AX,ADHERIUM LIMITED,AU000000ADR1,ordinary_equity,high,net_new_candidate,no_current_match,False,,,1,1,False,False
24,v2.20G,AI1,AI1.AX,AI1.AX,ADISYN LTD,AU0000301400,ordinary_equity,high,net_new_candidate,no_current_match,True,0.175,30/06/2026,1,1,False,False
25,v2.20G,ADY,ADY.AX,ADY.AX,ADMIRALTY RESOURCES NL.,AU000000ADY7,ordinary_equity,high,net_new_candidate,no_current_match,True,0.006,30/09/2025,1,1,False,False
26,v2.20G,AD1,AD1.AX,AD1.AX,ADNEO LIMITED,AU000000AD13,ordinary_equity,high,net_new_candidate,no_current_match,True,0.013,30/06/2026,1,1,False,False
27,v2.20G,ABY,ABY.AX,ABY.AX,ADORE BEAUTY GROUP LIMITED,AU0000109506,ordinary_equity,high,net_new_candidate,no_current_match,True,0.3,30/06/2026,1,1,False,False
28,v2.20G,AHL,AHL.AX,AHL.AX,ADRAD HOLDINGS LIMITED,AU0000237174,ordinary_equity,high,net_new_candidate,no_current_match,True,1.45,30/06/2026,1,1,False,False
29,v2.20G,AVM,AVM.AX,AVM.AX,ADVANCE METALS LIMITED,AU0000227720,ordinary_equity,high,net_new_candidate,no_current_match,True,0.06,30/06/2026,1,1,False,False
30,v2.20G,ANO,ANO.AX,ANO.AX,ADVANCE ZINCTEK LIMITED,AU000000ANO7,ordinary_equity,high,net_new_candidate,no_current_match,True,0.8,30/06/2026,1,1,False,False
31,v2.20G,ABV,ABV.AX,ABV.AX,ADVANCED BRAKING TECHNOLOGY LTD,AU000000ABV7,ordinary_equity,high,net_new_candidate,no_current_match,True,0.11,30/06/2026,1,1,False,False
32,v2.20G,AIH,AIH.AX,AIH.AX,ADVANCED INNERGY HOLDINGS LIMITED,AU0000423667,ordinary_equity,high,net_new_candidate,no_current_match,True,0.67,30/06/2026,1,1,False,False
33,v2.20G,A88,A88.AX,A88.AX,ADVANCETC LIMITED,AU000000A880,ordinary_equity,high,net_new_candidate,no_current_match,False,,,1,1,False,False
