candidate_id,market_id,country,country_code,exchange,mic,currency,source_id,source_class,table_index,row_index,title,symbol,isin,code_ann,issue_number,inscrito_en,bvc_date,rnve_date,tipo_inscripcion,moneda_source,instrument_bucket,accepted_by_quality,quality_reason,rejection_reason,raw_payload
CO_SFC_SIMEV_FINANCIAL_INSTITUTION_LIST_RNVE_2_1,COLOMBIA_BVC_REGULATORY,Colombia,CO,BVC,XBOG,COP,SFC_SIMEV_FINANCIAL_INSTITUTION_LIST_RNVE,registry_search_page,2,1,Para realizar una búsqueda de entidades es necesario que especifique por lo menos tres letras en el filtro 'Razón social de la entidad o seleccionar al menos un tipo de agente o sector económico.,PARAREALIZARUNAB,,,,,,,,,,False,search_prompt_or_non_candidate_row,search_prompt_or_non_candidate_row,"{""Razón social"": ""Para realizar una búsqueda de entidades es necesario que especifique por lo menos tres letras en el filtro 'Razón social de la entidad o seleccionar al menos un tipo de agente o sector económico."", ""Estado"": """", ""Tipo de entidad"": """", ""Código RNVEI"": """", ""Identificación"": """", ""Acción"": """"}"
CO_SFC_VALORES_INSCRITOS_007_001_1_7,COLOMBIA_BVC_REGULATORY,Colombia,CO,BVC,XBOG,COP,SFC_VALORES_INSCRITOS_007_001,registered_values_page,1,7,BO BANCOLOMBIA S.A. - SEGUNDO MERCADO,COB07CBBO213,COB07CBBO213,COB07CBBO213,202210,,,,,,,False,not_confirmed_as_bvc_registered,not_confirmed_as_bvc_registered,"{""Nombre del título"": ""BO BANCOLOMBIA S.A. - SEGUNDO MERCADO"", ""Código ANN"": ""COB07CBBO213"", ""No. Emisión"": ""202210"", ""Tipo Inscripción"": ""AUT"", ""Inscrito en"": ""RNVE"", ""Número de Acto Administrativo RNVE"": ""N/A"", ""Inscrito RNVE Fecha"": ""04/10/2022"", ""Inscrito BVC Fecha"": ""N/A"", ""Monto Autorizado"": ""640.000.000.000"", ""Moneda"": ""COP"", ""Última Calificacion"": ""N/A""}"
CO_SFC_VALORES_INSCRITOS_007_001_1_10,COLOMBIA_BVC_REGULATORY,Colombia,CO,BVC,XBOG,COP,SFC_VALORES_INSCRITOS_007_001,registered_values_page,1,10,BO PEC BANCOLOMBIA,COB07CBBO114,COB07CBBO114,COB07CBBO114,201207,,,,,,,False,not_confirmed_as_bvc_registered,not_confirmed_as_bvc_registered,"{""Nombre del título"": ""BO PEC BANCOLOMBIA"", ""Código ANN"": ""COB07CBBO114"", ""No. Emisión"": ""201207"", ""Tipo Inscripción"": ""AUT"", ""Inscrito en"": ""RNVE"", ""Número de Acto Administrativo RNVE"": ""N/A"", ""Inscrito RNVE Fecha"": ""01/06/2012"", ""Inscrito BVC Fecha"": ""N/A"", ""Monto Autorizado"": ""N/A"", ""Moneda"": ""COP"", ""Última Calificacion"": ""AAA""}"
CO_SFC_VALORES_INSCRITOS_007_001_1_11,COLOMBIA_BVC_REGULATORY,Colombia,CO,BVC,XBOG,COP,SFC_VALORES_INSCRITOS_007_001,registered_values_page,1,11,BO SUBORDINADO 1A. EMISIÓN PEC BANCOLOMBIA S.A.,COB07CBBS174,COB07CBBS174,COB07CBBS174,201805,,,,,,,False,not_confirmed_as_bvc_registered,not_confirmed_as_bvc_registered,"{""Nombre del título"": ""BO SUBORDINADO 1A. EMISIÓN PEC BANCOLOMBIA S.A."", ""Código ANN"": ""COB07CBBS174"", ""No. Emisión"": ""201805"", ""Tipo Inscripción"": ""AUT"", ""Inscrito en"": ""RNVE"", ""Número de Acto Administrativo RNVE"": ""N/A"", ""Inscrito RNVE Fecha"": ""08/05/2018"", ""Inscrito BVC Fecha"": ""N/A"", ""Monto Autorizado"": ""N/A"", ""Moneda"": ""COP"", ""Última Calificacion"": ""AA""}"
CO_SFC_VALORES_INSCRITOS_007_001_1_12,COLOMBIA_BVC_REGULATORY,Colombia,CO,BVC,XBOG,COP,SFC_VALORES_INSCRITOS_007_001,registered_values_page,1,12,BO SUBORDINADO BANCOLOMBIA S.A. - SEGUNDO MERCADO,COB07CBBS223,COB07CBBS223,COB07CBBS223,202604,,,,,,,False,not_confirmed_as_bvc_registered,not_confirmed_as_bvc_registered,"{""Nombre del título"": ""BO SUBORDINADO BANCOLOMBIA S.A. - SEGUNDO MERCADO"", ""Código ANN"": ""COB07CBBS223"", ""No. Emisión"": ""202604"", ""Tipo Inscripción"": ""AUT"", ""Inscrito en"": ""RNVE"", ""Número de Acto Administrativo RNVE"": ""N/A"", ""Inscrito RNVE Fecha"": ""16/04/2026"", ""Inscrito BVC Fecha"": ""N/A"", ""Monto Autorizado"": ""1.000.000.000.000"", ""Moneda"": ""COP"", ""Última Calificacion"": ""N/A""}"
CO_SFC_VALORES_INSCRITOS_007_001_1_15,COLOMBIA_BVC_REGULATORY,Colombia,CO,BVC,XBOG,COP,SFC_VALORES_INSCRITOS_007_001,registered_values_page,1,15,CDAT BANCOLOMBIA S.A.,COB07CDCT019,COB07CDCT019,COB07CDCT019,199706,,,,,,,False,not_confirmed_as_bvc_registered,not_confirmed_as_bvc_registered,"{""Nombre del título"": ""CDAT BANCOLOMBIA S.A."", ""Código ANN"": ""COB07CDCT019"", ""No. Emisión"": ""199706"", ""Tipo Inscripción"": ""AUT"", ""Inscrito en"": ""RNVE"", ""Número de Acto Administrativo RNVE"": ""N/A"", ""Inscrito RNVE Fecha"": ""05/06/1997"", ""Inscrito BVC Fecha"": ""N/A"", ""Monto Autorizado"": ""N/A"", ""Moneda"": ""N/A"", ""Última Calificacion"": ""N/A""}"
CO_SFC_VALORES_INSCRITOS_004_261_1_9,COLOMBIA_BVC_REGULATORY,Colombia,CO,BVC,XBOG,COP,SFC_VALORES_INSCRITOS_004_261,registered_values_page,1,9,"BO PROMIGAS, SURTIGAS Y GASES DE OCCIDENTE (EMISIÓN SINDICADA) - SEGUNDO MERCADO",COI04CBBO075,COI04CBBO075,COI04CBBO075,202412,,,,,,,False,not_confirmed_as_bvc_registered,not_confirmed_as_bvc_registered,"{""Nombre del título"": ""BO PROMIGAS, SURTIGAS Y GASES DE OCCIDENTE (EMISIÓN SINDICADA) - SEGUNDO MERCADO"", ""Código ANN"": ""COI04CBBO075"", ""No. Emisión"": ""202412"", ""Tipo Inscripción"": ""AUT"", ""Inscrito en"": ""RNVE"", ""Número de Acto Administrativo RNVE"": ""N/A"", ""Inscrito RNVE Fecha"": ""05/12/2024"", ""Inscrito BVC Fecha"": ""N/A"", ""Monto Autorizado"": ""540.000.000.000"", ""Moneda"": ""COP"", ""Última Calificacion"": ""N/A""}"
CO_SFC_PRECIO_ACCIONES_001_142_1_1,COLOMBIA_BVC_REGULATORY,Colombia,CO,BVC,XBOG,COP,SFC_PRECIO_ACCIONES_001_142,equity_price_page,1,1,ADP PEC GRUPO AVAL ACCIONES Y VALORES,COT29PAAD012,COT29PAAD012,COT29PAAD012,199811,,,,,,,False,search_prompt_or_non_candidate_row,search_prompt_or_non_candidate_row,"{""Nombre del título"": ""ADP PEC GRUPO AVAL ACCIONES Y VALORES"", ""Código SUPERFINANCIERA"": ""COT29PAAD012"", ""No. Emisión"": ""199811"", ""Tipo Inscripción"": ""NOR"", ""Inscrito en"": ""BC"", ""Inscrito en RNVEI"": ""0071"", ""Resolución - Fecha"": ""14/01/2011"", ""Inscrito B.V.C Fecha"": ""01/02/2011""}"
CO_SFC_PRECIO_ACCIONES_001_142_1_2,COLOMBIA_BVC_REGULATORY,Colombia,CO,BVC,XBOG,COP,SFC_PRECIO_ACCIONES_001_142,equity_price_page,1,2,AO PEC GRUPO AVAL ACCIONES Y VALORES S.A.,COT29PAAO001,COT29PAAO001,COT29PAAO001,199811,,,,,,,False,search_prompt_or_non_candidate_row,search_prompt_or_non_candidate_row,"{""Nombre del título"": ""AO PEC GRUPO AVAL ACCIONES Y VALORES S.A."", ""Código SUPERFINANCIERA"": ""COT29PAAO001"", ""No. Emisión"": ""199811"", ""Tipo Inscripción"": ""NOR"", ""Inscrito en"": ""BC"", ""Inscrito en RNVEI"": ""627"", ""Resolución - Fecha"": ""25/09/1998"", ""Inscrito B.V.C Fecha"": ""19/11/1998""}"
CO_SFC_VALORES_INSCRITOS_007_001_1_3,COLOMBIA_BVC_REGULATORY,Colombia,CO,BVC,XBOG,COP,SFC_VALORES_INSCRITOS_007_001,registered_values_page,1,3,BGG BANCOLOMBIA (ANTES CORFINSURA),COB07CBBG012,COB07CBBG012,COB07CBBG012,200209,BVC,29/05/2003,17/09/2002,AUT,COP,colombia_registered_bvc_security,True,accepted_official_regulatory_bvc_registered_security,duplicate_within_colombia_candidate_set,"{""Nombre del título"": ""BGG BANCOLOMBIA (ANTES CORFINSURA)"", ""Código ANN"": ""COB07CBBG012"", ""No. Emisión"": ""200209"", ""Tipo Inscripción"": ""AUT"", ""Inscrito en"": ""BVC"", ""Número de Acto Administrativo RNVE"": ""N/A"", ""Inscrito RNVE Fecha"": ""17/09/2002"", ""Inscrito BVC Fecha"": ""29/05/2003"", ""Monto Autorizado"": ""1.500.000.000.000"", ""Moneda"": ""COP"", ""Última Calificacion"": ""AAA""}"
