source_id,source_role,planned_action,attempted,status,artifacts_written,primary_url,notes
nse_all_reports_landing,landing_page,download landing html only,True,downloaded,1,https://www.nseindia.com/all-reports,Landing page saved. No candidate parsing performed.
nse_securities_available_for_trading_landing,landing_page,download landing html only,True,downloaded,1,https://www.nseindia.com/static/market-data/securities-available-for-trading,Landing page saved. No candidate parsing performed.
nse_all_reports_cm_mii_security_file_nse_and_bse_exclusive,primary_or_secondary_bulk_candidate_source,discover/download raw MII security file from NSE All Reports path,True,downloaded,1,https://nsearchives.nseindia.com/content/cm/NSE_CM_security_05082026.csv.gz,attempted_urls=39; discovered_from_landing=0; no candidate parsing performed
nse_all_reports_cm_mii_security_file_nse_listed,primary_or_secondary_bulk_candidate_source,discover/download raw MII security file from NSE All Reports path,True,downloaded,1,https://nsearchives.nseindia.com/content/cm/NSE_CM_security_05082026.csv.gz,attempted_urls=39; discovered_from_landing=0; no candidate parsing performed
nse_securities_available_equity_segment,direct_static_source,download raw direct source file only,True,downloaded,1,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,"No parsing, candidate extraction, canonical comparison or rebuild performed."
nse_securities_available_sme,direct_static_source,download raw direct source file only,True,downloaded,1,https://nsearchives.nseindia.com/emerge/corporates/content/SME_EQUITY_L.csv,"No parsing, candidate extraction, canonical comparison or rebuild performed."
nse_idrs,direct_static_source,download raw direct source file only,True,downloaded,1,https://nsearchives.nseindia.com/content/equities/IDR_W9.csv,"No parsing, candidate extraction, canonical comparison or rebuild performed."
nse_preference_shares,direct_static_source,download raw direct source file only,True,downloaded,1,https://nsearchives.nseindia.com/content/equities/PREF.csv,"No parsing, candidate extraction, canonical comparison or rebuild performed."
nse_warrants,direct_static_source,download raw direct source file only,True,downloaded,1,https://nsearchives.nseindia.com/content/equities/WARRANT.csv,"No parsing, candidate extraction, canonical comparison or rebuild performed."
nse_close_ended_mf,direct_static_source,download raw direct source file only,True,downloaded,1,https://nsearchives.nseindia.com/content/equities/mf_close-end.csv,"No parsing, candidate extraction, canonical comparison or rebuild performed."
nse_etfs,direct_static_source,download raw direct source file only,True,downloaded,1,https://nsearchives.nseindia.com/content/equities/eq_etfseclist.csv,"No parsing, candidate extraction, canonical comparison or rebuild performed."
nse_changes_company_names,direct_static_source,download raw direct source file only,True,downloaded,1,https://nsearchives.nseindia.com/content/equities/namechange.csv,"No parsing, candidate extraction, canonical comparison or rebuild performed."
nse_changes_symbols,direct_static_source,download raw direct source file only,True,downloaded,1,https://nsearchives.nseindia.com/content/equities/symbolchange.csv,"No parsing, candidate extraction, canonical comparison or rebuild performed."
nse_invits,direct_static_source,download raw direct source file only,True,downloaded,1,https://nsearchives.nseindia.com/content/equities/INVITS_L.csv,"No parsing, candidate extraction, canonical comparison or rebuild performed."
nse_reits,direct_static_source,download raw direct source file only,True,downloaded,1,https://nsearchives.nseindia.com/content/equities/REITS_L.csv,"No parsing, candidate extraction, canonical comparison or rebuild performed."
nse_debt_instruments,direct_static_source,download raw direct source file only,True,downloaded,1,https://nsearchives.nseindia.com/content/equities/DEBT.csv,"No parsing, candidate extraction, canonical comparison or rebuild performed."
