raw_file,source_url,candidate_url,score,matched_hints
outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_live_equities_overview.html,https://live.euronext.com/en/products/equities,https://live.euronext.com/en/instrumentSearch/searchJsonByMic?listMics&amp;instruType=Stock&amp;idBlockSearchBox=134,95,euronext|instrument|instruments|json|live.euronext.com|stock
outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_amsterdam_equities_list.html,https://live.euronext.com/en/markets/amsterdam/equities/list?page=0,https://live.euronext.com/en/instrumentSearch/searchJSON,85,euronext|instrument|instruments|json|live.euronext.com
outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_live_equities_overview.html,https://live.euronext.com/en/products/equities,https://athens.euronext.com/en/market-data/instruments/stocks?page=1,80,data|euronext|instrument|instruments|stock|stocks
outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_live_equities_overview.html,https://live.euronext.com/en/products/equities,https://live.euronext.com/en/news/boursolive-2026-equity-markets-how-ai-reshaping-landscape,75,api|equity|euronext|live.euronext.com
outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_amsterdam_equities_list.html,https://live.euronext.com/en/markets/amsterdam/equities/list?page=0,https://live.euronext.com/en/products/equities/global-equity-market/list,60,equities|equity|euronext|live.euronext.com
outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_amsterdam_equities_list.html,https://live.euronext.com/en/markets/amsterdam/equities/list?page=0,https://live.euronext.com/en/products/equities/equity-espresso,60,equities|equity|euronext|live.euronext.com
outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_amsterdam_equities_list.html,https://live.euronext.com/en/markets/amsterdam/equities/list?page=0,https://live.euronext.com/en/education/stocks,60,euronext|live.euronext.com|stock|stocks
outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_amsterdam_equities_list.html,https://live.euronext.com/en/markets/amsterdam/equities/list?page=0,https://live.euronext.com/en/markets/milan/equities/global-equity-market/list,60,equities|equity|euronext|live.euronext.com
outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_live_equities_overview.html,https://live.euronext.com/en/products/equities,https://live.euronext.com/en/news/what-difference-between-stocks-and-bonds,60,euronext|live.euronext.com|stock|stocks
outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_live_equities_overview.html,https://live.euronext.com/en/products/equities,https://live.euronext.com/en/news/how-protect-stocks-if-market-goes-down,60,euronext|live.euronext.com|stock|stocks
outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_live_equities_overview.html,https://live.euronext.com/en/products/equities,https://live.euronext.com/en/news/how-generate-income-stocks,60,euronext|live.euronext.com|stock|stocks
outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_live_equities_overview.html,https://live.euronext.com/en/products/equities,https://live.euronext.com/en/news/how-invest-stocks,60,euronext|live.euronext.com|stock|stocks
outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_live_equities_overview.html,https://live.euronext.com/en/products/equities,https://live.euronext.com/en/news/how-are-stocks-priced,60,euronext|live.euronext.com|stock|stocks
outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_advanced_reference_data.html,https://www.euronext.com/en/products-services/advanced-reference-data,https://www.euronext.com/en/csd/oslo/equities-and-equity-certificates,50,equities|equity|euronext
outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_advanced_reference_data.html,https://www.euronext.com/en/products-services/advanced-reference-data,https://www.euronext.com/en/csd/oslo/equities-and-equity-certificates/shareholder-register,50,equities|equity|euronext
outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_advanced_reference_data.html,https://www.euronext.com/en/products-services/advanced-reference-data,https://www.euronext.com/en/csd/oslo/equities-and-equity-certificates/general-meetings,50,equities|equity|euronext
outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_advanced_reference_data.html,https://www.euronext.com/en/products-services/advanced-reference-data,https://www.euronext.com/en/csd/oslo/equities-and-equity-certificates/employee-share-savings,50,equities|equity|euronext
outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_advanced_reference_data.html,https://www.euronext.com/en/products-services/advanced-reference-data,https://www.euronext.com/en/csd/oslo/equities-and-equity-certificates/corporate-actions,50,equities|equity|euronext
outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_advanced_reference_data.html,https://www.euronext.com/en/products-services/advanced-reference-data,https://www.euronext.com/en/csd/oslo/equities-and-equity-certificates/registration,50,equities|equity|euronext
outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_advanced_reference_data.html,https://www.euronext.com/en/products-services/advanced-reference-data,https://www.euronext.com/en/csd/oslo/equities-and-equity-certificates/vps-issuer-services,50,equities|equity|euronext
