path,suffix,size_bytes,name_signal_pointer_like,content_scanned,contains_previous_operational_base_name,contains_final_reference_name,contains_activated_reference_name,contains_pointer_language,existing_file_modified_by_v2_21h,recommended_action
docs/technical/data_pipeline_current_state_v2_14i.md,.md,1913,True,True,False,False,False,True,False,review_only_no_automatic_mutation
docs/technical/expanded_universe_canonical_path_v2_14i.md,.md,1424,True,True,False,False,False,True,False,review_only_no_automatic_mutation
outputs/audit/documentation_canonical_dataset_path_v2_14i.json,.json,1793,True,True,True,False,False,True,False,review_only_no_automatic_mutation
outputs/audit/documentation_canonical_dataset_path_v2_14i.md,.md,1423,True,True,False,False,False,True,False,review_only_no_automatic_mutation
outputs/full_universe_source_acquisition/asx_active_pointer_decision_gate_activation_readiness_v2_20o.csv,.csv,442,True,True,False,False,False,True,False,review_only_no_automatic_mutation
outputs/full_universe_source_acquisition/asx_active_pointer_decision_gate_checks_v2_20o.csv,.csv,6413,True,True,True,False,False,True,False,review_only_no_automatic_mutation
outputs/full_universe_source_acquisition/asx_active_pointer_decision_gate_decision_register_v2_20o.csv,.csv,1024,True,True,False,False,False,True,False,review_only_no_automatic_mutation
outputs/full_universe_source_acquisition/asx_active_pointer_decision_gate_next_actions_v2_20o.csv,.csv,695,True,True,False,False,False,True,False,review_only_no_automatic_mutation
outputs/full_universe_source_acquisition/asx_active_pointer_decision_gate_pointer_plan_preview_v2_20o.csv,.csv,719,True,True,True,False,False,True,False,review_only_no_automatic_mutation
outputs/full_universe_source_acquisition/asx_active_pointer_decision_gate_rollback_controls_v2_20o.csv,.csv,786,True,True,True,False,False,True,False,review_only_no_automatic_mutation
outputs/full_universe_source_acquisition/asx_active_pointer_decision_gate_summary_v2_20o.csv,.csv,1670,True,True,True,False,False,True,False,review_only_no_automatic_mutation
outputs/full_universe_source_acquisition/asx_active_pointer_decision_gate_v2_20o.json,.json,22299,True,True,True,False,False,True,False,review_only_no_automatic_mutation
outputs/full_universe_source_acquisition/asx_active_pointer_decision_gate_v2_20o.md,.md,11807,True,True,True,False,False,True,False,review_only_no_automatic_mutation
