dataset_scope,field,resolved_column,total_rows,present_rows,missing_rows,coverage_pct,missing_pct,distinct_non_missing_values,top_value,top_value_rows,severity,recommendation
current_operational_dataset,country,country,43089,21935,21154,50.9063,49.0937,30,__MISSING__,21154,medium,coverage_improvement_recommended
current_operational_dataset,mic,mic,43089,10722,32367,24.8834,75.1166,7,__MISSING__,32367,high,priority_backfill_required
current_operational_dataset,currency,currency,43089,11311,31778,26.2503,73.7497,9,__MISSING__,31778,high,priority_backfill_required
current_operational_dataset,asset_type,asset_type,43089,5111,37978,11.8615,88.1385,9,__MISSING__,37978,high,priority_backfill_required
current_operational_dataset,instrument_type,instrument_type,43089,37876,5213,87.9018,12.0982,19,EQTY,10657,medium,coverage_improvement_recommended
current_operational_dataset,instrument_scope,instrument_scope,43089,11570,31519,26.8514,73.1486,12,__MISSING__,31519,high,priority_backfill_required
current_operational_dataset,source_provider,source_provider,43089,41076,2013,95.3283,4.6717,13,cboe_europe_reference_data,21154,low,minor_cleanup_recommended
current_operational_dataset,classification_confidence,classification_confidence,43089,11212,31877,26.0206,73.9794,5,__MISSING__,31877,high,priority_backfill_required
current_operational_dataset,isin,isin,43089,7942,35147,18.4316,81.5684,7776,__MISSING__,35147,high,priority_backfill_required
current_operational_dataset,ticker,ticker,43089,41076,2013,95.3283,4.6717,40653,__MISSING__,2013,low,minor_cleanup_recommended
current_operational_dataset,name,company_name,43089,41896,1193,97.2313,2.7687,29881,__MISSING__,1193,low,minor_cleanup_recommended
current_operational_dataset,exchange,exchange,43089,43089,0,100.0,0.0,15,CBOE_EUROPE,21154,ok,coverage_ok
scorable_dry_run_output,country,country,33498,21708,11790,64.8039,35.1961,30,__MISSING__,11790,medium,coverage_improvement_recommended
scorable_dry_run_output,mic,mic,33498,10673,22825,31.8616,68.1384,7,__MISSING__,22825,high,priority_backfill_required
scorable_dry_run_output,currency,currency,33498,11262,22236,33.6199,66.3801,9,__MISSING__,22236,high,priority_backfill_required
scorable_dry_run_output,asset_type,asset_type,33498,5084,28414,15.177,84.823,9,__MISSING__,28414,high,priority_backfill_required
scorable_dry_run_output,instrument_type,instrument_type,33498,28302,5196,84.4886,15.5114,18,EQTY,10523,medium,coverage_improvement_recommended
scorable_dry_run_output,instrument_scope,instrument_scope,33498,11365,22133,33.9274,66.0726,12,__MISSING__,22133,high,priority_backfill_required
scorable_dry_run_output,source_provider,source_provider,33498,31485,2013,93.9907,6.0093,13,cboe_europe_reference_data,11790,low,minor_cleanup_recommended
scorable_dry_run_output,classification_confidence,classification_confidence,33498,11007,22491,32.8587,67.1413,5,__MISSING__,22491,high,priority_backfill_required
scorable_dry_run_output,isin,isin,33498,7894,25604,23.5656,76.4344,7733,__MISSING__,25604,high,priority_backfill_required
scorable_dry_run_output,ticker,ticker,33498,31485,2013,93.9907,6.0093,31089,__MISSING__,2013,low,minor_cleanup_recommended
scorable_dry_run_output,name,name,33498,32305,1193,96.4386,3.5614,26911,__MISSING__,1193,low,minor_cleanup_recommended
scorable_dry_run_output,exchange,exchange,33498,33498,0,100.0,0.0,15,CBOE_EUROPE,11790,ok,coverage_ok
