scope,dimension,column,value,count,pct
current_dataset,country,country,__MISSING__,21154,49.0937
current_dataset,country,country,USA,9200,21.3512
current_dataset,country,country,JP,3705,8.5985
current_dataset,country,country,Hong Kong,3200,7.4265
current_dataset,country,country,India,2013,4.6717
current_dataset,country,country,Australia,1316,3.0541
current_dataset,country,country,US,700,1.6245
current_dataset,country,country,Taiwan,696,1.6153
current_dataset,country,country,DE,413,0.9585
current_dataset,country,country,Singapore,358,0.8308
current_dataset,country,country,FR,53,0.123
current_dataset,country,country,NL,44,0.1021
current_dataset,country,country,GB,40,0.0928
current_dataset,country,country,CH,29,0.0673
current_dataset,country,country,Colombia,23,0.0534
current_dataset,country,country,IT,22,0.0511
current_dataset,country,country,DK,21,0.0487
current_dataset,country,country,AT,20,0.0464
current_dataset,country,country,LU,20,0.0464
current_dataset,country,country,IE,17,0.0395
current_dataset,country,country,ES,15,0.0348
current_dataset,country,country,CA,8,0.0186
current_dataset,country,country,BE,6,0.0139
current_dataset,country,country,FI,5,0.0116
current_dataset,country,country,SE,4,0.0093
current_dataset,country,country,BG,2,0.0046
current_dataset,country,country,AU,1,0.0023
current_dataset,country,country,CN,1,0.0023
current_dataset,country,country,KY,1,0.0023
current_dataset,country,country,LI,1,0.0023
current_dataset,country,country,MT,1,0.0023
current_dataset,exchange,exchange,CBOE_EUROPE,21154,49.0937
current_dataset,exchange,exchange,NASDAQ,4336,10.0629
current_dataset,exchange,exchange,JPX,3705,8.5985
current_dataset,exchange,exchange,NYSE,3362,7.8025
current_dataset,exchange,exchange,HKEX,3200,7.4265
current_dataset,exchange,exchange,NSE,2013,4.6717
current_dataset,exchange,exchange,XETR,1424,3.3048
current_dataset,exchange,exchange,ASX,1316,3.0541
current_dataset,exchange,exchange,CBOE,1220,2.8313
current_dataset,exchange,exchange,TWSE,696,1.6153
current_dataset,exchange,exchange,SGX,358,0.8308
current_dataset,exchange,exchange,NYSE American,265,0.615
current_dataset,exchange,exchange,BVC,23,0.0534
current_dataset,exchange,exchange,NYSE Arca,13,0.0302
current_dataset,exchange,exchange,Cboe BZX,4,0.0093
current_dataset,mic,mic,__MISSING__,32367,75.1166
current_dataset,mic,mic,XTKS,3705,8.5985
current_dataset,mic,mic,XHKG,3200,7.4265
current_dataset,mic,mic,XETR,1424,3.3048
current_dataset,mic,mic,XASX,1316,3.0541
current_dataset,mic,mic,XTAI,696,1.6153
current_dataset,mic,mic,XSES,358,0.8308
current_dataset,mic,mic,XBOG,23,0.0534
current_dataset,currency,currency,__MISSING__,31778,73.7497
current_dataset,currency,currency,JPY,3705,8.5985
current_dataset,currency,currency,HKD,3025,7.0204
current_dataset,currency,currency,INR,2013,4.6717
current_dataset,currency,currency,AUD,1316,3.0541
current_dataset,currency,currency,TWD,696,1.6153
current_dataset,currency,currency,SGD,358,0.8308
current_dataset,currency,currency,USD,91,0.2112
current_dataset,currency,currency,RMB,84,0.1949
current_dataset,currency,currency,COP,23,0.0534
current_dataset,source_provider,source_provider,cboe_europe_reference_data,21154,49.0937
current_dataset,source_provider,source_provider,jpx_listed_securities,3705,8.5985
current_dataset,source_provider,source_provider,nasdaq_trader_nasdaqlisted,3244,7.5286
current_dataset,source_provider,source_provider,hkex_securities_list,2804,6.5075
current_dataset,source_provider,source_provider,nasdaq_trader_otherlisted,2404,5.5792
current_dataset,source_provider,source_provider,sec_company_tickers_exchange,2359,5.4747
current_dataset,source_provider,source_provider,__MISSING__,2013,4.6717
current_dataset,source_provider,source_provider,deutsche_boerse_xetra_all_tradable_instruments,1424,3.3048
current_dataset,source_provider,source_provider,ASX,1316,3.0541
current_dataset,source_provider,source_provider,cboe_listed_symbols,1193,2.7687
current_dataset,source_provider,source_provider,TWSE,696,1.6153
current_dataset,source_provider,source_provider,HKEX,396,0.919
current_dataset,source_provider,source_provider,sgx_structured_endpoint,358,0.8308
current_dataset,source_provider,source_provider,SFC_SIMEV_RNVE,23,0.0534
current_dataset,asset_type,asset_type,__MISSING__,37978,88.1385
current_dataset,asset_type,asset_type,equity,2013,4.6717
current_dataset,asset_type,asset_type,equity_like,1424,3.3048
current_dataset,asset_type,asset_type,ordinary_equity,1211,2.8105
current_dataset,asset_type,asset_type,equity_common_or_equity_like,322,0.7473
current_dataset,asset_type,asset_type,ordinary_or_equity_like_unclassified,86,0.1996
current_dataset,asset_type,asset_type,equity_like_reit,25,0.058
current_dataset,asset_type,asset_type,a_reit_equity_like,12,0.0278
current_dataset,asset_type,asset_type,equity_like_trust,11,0.0255
current_dataset,asset_type,asset_type,listed_investment_vehicle_conditional,7,0.0162
