action_id,phase,source_id,action,network_allowed_in_v2_17b,network_allowed_in_v2_17c,canonical_read_allowed,canonical_modify_allowed,output_expected_in_v2_17c,guard_notes
6a728488c5d9da34,v2.17C,nse_all_reports_cm_mii_security_file_nse_listed,download raw .gz only in v2.17C; preserve raw artifact; no parsing in acquisition phase,False,True,False,False,raw source artifact under outputs/full_universe_source_acquisition/nse_raw_acquisition_v2_17c/,"v2.17C may download raw source files only; no parsing, no candidate extraction, no canonical comparison, no rebuild."
bc8dffd35ee315d8,v2.17C,nse_all_reports_cm_mii_security_file_nse_and_bse_exclusive,download raw .gz only in v2.17C if available; mark BSE-exclusive rows for review/exclusion until policy is explicit,False,True,False,False,raw source artifact under outputs/full_universe_source_acquisition/nse_raw_acquisition_v2_17c/,"v2.17C may download raw source files only; no parsing, no candidate extraction, no canonical comparison, no rebuild."
fd3a58bb01fa0439,v2.17C,nse_securities_available_equity_segment,download raw csv only in v2.17C; use later to confirm tradable equity segment and compare against security file,False,True,False,False,raw source artifact under outputs/full_universe_source_acquisition/nse_raw_acquisition_v2_17c/,"v2.17C may download raw source files only; no parsing, no candidate extraction, no canonical comparison, no rebuild."
0b27d3d4b266dba2,v2.17C,nse_securities_available_sme,download raw csv only in v2.17C; classify SME equity separately for later review,False,True,False,False,raw source artifact under outputs/full_universe_source_acquisition/nse_raw_acquisition_v2_17c/,"v2.17C may download raw source files only; no parsing, no candidate extraction, no canonical comparison, no rebuild."
f7609669b273d443,v2.17C,nse_changes_company_names,"download raw csv only in v2.17C; use later as supporting metadata, not as candidate source",False,True,False,False,raw reference artifact under outputs/full_universe_source_acquisition/nse_raw_acquisition_v2_17c/,"v2.17C may download raw source files only; no parsing, no candidate extraction, no canonical comparison, no rebuild."
0d424d0217a17290,v2.17C,nse_changes_symbols,"download raw csv only in v2.17C; use later as supporting metadata, not as candidate source",False,True,False,False,raw reference artifact under outputs/full_universe_source_acquisition/nse_raw_acquisition_v2_17c/,"v2.17C may download raw source files only; no parsing, no candidate extraction, no canonical comparison, no rebuild."
4146731009a3a9ad,v2.17C,nse_idrs,download raw csv only in v2.17C if tiny/available; use as exclusion list,False,True,False,False,raw exclusion/reference artifact under outputs/full_universe_source_acquisition/nse_raw_acquisition_v2_17c/,"v2.17C may download raw source files only; no parsing, no candidate extraction, no canonical comparison, no rebuild."
b310899c096b72c5,v2.17C,nse_preference_shares,download raw csv only in v2.17C if available; use as exclusion list,False,True,False,False,raw exclusion/reference artifact under outputs/full_universe_source_acquisition/nse_raw_acquisition_v2_17c/,"v2.17C may download raw source files only; no parsing, no candidate extraction, no canonical comparison, no rebuild."
2c6bbed725c0e4f9,v2.17C,nse_warrants,download raw csv only in v2.17C if available; use as exclusion list,False,True,False,False,raw exclusion/reference artifact under outputs/full_universe_source_acquisition/nse_raw_acquisition_v2_17c/,"v2.17C may download raw source files only; no parsing, no candidate extraction, no canonical comparison, no rebuild."
35b36c10c324bd73,v2.17C,nse_etfs,download raw csv only in v2.17C; use as exclusion list,False,True,False,False,raw exclusion/reference artifact under outputs/full_universe_source_acquisition/nse_raw_acquisition_v2_17c/,"v2.17C may download raw source files only; no parsing, no candidate extraction, no canonical comparison, no rebuild."
aa475ffebfcaa94f,v2.17C,nse_close_ended_mf,download raw csv only in v2.17C if available; use as exclusion list,False,True,False,False,raw exclusion/reference artifact under outputs/full_universe_source_acquisition/nse_raw_acquisition_v2_17c/,"v2.17C may download raw source files only; no parsing, no candidate extraction, no canonical comparison, no rebuild."
7c7e99376a0de507,v2.17C,nse_reits,download raw csv only in v2.17C if available; use as exclusion list,False,True,False,False,raw exclusion/reference artifact under outputs/full_universe_source_acquisition/nse_raw_acquisition_v2_17c/,"v2.17C may download raw source files only; no parsing, no candidate extraction, no canonical comparison, no rebuild."
f2002c88d02e8f58,v2.17C,nse_invits,download raw csv only in v2.17C if available; use as exclusion list,False,True,False,False,raw exclusion/reference artifact under outputs/full_universe_source_acquisition/nse_raw_acquisition_v2_17c/,"v2.17C may download raw source files only; no parsing, no candidate extraction, no canonical comparison, no rebuild."
8beac1c4091f1437,v2.17C,nse_debt_instruments,do not prioritize due size/noise; download only if needed as exclusion evidence,False,True,False,False,raw exclusion/reference artifact under outputs/full_universe_source_acquisition/nse_raw_acquisition_v2_17c/,"v2.17C may download raw source files only; no parsing, no candidate extraction, no canonical comparison, no rebuild."
