append_order,row_number_in_promoted_dataset,country_confirmed,country_code_confirmed,exchange_confirmed,mic_confirmed,currency_confirmed,symbol_key,name_key,isin_key,source_key,market_key,country_code_columns_present,source_columns_present
1,43067,True,True,True,True,True,cob07car0019,acebancolombiasa,cob07car0019,sfcsimevrnve,colombiabvcregulatory,0,7
2,43068,True,True,True,True,True,cob07cbbg004,bggbancolombiaantescorfinsura,cob07cbbg004,sfcsimevrnve,colombiabvcregulatory,0,7
3,43069,True,True,True,True,True,cob07cbbo198,bo2daemisionpecbancolombiasa,cob07cbbo198,sfcsimevrnve,colombiabvcregulatory,0,7
4,43070,True,True,True,True,True,coj49cbbo095,bo5totramodelpecleasingbancolombiahoybancolombia,coj49cbbo095,sfcsimevrnve,colombiabvcregulatory,0,7
5,43071,True,True,True,True,True,cob07cbbo015,bobancolombiasa,cob07cbbo015,sfcsimevrnve,colombiabvcregulatory,0,7
6,43072,True,True,True,True,True,cob07cbbo099,bomse2dotramobancolombiasa,cob07cbbo099,sfcsimevrnve,colombiabvcregulatory,0,7
7,43073,True,True,True,True,True,cob07cbbo106,bomse3ertramobancolombiasa,cob07cbbo106,sfcsimevrnve,colombiabvcregulatory,0,7
8,43074,True,True,True,True,True,cob07cbbo049,bosubordinadosmse1tramobancolombiasa,cob07cbbo049,sfcsimevrnve,colombiabvcregulatory,0,7
9,43075,True,True,True,True,True,cob07cbbo156,bosubordinado1aemispecbancolombiasa,cob07cbbo156,sfcsimevrnve,colombiabvcregulatory,0,7
10,43076,True,True,True,True,True,cob07cdcd012,cdtbancolombiasa,cob07cdcd012,sfcsimevrnve,colombiabvcregulatory,0,7
11,43077,True,True,True,True,True,coj07cdcd008,cdtcomerciasaciafincialantesfactoringbancolombiah,coj07cdcd008,sfcsimevrnve,colombiabvcregulatory,0,7
12,43078,True,True,True,True,True,coj49cdcd000,cdtleasingcolombiasaciadefincialhoybancolombia,coj49cdcd000,sfcsimevrnve,colombiabvcregulatory,0,7
13,43079,True,True,True,True,True,coi04paao006,aopromigassaesp,coi04paao006,sfcsimevrnve,colombiabvcregulatory,0,7
14,43080,True,True,True,True,True,coi04cbbo059,bopec1ertramopromigasssaesp,coi04cbbo059,sfcsimevrnve,colombiabvcregulatory,0,7
15,43081,True,True,True,True,True,coi04cbbo067,bopec2dotramopromigassaesp,coi04cbbo067,sfcsimevrnve,colombiabvcregulatory,0,7
16,43082,True,True,True,True,True,coi04cbbo083,bopromigassaespsegundomercado,coi04cbbo083,sfcsimevrnve,colombiabvcregulatory,0,7
17,43083,True,True,True,True,True,coi04cbbo009,bopromigassaesp,coi04cbbo009,sfcsimevrnve,colombiabvcregulatory,0,7
18,43084,True,True,True,True,True,coi04cppc014,pcpecpromigassaesp,coi04cppc014,sfcsimevrnve,colombiabvcregulatory,0,7
19,43085,True,True,True,True,True,cot60paao005,aocelsiasaantescelsiasaesp,cot60paao005,sfcsimevrnve,colombiabvcregulatory,0,7
20,43086,True,True,True,True,True,cot60cbbo008,bonosordinarios,cot60cbbo008,sfcsimevrnve,colombiabvcregulatory,0,7
21,43087,True,True,True,True,True,cob01paao006,aobancodebogota,cob01paao006,sfcsimevrnve,colombiabvcregulatory,0,7
22,43088,True,True,True,True,True,cow19paao005,aoadmdefdosdepensycesproteccionsa,cow19paao005,sfcsimevrnve,colombiabvcregulatory,0,7
23,43089,True,True,True,True,True,cog20paao006,aoorganizacionterpelsa,cog20paao006,sfcsimevrnve,colombiabvcregulatory,0,7
