metric,value
selected_route,Colombia + Singapore targeted expansion
phase_type,targeted-market-official-endpoint-download-discovery
discovery_decision,PARTIAL_OR_NO_STRUCTURED_ENDPOINT_COVERAGE_REVIEW_REQUIRED
approved_for_v2_21c4,False
approved_for_v2_21d,False
operational_base_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_20m_asx_promoted.csv
operational_base_rows,42708
operational_base_sha,892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127
rollback_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_14e.csv
rollback_rows,38287
rollback_sha,cf88f95efc0f8c9dd58a1a00dc755db1aca7a713bc799eebc8ce6a0bda5f353f
quality_floor_target,42000
quality_ceiling_target,45000
target_markets,Colombia/BVC;Singapore/SGX
endpoint_candidates_tested,21
endpoint_fetches_successful,21
structured_endpoint_candidates_found,2
markets_with_structured_endpoint,1
all_target_markets_ready,False
structured_sample_rows,80
raw_discovery_dir,outputs\full_universe_source_acquisition\raw_targeted_market_endpoint_discovery_v2_21c3
candidate_extraction_performed,False
dedup_performed,False
expanded_rebuild_performed,False
v2_21d_blocked,True
provider_expansion_scope,targeted_only
scoring_authorized,False
openai_authorized,False
broker_authorized,False
full59k,DEPRECATED_DEFERRED
canonical_dataset_modified,False
active_canonical_replaced,False
pointer_update_performed,False
critical_failed_checks,0
warning_failed_checks,1
recommended_next_phase,v2.21C3_REVIEW - Missing Official Structured Endpoint Review
