symbol,candidate_name,crosscheck_name,crosscheck_found,name_match_type,crosscheck_raw_json
1101,台泥,台泥,True,exact,"{""Change"": ""0.2000"", ""ClosingPrice"": ""24.55"", ""Code"": ""1101"", ""Date"": ""1150810"", ""HighestPrice"": ""24.65"", ""LowestPrice"": ""24.25"", ""Name"": ""台泥"", ""OpeningPrice"": ""24.50"", ""TradeValue"": ""357692066"", ""TradeVolume"": ""14596102"", ""Transaction"": ""5785""}"
1102,亞泥,亞泥,True,exact,"{""Change"": ""0.1000"", ""ClosingPrice"": ""32.95"", ""Code"": ""1102"", ""Date"": ""1150810"", ""HighestPrice"": ""33.00"", ""LowestPrice"": ""32.50"", ""Name"": ""亞泥"", ""OpeningPrice"": ""33.00"", ""TradeValue"": ""152822487"", ""TradeVolume"": ""4654967"", ""Transaction"": ""2560""}"
1103,嘉泥,嘉泥,True,exact,"{""Change"": ""0.0500"", ""ClosingPrice"": ""13.20"", ""Code"": ""1103"", ""Date"": ""1150810"", ""HighestPrice"": ""13.20"", ""LowestPrice"": ""13.10"", ""Name"": ""嘉泥"", ""OpeningPrice"": ""13.20"", ""TradeValue"": ""2590502"", ""TradeVolume"": ""196885"", ""Transaction"": ""167""}"
1104,環泥,環泥,True,exact,"{""Change"": ""0.0500"", ""ClosingPrice"": ""26.65"", ""Code"": ""1104"", ""Date"": ""1150810"", ""HighestPrice"": ""26.75"", ""LowestPrice"": ""26.55"", ""Name"": ""環泥"", ""OpeningPrice"": ""26.60"", ""TradeValue"": ""14945291"", ""TradeVolume"": ""561024"", ""Transaction"": ""416""}"
1108,幸福,幸福,True,exact,"{""Change"": ""0.0000"", ""ClosingPrice"": ""12.10"", ""Code"": ""1108"", ""Date"": ""1150810"", ""HighestPrice"": ""12.10"", ""LowestPrice"": ""11.95"", ""Name"": ""幸福"", ""OpeningPrice"": ""12.10"", ""TradeValue"": ""4262945"", ""TradeVolume"": ""353068"", ""Transaction"": ""156""}"
1109,信大,信大,True,exact,"{""Change"": ""0.0500"", ""ClosingPrice"": ""13.55"", ""Code"": ""1109"", ""Date"": ""1150810"", ""HighestPrice"": ""13.60"", ""LowestPrice"": ""13.50"", ""Name"": ""信大"", ""OpeningPrice"": ""13.55"", ""TradeValue"": ""1270084"", ""TradeVolume"": ""93795"", ""Transaction"": ""109""}"
1110,東泥,東泥,True,exact,"{""Change"": ""0.4000"", ""ClosingPrice"": ""16.30"", ""Code"": ""1110"", ""Date"": ""1150810"", ""HighestPrice"": ""16.45"", ""LowestPrice"": ""15.90"", ""Name"": ""東泥"", ""OpeningPrice"": ""15.95"", ""TradeValue"": ""7776727"", ""TradeVolume"": ""479129"", ""Transaction"": ""198""}"
1201,味全,味全,True,exact,"{""Change"": ""0.0500"", ""ClosingPrice"": ""12.15"", ""Code"": ""1201"", ""Date"": ""1150810"", ""HighestPrice"": ""12.20"", ""LowestPrice"": ""12.05"", ""Name"": ""味全"", ""OpeningPrice"": ""12.10"", ""TradeValue"": ""3026094"", ""TradeVolume"": ""249766"", ""Transaction"": ""255""}"
1203,味王,味王,True,exact,"{""Change"": ""-1.5000"", ""ClosingPrice"": ""46.15"", ""Code"": ""1203"", ""Date"": ""1150810"", ""HighestPrice"": ""46.80"", ""LowestPrice"": ""46.05"", ""Name"": ""味王"", ""OpeningPrice"": ""46.35"", ""TradeValue"": ""1016273"", ""TradeVolume"": ""21913"", ""Transaction"": ""66""}"
1210,大成,大成,True,exact,"{""Change"": ""0.5000"", ""ClosingPrice"": ""53.20"", ""Code"": ""1210"", ""Date"": ""1150810"", ""HighestPrice"": ""53.30"", ""LowestPrice"": ""52.10"", ""Name"": ""大成"", ""OpeningPrice"": ""53.10"", ""TradeValue"": ""131015185"", ""TradeVolume"": ""2482967"", ""Transaction"": ""1818""}"
1213,大飲,大飲,True,exact,"{""Change"": ""0.0000"", ""ClosingPrice"": ""7.72"", ""Code"": ""1213"", ""Date"": ""1150810"", ""HighestPrice"": ""7.72"", ""LowestPrice"": ""7.59"", ""Name"": ""大飲"", ""OpeningPrice"": ""7.59"", ""TradeValue"": ""66322"", ""TradeVolume"": ""8686"", ""Transaction"": ""11""}"
1215,卜蜂,卜蜂,True,exact,"{""Change"": ""1.0000"", ""ClosingPrice"": ""109.00"", ""Code"": ""1215"", ""Date"": ""1150810"", ""HighestPrice"": ""109.00"", ""LowestPrice"": ""107.00"", ""Name"": ""卜蜂"", ""OpeningPrice"": ""108.50"", ""TradeValue"": ""38950471"", ""TradeVolume"": ""360544"", ""Transaction"": ""675""}"
1216,統一,統一,True,exact,"{""Change"": ""-0.2000"", ""ClosingPrice"": ""75.50"", ""Code"": ""1216"", ""Date"": ""1150810"", ""HighestPrice"": ""75.70"", ""LowestPrice"": ""74.60"", ""Name"": ""統一"", ""OpeningPrice"": ""75.70"", ""TradeValue"": ""802064424"", ""TradeVolume"": ""10662068"", ""Transaction"": ""6986""}"
1217,愛之味,愛之味,True,exact,"{""Change"": ""0.0800"", ""ClosingPrice"": ""9.84"", ""Code"": ""1217"", ""Date"": ""1150810"", ""HighestPrice"": ""9.95"", ""LowestPrice"": ""9.78"", ""Name"": ""愛之味"", ""OpeningPrice"": ""9.89"", ""TradeValue"": ""2736591"", ""TradeVolume"": ""277680"", ""Transaction"": ""293""}"
1218,泰山,泰山,True,exact,"{""Change"": ""0.3000"", ""ClosingPrice"": ""15.80"", ""Code"": ""1218"", ""Date"": ""1150810"", ""HighestPrice"": ""15.80"", ""LowestPrice"": ""15.45"", ""Name"": ""泰山"", ""OpeningPrice"": ""15.50"", ""TradeValue"": ""11081267"", ""TradeVolume"": ""708700"", ""Transaction"": ""420""}"
1219,福壽,福壽,True,exact,"{""Change"": ""0.0500"", ""ClosingPrice"": ""10.80"", ""Code"": ""1219"", ""Date"": ""1150810"", ""HighestPrice"": ""10.85"", ""LowestPrice"": ""10.60"", ""Name"": ""福壽"", ""OpeningPrice"": ""10.75"", ""TradeValue"": ""6695709"", ""TradeVolume"": ""625265"", ""Transaction"": ""319""}"
1220,台榮,台榮,True,exact,"{""Change"": ""0.0000"", ""ClosingPrice"": ""11.15"", ""Code"": ""1220"", ""Date"": ""1150810"", ""HighestPrice"": ""11.20"", ""LowestPrice"": ""11.15"", ""Name"": ""台榮"", ""OpeningPrice"": ""11.15"", ""TradeValue"": ""814479"", ""TradeVolume"": ""72959"", ""Transaction"": ""142""}"
1225,福懋油,福懋油,True,exact,"{""Change"": ""0.8000"", ""ClosingPrice"": ""25.00"", ""Code"": ""1225"", ""Date"": ""1150810"", ""HighestPrice"": ""25.15"", ""LowestPrice"": ""24.20"", ""Name"": ""福懋油"", ""OpeningPrice"": ""24.30"", ""TradeValue"": ""3487492"", ""TradeVolume"": ""141089"", ""Transaction"": ""189""}"
1227,佳格,佳格,True,exact,"{""Change"": ""0.0500"", ""ClosingPrice"": ""29.20"", ""Code"": ""1227"", ""Date"": ""1150810"", ""HighestPrice"": ""29.30"", ""LowestPrice"": ""28.90"", ""Name"": ""佳格"", ""OpeningPrice"": ""29.20"", ""TradeValue"": ""22338729"", ""TradeVolume"": ""768286"", ""Transaction"": ""643""}"
1229,聯華,聯華,True,exact,"{""Change"": ""0.0500"", ""ClosingPrice"": ""40.70"", ""Code"": ""1229"", ""Date"": ""1150810"", ""HighestPrice"": ""40.85"", ""LowestPrice"": ""40.45"", ""Name"": ""聯華"", ""OpeningPrice"": ""40.85"", ""TradeValue"": ""41640445"", ""TradeVolume"": ""1024192"", ""Transaction"": ""1531""}"
1231,聯華食,聯華食,True,exact,"{""Change"": ""-0.3000"", ""ClosingPrice"": ""80.30"", ""Code"": ""1231"", ""Date"": ""1150810"", ""HighestPrice"": ""81.30"", ""LowestPrice"": ""79.90"", ""Name"": ""聯華食"", ""OpeningPrice"": ""81.30"", ""TradeValue"": ""18251055"", ""TradeVolume"": ""226656"", ""Transaction"": ""417""}"
1232,大統益,大統益,True,exact,"{""Change"": ""-0.5000"", ""ClosingPrice"": ""156.00"", ""Code"": ""1232"", ""Date"": ""1150810"", ""HighestPrice"": ""159.50"", ""LowestPrice"": ""156.00"", ""Name"": ""大統益"", ""OpeningPrice"": ""159.50"", ""TradeValue"": ""48002358"", ""TradeVolume"": ""305748"", ""Transaction"": ""493""}"
1233,天仁,天仁,True,exact,"{""Change"": ""-0.5000"", ""ClosingPrice"": ""28.30"", ""Code"": ""1233"", ""Date"": ""1150810"", ""HighestPrice"": ""28.90"", ""LowestPrice"": ""27.60"", ""Name"": ""天仁"", ""OpeningPrice"": ""28.80"", ""TradeValue"": ""1775047"", ""TradeVolume"": ""62524"", ""Transaction"": ""41""}"
1234,黑松,黑松,True,exact,"{""Change"": ""0.0000"", ""ClosingPrice"": ""33.45"", ""Code"": ""1234"", ""Date"": ""1150810"", ""HighestPrice"": ""33.50"", ""LowestPrice"": ""33.25"", ""Name"": ""黑松"", ""OpeningPrice"": ""33.40"", ""TradeValue"": ""6291813"", ""TradeVolume"": ""188717"", ""Transaction"": ""167""}"
1235,興泰,興泰,True,exact,"{""Change"": ""-0.1500"", ""ClosingPrice"": ""36.55"", ""Code"": ""1235"", ""Date"": ""1150810"", ""HighestPrice"": ""36.55"", ""LowestPrice"": ""36.00"", ""Name"": ""興泰"", ""OpeningPrice"": ""36.00"", ""TradeValue"": ""80544"", ""TradeVolume"": ""2220"", ""Transaction"": ""4""}"
1236,宏亞,宏亞,True,exact,"{""Change"": ""0.0500"", ""ClosingPrice"": ""25.55"", ""Code"": ""1236"", ""Date"": ""1150810"", ""HighestPrice"": ""25.80"", ""LowestPrice"": ""25.30"", ""Name"": ""宏亞"", ""OpeningPrice"": ""25.60"", ""TradeValue"": ""8458635"", ""TradeVolume"": ""330333"", ""Transaction"": ""167""}"
1256,鮮活果汁-KY,鮮活果汁-KY,True,exact,"{""Change"": ""-0.5000"", ""ClosingPrice"": ""178.00"", ""Code"": ""1256"", ""Date"": ""1150810"", ""HighestPrice"": ""179.00"", ""LowestPrice"": ""177.50"", ""Name"": ""鮮活果汁-KY"", ""OpeningPrice"": ""178.00"", ""TradeValue"": ""6806305"", ""TradeVolume"": ""38221"", ""Transaction"": ""235""}"
1301,台塑,台塑,True,exact,"{""Change"": ""-0.2000"", ""ClosingPrice"": ""55.60"", ""Code"": ""1301"", ""Date"": ""1150810"", ""HighestPrice"": ""56.60"", ""LowestPrice"": ""55.00"", ""Name"": ""台塑"", ""OpeningPrice"": ""56.20"", ""TradeValue"": ""800517834"", ""TradeVolume"": ""14356177"", ""Transaction"": ""8159""}"
1303,南亞,南亞,True,exact,"{""Change"": ""-3.0000"", ""ClosingPrice"": ""185.00"", ""Code"": ""1303"", ""Date"": ""1150810"", ""HighestPrice"": ""192.00"", ""LowestPrice"": ""182.50"", ""Name"": ""南亞"", ""OpeningPrice"": ""188.50"", ""TradeValue"": ""19849022635"", ""TradeVolume"": ""105821200"", ""Transaction"": ""73094""}"
1304,台聚,台聚,True,exact,"{""Change"": ""0.3000"", ""ClosingPrice"": ""12.10"", ""Code"": ""1304"", ""Date"": ""1150810"", ""HighestPrice"": ""12.10"", ""LowestPrice"": ""11.75"", ""Name"": ""台聚"", ""OpeningPrice"": ""12.00"", ""TradeValue"": ""31046380"", ""TradeVolume"": ""2597960"", ""Transaction"": ""1141""}"
1305,華夏,華夏,True,exact,"{""Change"": ""0.1500"", ""ClosingPrice"": ""11.70"", ""Code"": ""1305"", ""Date"": ""1150810"", ""HighestPrice"": ""11.70"", ""LowestPrice"": ""11.35"", ""Name"": ""華夏"", ""OpeningPrice"": ""11.60"", ""TradeValue"": ""10226672"", ""TradeVolume"": ""881563"", ""Transaction"": ""539""}"
1307,三芳,三芳,True,exact,"{""Change"": ""-1.6000"", ""ClosingPrice"": ""30.90"", ""Code"": ""1307"", ""Date"": ""1150810"", ""HighestPrice"": ""32.00"", ""LowestPrice"": ""30.10"", ""Name"": ""三芳"", ""OpeningPrice"": ""32.00"", ""TradeValue"": ""68220811"", ""TradeVolume"": ""2223555"", ""Transaction"": ""1640""}"
1308,亞聚,亞聚,True,exact,"{""Change"": ""0.2500"", ""ClosingPrice"": ""13.65"", ""Code"": ""1308"", ""Date"": ""1150810"", ""HighestPrice"": ""13.75"", ""LowestPrice"": ""13.15"", ""Name"": ""亞聚"", ""OpeningPrice"": ""13.40"", ""TradeValue"": ""33174245"", ""TradeVolume"": ""2452365"", ""Transaction"": ""1174""}"
