probe_id,original_candidate_url,normalized_candidate_url,source_raw_file,base_validation_score,source_strategy_priority,source_strategy_allowed,source_strategy_proposed_use,probe_type,risk,should_execute_in_next_phase,rationale,expected_evidence
fe79497e18312c5a,https://live.euronext.com/en/markets/milan/equities/global-equity-market/list,https://live.euronext.com/en/markets/milan/equities/global-equity-market/list,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_amsterdam_equities_list.html,60,2,True,possible_public_equity_listing_route_next_phase,live_listing_dynamic_probe,medium,True,HTML dry-run failed; inspect whether the live listing route requires dynamic endpoint calls.,"Evidence of redirect, embedded settings, scripts, paging params, or dynamic data route."
1121ea764807f970,https://live.euronext.com/en/products/equities/global-equity-market/list,https://live.euronext.com/en/products/equities/global-equity-market/list,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_amsterdam_equities_list.html,60,2,True,possible_public_equity_listing_route_next_phase,live_listing_dynamic_probe,medium,True,HTML dry-run failed; inspect whether the live listing route requires dynamic endpoint calls.,"Evidence of redirect, embedded settings, scripts, paging params, or dynamic data route."
5695ef8ac07a90eb,https://live.euronext.com/de/markets/amsterdam/equities/list?page=0,https://live.euronext.com/de/markets/amsterdam/equities/list?page=0,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_amsterdam_equities_list.html,35,2,True,possible_public_equity_listing_route_next_phase,live_listing_dynamic_probe,medium,True,HTML dry-run failed; inspect whether the live listing route requires dynamic endpoint calls.,"Evidence of redirect, embedded settings, scripts, paging params, or dynamic data route."
4953adaee04eeaeb,https://live.euronext.com/de/markets/brussels/equities/list?page=0,https://live.euronext.com/de/markets/brussels/equities/list?page=0,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_brussels_equities_list.html,35,2,True,possible_public_equity_listing_route_next_phase,live_listing_dynamic_probe,medium,True,HTML dry-run failed; inspect whether the live listing route requires dynamic endpoint calls.,"Evidence of redirect, embedded settings, scripts, paging params, or dynamic data route."
5bcd8a2fdd8549b7,https://live.euronext.com/de/markets/dublin/equities/list?page=0,https://live.euronext.com/de/markets/dublin/equities/list?page=0,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_dublin_equities_list.html,35,2,True,possible_public_equity_listing_route_next_phase,live_listing_dynamic_probe,medium,True,HTML dry-run failed; inspect whether the live listing route requires dynamic endpoint calls.,"Evidence of redirect, embedded settings, scripts, paging params, or dynamic data route."
c937db948d3dc07c,https://live.euronext.com/de/markets/lisbon/equities/list?page=0,https://live.euronext.com/de/markets/lisbon/equities/list?page=0,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_lisbon_equities_list.html,35,2,True,possible_public_equity_listing_route_next_phase,live_listing_dynamic_probe,medium,True,HTML dry-run failed; inspect whether the live listing route requires dynamic endpoint calls.,"Evidence of redirect, embedded settings, scripts, paging params, or dynamic data route."
f53265b310760355,https://live.euronext.com/de/markets/milan/equities/list?page=0,https://live.euronext.com/de/markets/milan/equities/list?page=0,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_milan_equities_list.html,35,2,True,possible_public_equity_listing_route_next_phase,live_listing_dynamic_probe,medium,True,HTML dry-run failed; inspect whether the live listing route requires dynamic endpoint calls.,"Evidence of redirect, embedded settings, scripts, paging params, or dynamic data route."
75646fb3750c1d29,https://live.euronext.com/de/markets/oslo/equities/list?page=0,https://live.euronext.com/de/markets/oslo/equities/list?page=0,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_oslo_equities_list.html,35,2,True,possible_public_equity_listing_route_next_phase,live_listing_dynamic_probe,medium,True,HTML dry-run failed; inspect whether the live listing route requires dynamic endpoint calls.,"Evidence of redirect, embedded settings, scripts, paging params, or dynamic data route."
93d06c459f738e1d,https://live.euronext.com/de/markets/paris/equities/list?page=0,https://live.euronext.com/de/markets/paris/equities/list?page=0,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_paris_equities_list.html,35,2,True,possible_public_equity_listing_route_next_phase,live_listing_dynamic_probe,medium,True,HTML dry-run failed; inspect whether the live listing route requires dynamic endpoint calls.,"Evidence of redirect, embedded settings, scripts, paging params, or dynamic data route."
5990df11ae33d87d,https://live.euronext.com/de/products/equities/list,https://live.euronext.com/de/products/equities/list,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_live_all_equities.html,35,2,True,possible_public_equity_listing_route_next_phase,live_listing_dynamic_probe,medium,True,HTML dry-run failed; inspect whether the live listing route requires dynamic endpoint calls.,"Evidence of redirect, embedded settings, scripts, paging params, or dynamic data route."
