column,rows,non_blank,blank,blank_pct
ticker,33158,33158,0,0.0
company_name,33158,31965,1193,3.5979
exchange,33158,33158,0,0.0
country,33158,12004,21154,63.7976
source_provider,33158,33158,0,0.0
source_file,33158,12004,21154,63.7976
instrument_type,33158,30354,2804,8.4565
instrument_scope,33158,9200,23958,72.2541
classification_confidence,33158,9200,23958,72.2541
classification_reason,33158,9200,23958,72.2541
sector,33158,0,33158,100.0
industry,33158,0,33158,100.0
market_cap,33158,0,33158,100.0
raw_cik,33158,2359,30799,92.8856
raw_exchange,33158,0,33158,100.0
provider_precedence,33158,8007,25151,75.852
merge_action,33158,8007,25151,75.852
merge_reason,33158,8007,25151,75.852
isin,33158,2772,30386,91.64
currency,33158,2804,30354,91.5435
mic,33158,2804,30354,91.5435
source_version,33158,2804,30354,91.5435
source_url,33158,2804,30354,91.5435
hkex_category,33158,2804,30354,91.5435
hkex_subcategory,33158,2804,30354,91.5435
hkex_board_lot,33158,2804,30354,91.5435
