phase,item,status,guard
v2.16A,confirm_tmx_provider_route,done_in_this_phase,plan_only
v2.16A,confirm_current_rows_unchanged,done_in_this_phase,current_rows=38287
v2.16A,keep_full_source_blocked,done_in_this_phase,full_source_gate=BLOCKED
v2.16B,identify_official_tmx_sources,next,plan_only_until_approved
v2.16B,define_tmx_source_taxonomy,next,no_download_yet
v2.16B,define_equity_vs_etf_fund_exclusion_policy,next,no_parsing_yet
v2.16C,tmx_raw_acquisition,future,only_after_v2_16b
v2.16D,tmx_validation,future,no_rebuild
v2.16E,tmx_candidate_extraction_dry_run,future,no_canonical_read
v2.16F,tmx_candidate_validation_against_canonical_dry_run,future,read_only_canonical
