ticker,company_name,exchange,country,source_provider,source_file,instrument_type,instrument_scope,classification_confidence,classification_reason,sector,industry,market_cap,raw_cik,raw_exchange,provider_precedence,merge_action,merge_reason,isin,currency,mic,source_version,source_url,hkex_category,hkex_subcategory,hkex_board_lot,provider,source_phase,symbol,security_name,instrument_id,product_assignment_group_description,asset_type
,20 Microns Limited,NSE,India,,,,,,,,,,,,,,,INE144J01027,INR,,,,,,,nse_india_v2_17g,,20MICRONS,,nse_india_1f169ecd9b06fc9a,,equity
,21st Century Management Services Limited,NSE,India,,,,,,,,,,,,,,,INE253B01015,INR,,,,,,,nse_india_v2_17g,,21STCENMGM,,nse_india_f80510981f9fc0ec,,equity
,360 ONE WAM LIMITED,NSE,India,,,,,,,,,,,,,,,INE466L01038,INR,,,,,,,nse_india_v2_17g,,360ONE,,nse_india_e45b9ff4f8fcd3a2,,equity
,3B Blackbio Dx Limited,NSE,India,,,,,,,,,,,,,,,INE994E01018,INR,,,,,,,nse_india_v2_17g,,3BBLACKBIO,,nse_india_1f0b8282eb1294cb,,equity
,3i Infotech Limited,NSE,India,,,,,,,,,,,,,,,INE748C01038,INR,,,,,,,nse_india_v2_17g,,3IINFOLTD,,nse_india_d9376fcf591079f1,,equity
,3M India Limited,NSE,India,,,,,,,,,,,,,,,INE470A01017,INR,,,,,,,nse_india_v2_17g,,3MINDIA,,nse_india_2b26cbeaf3228eaf,,equity
,3P Land Holdings Limited,NSE,India,,,,,,,,,,,,,,,INE105C01023,INR,,,,,,,nse_india_v2_17g,,3PLAND,,nse_india_53f72ba26e3243ca,,equity
,5Paisa Capital Limited,NSE,India,,,,,,,,,,,,,,,INE618L01018,INR,,,,,,,nse_india_v2_17g,,5PAISA,,nse_india_9680b24624b672f9,,equity
,63 moons technologies limited,NSE,India,,,,,,,,,,,,,,,INE111B01023,INR,,,,,,,nse_india_v2_17g,,63MOONS,,nse_india_814792b061b41c7a,,equity
,A2Z Infra Engineering Limited,NSE,India,,,,,,,,,,,,,,,INE619I01012,INR,,,,,,,nse_india_v2_17g,,A2ZINFRA,,nse_india_6d5ee217c371f067,,equity
,AAA Technologies Limited,NSE,India,,,,,,,,,,,,,,,INE0D0U01013,INR,,,,,,,nse_india_v2_17g,,AAATECH,,nse_india_95abd20fefa83f69,,equity
,Aadhar Housing Finance Limited,NSE,India,,,,,,,,,,,,,,,INE883F01010,INR,,,,,,,nse_india_v2_17g,,AADHARHFC,,nse_india_9ea23dfd8e298af1,,equity
,Aakash Exploration Services Limited,NSE,India,,,,,,,,,,,,,,,INE087Z01024,INR,,,,,,,nse_india_v2_17g,,AAKASH,,nse_india_ce0b0b9ee412e372,,equity
,Aarnav Fashions Limited,NSE,India,,,,,,,,,,,,,,,INE750R01016,INR,,,,,,,nse_india_v2_17g,,AARNAV,,nse_india_9c2e56e72038c7b8,,equity
,Aaron Industries Limited,NSE,India,,,,,,,,,,,,,,,INE721Z01010,INR,,,,,,,nse_india_v2_17g,,AARON,,nse_india_0eeea29acec127bc,,equity
,Aarti Drugs Limited,NSE,India,,,,,,,,,,,,,,,INE767A01016,INR,,,,,,,nse_india_v2_17g,,AARTIDRUGS,,nse_india_684d10038e73dd95,,equity
,Aarti Industries Limited,NSE,India,,,,,,,,,,,,,,,INE769A01020,INR,,,,,,,nse_india_v2_17g,,AARTIIND,,nse_india_77d8f2cdb729aa2c,,equity
,Aarti Pharmalabs Limited,NSE,India,,,,,,,,,,,,,,,INE0LRU01027,INR,,,,,,,nse_india_v2_17g,,AARTIPHARM,,nse_india_90ea3b00a0d692bb,,equity
,Aarti Surfactants Limited,NSE,India,,,,,,,,,,,,,,,INE09EO01013,INR,,,,,,,nse_india_v2_17g,,AARTISURF,,nse_india_0ce4c3e93a59daad,,equity
,Aarvi Encon Limited,NSE,India,,,,,,,,,,,,,,,INE754X01016,INR,,,,,,,nse_india_v2_17g,,AARVI,,nse_india_b856adc90559bcef,,equity
,Aastha Spintex Limited,NSE,India,,,,,,,,,,,,,,,INE2FMX01012,INR,,,,,,,nse_india_v2_17g,,AASTHA,,nse_india_b5fb54b37cf6e158,,equity
,Aavas Financiers Limited,NSE,India,,,,,,,,,,,,,,,INE216P01012,INR,,,,,,,nse_india_v2_17g,,AAVAS,,nse_india_8f2b37492300807c,,equity
,ABB India Limited,NSE,India,,,,,,,,,,,,,,,INE117A01022,INR,,,,,,,nse_india_v2_17g,,ABB,,nse_india_bd8bb8f7bf4a5576,,equity
,Abbott India Limited,NSE,India,,,,,,,,,,,,,,,INE358A01014,INR,,,,,,,nse_india_v2_17g,,ABBOTINDIA,,nse_india_d987e2ae7f2b078d,,equity
,Aditya Birla Capital Limited,NSE,India,,,,,,,,,,,,,,,INE674K01013,INR,,,,,,,nse_india_v2_17g,,ABCAPITAL,,nse_india_7032f0738cf58ac6,,equity
,A B Cotspin India Limited,NSE,India,,,,,,,,,,,,,,,INE08PH01015,INR,,,,,,,nse_india_v2_17g,,ABCOTS,,nse_india_c9925670107293bc,,equity
,Allied Blenders and Distillers Limited,NSE,India,,,,,,,,,,,,,,,INE552Z01027,INR,,,,,,,nse_india_v2_17g,,ABDL,,nse_india_918ce21dbba24339,,equity
,Aditya Birla Fashion and Retail Limited,NSE,India,,,,,,,,,,,,,,,INE647O01011,INR,,,,,,,nse_india_v2_17g,,ABFRL,,nse_india_1f61bdffdafaaf3b,,equity
,A B Infrabuild Limited,NSE,India,,,,,,,,,,,,,,,INE00YB01025,INR,,,,,,,nse_india_v2_17g,,ABINFRA,,nse_india_fa3341d063f77e54,,equity
