metric,value
selected_provider,ASX
phase_type,controlled-active-pointer-update-only
update_decision,CONTROLLED_ACTIVE_POINTER_UPDATE_COMPLETED_READY_FOR_VALIDATION
current_active_canonical_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_14e.csv
current_active_canonical_rows,38287
current_active_canonical_sha,cf88f95efc0f8c9dd58a1a00dc755db1aca7a713bc799eebc8ce6a0bda5f353f
target_promoted_canonical_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_20m_asx_promoted.csv
target_promoted_canonical_rows,42708
target_promoted_canonical_sha,892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127
planned_pointer_update_from,outputs/full_universe_source_acquisition/expanded_universe_v2_14e.csv
planned_pointer_update_to,outputs/full_universe_source_acquisition/expanded_universe_v2_20m_asx_promoted.csv
expected_update_candidates,3
updated_files,3
total_old_refs_replaced,3
historical_reference_files_checked,137
historical_reference_files_changed,0
active_canonical_replaced,False
active_pointer_updated,True
pointer_update_performed,True
active_canonical_sha_unchanged,True
promoted_canonical_sha_unchanged,True
quality_floor_target,42000
quality_ceiling_target,45000
quality_floor_crossed,True
quality_ceiling_not_exceeded,True
rows_above_quality_floor,708
remaining_capacity_to_quality_ceiling,2292
aspirational_target,50000
rows_to_aspirational_50k,7292
critical_failed_checks,0
warning_failed_checks,0
next_phase,v2.20R - ASX Active Pointer Update Validation
full59k,DEPRECATED_DEFERRED
