metric,value
baseline_expanded_path,outputs\full_universe_source_acquisition\expanded_universe_v2_11e.csv
baseline_expanded_exists,True
baseline_rows,30354
candidate_rows_with_stock_code,17589
candidate_unique_stock_codes,17589
candidate_unique_isins,13962
candidate_exchange_key_overlap_with_baseline,0
candidate_ticker_text_overlap_with_baseline_diagnostic_only,0
candidate_isin_overlap_with_baseline,0
diagnostic_not_in_baseline_by_exchange_key,17589
projected_rows_if_all_unique_hkex_codes_added,47943
full_source_unlocked_if_all_unique_hkex_codes_added,False
rows_still_needed_after_hkex_projection,2057
possible_leading_zero_risk_codes_diagnostic,0
