phase_id,label,role,report_path,report_exists,required_for_closure,status,expected_status,expected_status_passed,critical_failed_checks,warning_failed_checks,recommended_next_phase,pointer_update_performed,scoring_authorized,openai_authorized,broker_authorized,full59k
v2.21A,Expansion Gate,historical_gate,,,False,historical_phase_not_required_by_final_local_closure_register,,True,,,,,,,,DEPRECATED_DEFERRED
v2.21B,Raw Acquisition,historical_raw_acquisition,,,False,historical_phase_not_required_by_final_local_closure_register,,True,,,,,,,,DEPRECATED_DEFERRED
v2.21C,"Initial Extraction, corrected",historical_superseded_extraction,,,False,historical_phase_not_required_by_final_local_closure_register,,True,,,,,,,,DEPRECATED_DEFERRED
v2.21C2,False Positive Review,historical_correction,,,False,historical_phase_not_required_by_final_local_closure_register,,True,,,,,,,,DEPRECATED_DEFERRED
v2.21C3,Official Endpoint Discovery,historical_endpoint_discovery,,,False,historical_phase_not_required_by_final_local_closure_register,,True,,,,,,,,DEPRECATED_DEFERRED
v2.21C3_REVIEW,Split Route Decision,historical_split_route,,,False,historical_phase_not_required_by_final_local_closure_register,,True,,,,,,,,DEPRECATED_DEFERRED
v2.21C4S,Singapore Structured Extraction,historical_singapore_extraction,,,False,historical_phase_not_required_by_final_local_closure_register,,True,,,,,,,,DEPRECATED_DEFERRED
v2.21D_S,Singapore Rebuild + Validation Candidate,singapore_candidate_build,outputs\full_universe_source_acquisition\singapore_expanded_rebuild_validation_candidate_v2_21d_s.json,True,True,SINGAPORE_REBUILD_VALIDATION_CANDIDATE_COMPLETED_43066_ROWS_READY_FOR_PROMOTION_DECISION_NO_POINTER_UPDATE_SCORING_DEFERRED,SINGAPORE_REBUILD_VALIDATION_CANDIDATE_COMPLETED_43066_ROWS_READY_FOR_PROMOTION_DECISION_NO_POINTER_UPDATE_SCORING_DEFERRED,True,0,0,v2.21E_S - Singapore Promotion / Freeze Decision,False,False,False,False,DEPRECATED_DEFERRED
v2.21E_S,Singapore Promotion / Freeze Decision,singapore_promotion_decision,outputs\full_universe_source_acquisition\singapore_promotion_freeze_decision_v2_21e_s.json,True,True,SINGAPORE_PROMOTION_FREEZE_DECISION_COMPLETED_PROMOTED_ARTIFACT_READY_POINTER_NOT_UPDATED_SCORING_DEFERRED,SINGAPORE_PROMOTION_FREEZE_DECISION_COMPLETED_PROMOTED_ARTIFACT_READY_POINTER_NOT_UPDATED_SCORING_DEFERRED,True,0,0,v2.21C3B - Colombia Regulatory Discovery + Extraction Decision,False,False,False,False,DEPRECATED_DEFERRED
v2.21C3B,Colombia Regulatory Discovery + Extraction Decision,colombia_regulatory_discovery,outputs\full_universe_source_acquisition\colombia_regulatory_discovery_extraction_decision_v2_21c3b.json,True,True,COLOMBIA_REGULATORY_DISCOVERY_EXTRACTION_DECISION_COMPLETED_STRUCTURED_SOURCE_READY_EXTRACTION_APPROVED_NO_DATASET_CHANGES_SCORING_DEFERRED,COLOMBIA_REGULATORY_DISCOVERY_EXTRACTION_DECISION_COMPLETED_STRUCTURED_SOURCE_READY_EXTRACTION_APPROVED_NO_DATASET_CHANGES_SCORING_DEFERRED,True,0,0,v2.21D_C - Colombia Conditional Build / Freeze,False,False,False,False,DEPRECATED_DEFERRED
v2.21D_C,Colombia Conditional Build / Freeze,colombia_candidate_build,outputs\full_universe_source_acquisition\colombia_conditional_build_freeze_v2_21d_c.json,True,True,COLOMBIA_CONDITIONAL_BUILD_COMPLETED_CANDIDATE_CREATED_NO_PROMOTION_NO_POINTER_UPDATE_SCORING_DEFERRED,COLOMBIA_CONDITIONAL_BUILD_COMPLETED_CANDIDATE_CREATED_NO_PROMOTION_NO_POINTER_UPDATE_SCORING_DEFERRED,True,0,0,v2.21E_C - Colombia Promotion / Freeze Decision,False,False,False,False,DEPRECATED_DEFERRED
v2.21E_C,Colombia Promotion / Freeze Decision,colombia_promotion_decision,outputs\full_universe_source_acquisition\colombia_promotion_freeze_decision_v2_21e_c.json,True,True,COLOMBIA_PROMOTION_FREEZE_DECISION_COMPLETED_PROMOTED_ARTIFACT_READY_POINTER_NOT_UPDATED_SCORING_DEFERRED,COLOMBIA_PROMOTION_FREEZE_DECISION_COMPLETED_PROMOTED_ARTIFACT_READY_POINTER_NOT_UPDATED_SCORING_DEFERRED,True,0,0,v2.21G - Final v2.21 Closure Report,False,False,False,False,DEPRECATED_DEFERRED
