metric,value
closure_status,DEUTSCHE_BOERSE_XETRA_CLOSED_CONSERVATIVE_REBUILD_VALIDATED_FULL_SOURCE_BLOCKED
selected_provider,deutsche_boerse_xetra_all_tradable_instruments
source_decision,DEUTSCHE_BOERSE_XETRA_ACCEPTED_FOR_CONSERVATIVE_EXPANDED_SOURCE
baseline_before_xetra,36863
xetra_rows_added,1424
xetra_rows_excluded,3645
expanded_after_xetra,38287
duplicate_exchange_ticker_keys,0
critical_failed_checks,0
warning_failed_checks,0
source_to_50k_completed_percent,76.6
source_to_50k_pending_percent,23.4
rows_needed_after_xetra,11713
global_completed,42
global_pending,58
full_source_unlocked,False
full_59k_status,BLOCKED_UNTIL_SOURCE_COMPLETE_AND_GATE_APPROVED
recommended_next_phase,v2.15A - Next Provider Route For Remaining Full Source Gap
