metric,value
selected_route,Colombia + Singapore targeted expansion
phase_type,targeted-market-candidate-extraction-dedup-dry-run
extraction_decision,NEW_CANDIDATES_AVAILABLE_FOR_EXPANDED_REBUILD_CANDIDATE
approved_for_next_phase,True
operational_base_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_20m_asx_promoted.csv
operational_base_rows,42708
operational_base_sha,892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127
rollback_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_14e.csv
rollback_rows,38287
rollback_sha,cf88f95efc0f8c9dd58a1a00dc755db1aca7a713bc799eebc8ce6a0bda5f353f
quality_floor_target,42000
quality_ceiling_target,45000
remaining_capacity_to_quality_ceiling_before_addition,2292
target_markets,Colombia/BVC;Singapore/SGX
successful_raw_sources,4
candidate_attempts_total,10
accepted_new_candidates,3
rejected_candidates,7
projected_rows_after_addition,42711
remaining_capacity_after_addition,2289
dedup_is_dry_run_only,True
candidate_extraction_performed,True
dedup_performed,True
expanded_rebuild_performed,False
provider_expansion_scope,targeted_only
scoring_authorized,False
openai_authorized,False
broker_authorized,False
full59k,DEPRECATED_DEFERRED
canonical_dataset_modified,False
active_canonical_replaced,False
pointer_update_performed,False
critical_failed_checks,0
warning_failed_checks,0
recommended_next_phase,v2.21D - Expanded Rebuild Candidate
