"column","Count","Name"
"country","21154",""
"country","9200","USA"
"country","3705","JP"
"country","3200","Hong Kong"
"country","2013","India"
"country","1316","Australia"
"country","700","US"
"country","696","Taiwan"
"country","413","DE"
"country","53","FR"
"country","44","NL"
"country","40","GB"
"country","29","CH"
"country","22","IT"
"country","21","DK"
"country","20","LU"
"country","20","AT"
"country","17","IE"
"country","15","ES"
"country","8","CA"
"country","6","BE"
"country","5","FI"
"country","4","SE"
"country","2","BG"
"country","1","CN"
"country","1","LI"
"country","1","MT"
"country","1","KY"
"country","1","AU"
