raw_file,raw_file_name,table_index,row_count,max_col_count,header_text,field_marker_hits,suitability_score,suitability
outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_amsterdam_equities_list.html,euronext_amsterdam_equities_list.html,0,1,7,Name / ISIN / Symbol / Market / Last / % / Date/Time,isin|symbol|name|market,226,high
outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_brussels_equities_list.html,euronext_brussels_equities_list.html,0,1,7,Name / ISIN / Symbol / Market / Last / % / Date/Time,isin|symbol|name|market,226,high
outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_dublin_equities_list.html,euronext_dublin_equities_list.html,0,1,7,Name / ISIN / Symbol / Market / Last / % / Date/Time,isin|symbol|name|market,226,high
outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_lisbon_equities_list.html,euronext_lisbon_equities_list.html,0,1,7,Name / ISIN / Symbol / Market / Last / % / Date/Time,isin|symbol|name|market,226,high
outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_live_all_equities.html,euronext_live_all_equities.html,0,1,7,Name / ISIN / Symbol / Market / Last / % / Date/Time,isin|symbol|name|market,226,high
outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_milan_equities_list.html,euronext_milan_equities_list.html,0,1,7,Name / ISIN / Symbol / Market / Last / % / Date/Time,isin|symbol|name|market,226,high
outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_oslo_equities_list.html,euronext_oslo_equities_list.html,0,1,7,Name / ISIN / Symbol / Market / Last / % / Date/Time,isin|symbol|name|market,226,high
outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_paris_equities_list.html,euronext_paris_equities_list.html,0,1,7,Name / ISIN / Symbol / Market / Last / % / Date/Time,isin|symbol|name|market,226,high
outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_live_equities_overview.html,euronext_live_equities_overview.html,1,8,3,"Instrument-name / Last-price / Day-change-relative | AEX / 1,084.23 / +0.08 % | BEL 20 / 5,594.08 / -0.95 % | CAC 40 / 8,338.97 / +0.15 % | ISEQ 20 / 2,353.04 / +0.36 %",name|instrument,88,low
outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_live_equities_overview.html,euronext_live_equities_overview.html,0,20,2,10 Jul 2026 23:09 CEST / Acceptances received under the mandatory offer by Kona BidCo AS to acquire all shares in Zalaris ASA - and purchases of… | 10 Jul 2026 20:00 CEST / MEXEDIA S.P.A. SOCIETÀ BENEFIT: REGISTRATION WITH THE COMPANIES' REGISTER OF THE RESOLUTION APPROVING THE SHARE… | 10 Jul 2026 20:00 CEST / MEXEDIA S.P.A. SOCIETÀ BENEFIT: ISCRIZIONE NEL REGISTRO DELLE IMPRESE DELLA DELIBERA DI AUMENTO DI CAPITALE A SERVIZIO… | 10 Jul 2026 20:00 CEST / Assassin's Creed Black Flag Resynced launches with 2 million copies sold | 10 Jul 2026 20:00 CEST / MEXEDIA S.P.A. SOCIETÀ BENEFIT : INSCRIPTION AU REGISTRE DES ENTREPRISES DE LA DÉCISION D'AUGMENTATION DE CAPITAL…,shares,70,low
outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_live_equities_overview.html,euronext_live_equities_overview.html,2,5,2,10/07/2026 / EMBENTION SISTEMAS INTELIGENTES | 09/07/2026 / Polar Resources AS | 09/07/2026 / APEX CRITICAL METALS CORP. | 08/07/2026 / ETI | 02/07/2026 / Pelican Aqua Holding,,15,low
