action_order,source_id,action,allowed_in_v2_18c,performed,result,http_status,raw_artifact_path,bytes,sha256,notes
1,all,prepare_raw_output_directory,True,True,PASS,,outputs\full_universe_source_acquisition\twse_tpex_raw_acquisition_v2_18c,,,raw output directory created
2,twse_openapi_swagger,download_official_source,True,True,CAPTURED_ERROR,,outputs\full_universe_source_acquisition\twse_tpex_raw_acquisition_v2_18c\01_twse_openapi_swagger_network_error_payload_captured.html,120,1d77f9d0d56c41625a5f35226b023935b53247e1ec09b492e2c5437cddbf38e6,network_error_payload_captured
3,twse_listed_company_profile,download_official_source,True,True,CAPTURED_ERROR,,outputs\full_universe_source_acquisition\twse_tpex_raw_acquisition_v2_18c\02_twse_listed_company_profile_network_error_payload_captured.json,120,1d77f9d0d56c41625a5f35226b023935b53247e1ec09b492e2c5437cddbf38e6,network_error_payload_captured
4,twse_stock_day_all,download_official_source,True,True,CAPTURED_ERROR,,outputs\full_universe_source_acquisition\twse_tpex_raw_acquisition_v2_18c\03_twse_stock_day_all_network_error_payload_captured.json,120,1d77f9d0d56c41625a5f35226b023935b53247e1ec09b492e2c5437cddbf38e6,network_error_payload_captured
5,twse_latest_listed_companies,download_official_source,True,True,CAPTURED_ERROR,,outputs\full_universe_source_acquisition\twse_tpex_raw_acquisition_v2_18c\04_twse_latest_listed_companies_network_error_payload_captured.html,120,1d77f9d0d56c41625a5f35226b023935b53247e1ec09b492e2c5437cddbf38e6,network_error_payload_captured
6,tpex_openapi_swagger,download_official_source,True,True,PASS,200,outputs\full_universe_source_acquisition\twse_tpex_raw_acquisition_v2_18c\05_tpex_openapi_swagger_200.html,3030,18593d5f3e094a37f567410f8c5cae493597d88ecf7a41d3efcae8c4baf59f02,downloaded_200
7,tpex_daily_stock_quotes,download_official_source,True,True,PASS,200,outputs\full_universe_source_acquisition\twse_tpex_raw_acquisition_v2_18c\06_tpex_daily_stock_quotes_200.csv,11041,b1a4946420e5a2b0147f7a74d7dbed014b6c2576611406251cbb8e5572954621,downloaded_200
8,tpex_stock_pricing_page,download_official_source,True,True,PASS,200,outputs\full_universe_source_acquisition\twse_tpex_raw_acquisition_v2_18c\07_tpex_stock_pricing_page_200.csv,11038,c12cdcb94566cd5536b02de7efc0833b57f5e8892fda2425774cfc04a739f718,downloaded_200
9,tpex_mainboard_applicant_companies,download_official_source,True,True,PASS,200,outputs\full_universe_source_acquisition\twse_tpex_raw_acquisition_v2_18c\08_tpex_mainboard_applicant_companies_200.csv,11085,5a6e21f68fa5acd5191e37de33a170bb81d2f61c1f14065db889e85529370710,downloaded_200
10,tpex_gisa_company,download_official_source,True,True,PASS,200,outputs\full_universe_source_acquisition\twse_tpex_raw_acquisition_v2_18c\09_tpex_gisa_company_200.html,3030,ab7df510dd9893691875ef45085a6abc09901f037892177542bb8a9bb1aa58a0,downloaded_200
11,all,write_raw_manifest,True,True,PASS,,outputs\full_universe_source_acquisition\twse_tpex_raw_acquisition_manifest_v2_18c.csv,,,manifest written after all attempted official source captures
12,all,defer_candidate_extraction,False,True,PASS,,,,,candidate extraction remains blocked until v2.18E
