exchange,ticker,source,merge_action,merge_reason
NASDAQ,AACB,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,AACI,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,AACO,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,AACP,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,AAL,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,AAME,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,AAOI,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,AAON,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,AAPG,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,AAPL,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,AARD,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ABAT,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ABCL,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ABEO,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ABLV,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ABNB,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ABOS,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ABSI,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ABTC,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ABTS,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ABUS,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ABVC,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ACAA,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ACAD,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ACB,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ACCL,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ACDC,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ACET,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ACFN,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ACGC,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ACGL,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ACHC,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ACHV,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ACIC,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ACIU,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ACIW,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ACLS,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ACMR,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ACNB,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ACNT,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ACOG,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ACON,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ACRS,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ACRV,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ACT,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ACTG,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ACTU,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ACXP,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ADAC,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ADAG,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ADAM,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ADBE,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ADEA,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ADGM,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ADI,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ADIL,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ADMA,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ADP,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ADPT,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ADSE,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ADSK,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ADTN,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ADUR,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ADUS,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ADV,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,ADVB,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,AEAQ,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,AEBI,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,AEC,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,AEHL,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,AEHR,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,AEI,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,AEIS,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,AEMD,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
NASDAQ,AENT,existing_expanded_universe_v2_4b,PRESERVE_EXISTING,Base row preserved.
