path,category,old_ref_forward_count,old_ref_backslash_count,old_ref_total_count,new_ref_forward_count,new_ref_backslash_count,new_ref_total_count,recommended_action,planned_update_in_v220p
CHANGELOG.md,documentation_reference,1,0,1,0,0,0,review_documentation_reference_before_update,False
docs\technical\data_pipeline_current_state_v2_14i.md,documentation_reference,1,0,1,0,0,0,review_documentation_reference_before_update,False
docs\technical\expanded_universe_canonical_path_v2_14i.md,documentation_reference,2,0,2,0,0,0,review_documentation_reference_before_update,False
outputs\audit\auditoria_tecnica_scout_finance_v1.md,documentation_reference,2,0,2,0,0,0,review_documentation_reference_before_update,False
outputs\audit\documentation_canonical_dataset_path_v2_14i.md,documentation_reference,1,0,1,0,0,0,review_documentation_reference_before_update,False
outputs\audit\eol_guard_v2_14k.md,documentation_reference,1,0,1,0,0,0,review_documentation_reference_before_update,False
outputs\audit\post_closure_integrity_test_v2_14j.md,documentation_reference,0,2,2,0,0,0,review_documentation_reference_before_update,False
outputs\full_universe_source_acquisition\asx_active_pointer_decision_gate_checks_v2_20o.csv,historical_phase_artifact,0,1,1,0,1,1,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\asx_active_pointer_decision_gate_pointer_plan_preview_v2_20o.csv,historical_phase_artifact,0,1,1,0,1,1,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\asx_active_pointer_decision_gate_rollback_controls_v2_20o.csv,historical_phase_artifact,0,1,1,0,1,1,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\asx_active_pointer_decision_gate_summary_v2_20o.csv,historical_phase_artifact,0,1,1,0,1,1,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\asx_active_pointer_decision_gate_v2_20o.md,historical_phase_artifact,0,3,3,0,3,3,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\asx_candidate_promotion_decision_gate_summary_v2_20j.csv,historical_phase_artifact,0,1,1,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\asx_canonical_promotion_dry_run_checks_v2_20l.csv,historical_phase_artifact,0,0,0,0,1,1,no_old_pointer_reference_detected,False
outputs\full_universe_source_acquisition\asx_canonical_promotion_dry_run_preflight_v2_20l.csv,historical_phase_artifact,0,1,1,0,1,1,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\asx_canonical_promotion_dry_run_rollback_controls_v2_20l.csv,historical_phase_artifact,0,1,1,0,1,1,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\asx_canonical_promotion_dry_run_schema_controls_v2_20l.csv,historical_phase_artifact,0,1,1,0,0,0,do_not_update_historical_reference,False
