metric,value
selected_route,Colombia + Singapore targeted expansion
phase_type,targeted-market-candidate-extraction-false-positive-review
review_decision,V2_21C_ACCEPTED_CANDIDATES_INVALIDATED_V2_21D_BLOCKED_V2_21C3_REQUIRED
approved_for_v2_21c3,True
approved_for_v2_21d,False
operational_base_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_20m_asx_promoted.csv
operational_base_rows,42708
operational_base_sha,892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127
rollback_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_14e.csv
rollback_rows,38287
rollback_sha,cf88f95efc0f8c9dd58a1a00dc755db1aca7a713bc799eebc8ce6a0bda5f353f
quality_floor_target,42000
quality_ceiling_target,45000
target_markets,Colombia/BVC;Singapore/SGX
v2_21c_accepted_candidates_reviewed,3
v2_21c_accepted_candidates_invalidated,3
manual_review_candidates_remaining,0
approved_candidates_after_review,0
v2_21c_rejected_candidates_preserved,7
structured_candidate_sources,0
regex_only_sources,4
candidate_extraction_reexecuted,False
expanded_rebuild_performed,False
v2_21d_blocked,True
official_source_discovery_required,True
provider_expansion_scope,targeted_only
scoring_authorized,False
openai_authorized,False
broker_authorized,False
full59k,DEPRECATED_DEFERRED
canonical_dataset_modified,False
active_canonical_replaced,False
pointer_update_performed,False
critical_failed_checks,0
warning_failed_checks,0
recommended_next_phase,v2.21C3 - Official Endpoint / Downloadable Listing Discovery
